Date;Open;High;Low;Close
02/18/2022;40708;40964;39622;39996
02/17/2022;44091;44181;40128;40708
02/16/2022;44007;44741;43415;44091
02/15/2022;42257;44512;42243;44007
02/14/2022;42259;42843;41646;42257
02/13/2022;41910;42743;41889;42259
02/12/2022;42561;43025;41816;41910
02/11/2022;43753;44113;42253;42561
02/10/2022;44502;45758;43350;43753
02/09/2022;44264;44837;43202;44502
02/08/2022;44050;45403;42727;44264
02/07/2022;41693;44495;41609;44050
02/06/2022;41670;42094;41229;41693
02/05/2022;40647;41919;40410;41718
02/04/2022;36967;40890;36833;40647
02/03/2022;36877;37220;36279;36964
02/02/2022;38741;38900;36686;36877
02/01/2022;38444;39261;38051;38741
01/31/2022;37747;38728;36703;38444
01/30/2022;38437;38437;37411;37747
01/29/2022;37818;38673;37362;38437
01/28/2022;36223;38009;35934;37818
01/27/2022;36371;37168;35551;36223
01/26/2022;36632;38874;36371;36371
01/25/2022;36851;37501;35741;36632
01/24/2022;35379;37397;33070;36851
01/23/2022;35461;36157;34694;35389
01/22/2022;36701;37149;34163;35461
01/21/2022;41391;41524;36208;36689
01/20/2022;41733;43517;41389;41391
01/19/2022;42401;42604;41200;41739
01/18/2022;41741;42476;41319;42401
01/17/2022;43011;43275;41632;41741
01/16/2022;43332;43472;42622;43011
01/15/2022;43329;43775;42620;43346
01/14/2022;42826;43411;41865;43329
01/13/2022;43815;44401;42354;42826
01/12/2022;42686;44303;42498;43815
01/11/2022;41705;43109;41304;42686
01/10/2022;42314;42484;39712;41705
01/09/2022;41786;42771;41285;42334
01/08/2022;41884;42206;40614;41786
01/07/2022;43114;43233;40769;41908
01/06/2022;43658;43764;42529;43114
01/05/2022;46298;46851;43522;43658
01/04/2022;46055;47490;45586;46298
01/03/2022;47026;47544;45745;46055
01/02/2022;47312;47946;46709;47021
01/01/2022;46338;47912;46196;47312
12/31/2021;47239;48564;45715;46322
12/30/2021;47233;47893;46019;47239
12/29/2021;47586;48152;46664;47210
12/28/2021;50990;51228;47330;47586
12/27/2021;50802;51976;50487;50996
12/26/2021;51003;51003;49568;50802
12/25/2021;50898;51144;50220;51001
12/24/2021;50849;51836;50513;50898
12/23/2021;49082;51364;48077;50843
12/22/2021;49103;49557;48477;49082
12/21/2021;47013;49318;46676;49059
12/20/2021;46741;47524;45581;47013
12/19/2021;46941;48285;46468;46741
12/18/2021;46946;47335;45557;46941
12/17/2021;48139;48163;45539;46946
12/16/2021;49221;49398;47715;48139
12/15/2021;48280;49495;46631;49221
12/14/2021;46892;48639;46378;48280
12/13/2021;49981;50380;45871;46892
12/12/2021;48847;50767;48672;49981
12/11/2021;47984;49285;46880;48847
12/10/2021;47996;49982;47355;47984
12/09/2021;50634;50851;47377;47996
12/08/2021;50500;51182;48750;50634
12/07/2021;50126;51942;50126;50500
12/06/2021;49275;50426;47290;50007
12/05/2021;48770;49746;47892;49275
12/04/2021;53648;53874;42169;48745
12/03/2021;56904;57464;52653;53672
12/02/2021;57026;57362;55859;56904
12/01/2021;57144;59093;56547;57026
11/30/2021;58266;59146;55932;57144
11/29/2021;56281;58878;56104;58266
11/28/2021;54601;56402;53578;56281
11/27/2021;54101;55339;53605;54601
11/26/2021;58834;59342;53577;54101
11/25/2021;57334;59399;56918;58834
11/24/2021;57696;57755;55928;57334
11/23/2021;56278;57847;55537;57696
11/22/2021;59568;59574;55706;56278
11/21/2021;59682;60044;58630;59568
11/20/2021;57924;59725;57570;59682
11/19/2021;57606;58396;55688;57924
11/18/2021;60101;60956;56777;57583
11/17/2021;60509;61067;58567;60101
11/16/2021;63864;64015;58870;60557
11/15/2021;64361;66311;63659;63864
11/14/2021;64317;65297;63673;64373
11/13/2021;64130;64941;63412;64317
11/12/2021;65030;65459;62334;64072
11/11/2021;64193;65597;63984;65030
11/10/2021;67802;68925;63052;64387
11/09/2021;66143;68494;66112;67802
11/08/2021;62862;66504;62817;66175
11/07/2021;61226;63058;61226;62862
11/06/2021;60966;61594;60184;61223
11/05/2021;61364;62571;60791;60966
11/04/2021;62769;63211;60776;61378
11/03/2021;63140;63543;61029;62769
11/02/2021;60652;64243;60460;63140
11/01/2021;60968;62466;59716;60652
10/31/2021;61698;62400;60058;60968
10/30/2021;62420;62490;60876;61705
10/29/2021;61398;62943;60315;62420
10/28/2021;58957;62321;57964;61465
10/27/2021;62095;62095;58153;58957
10/26/2021;62546;63272;61863;62068
10/25/2021;61153;63688;60654;62546
10/24/2021;61087;61451;59571;61124
10/23/2021;60728;61716;59764;61087
10/22/2021;62707;63694;60100;60752
10/21/2021;65980;66612;62368;62707
10/20/2021;64120;66923;63594;65971
10/19/2021;61369;64322;61139;64120
10/18/2021;59472;62626;59395;61445
10/17/2021;61013;61408;59071;59472
10/16/2021;62496;62526;60184;61024
10/15/2021;57449;62719;56896;62496
10/14/2021;56988;58488;56916;57491
10/13/2021;55364;57479;54325;56988
10/12/2021;57390;57631;54404;55364
10/11/2021;55425;57767;54445;57390
10/10/2021;54651;56370;54211;55425
10/09/2021;53951;55410;53738;54651
10/08/2021;54205;55981;53659;53951
10/07/2021;54903;55588;53496;54205
10/06/2021;51378;55399;50476;54903
10/05/2021;49016;51757;48595;51378
10/04/2021;48465;49491;46993;49016
10/03/2021;48045;49158;47139;48552
10/02/2021;48139;48441;47480;48045
10/01/2021;43432;48122;43302;48110
09/30/2021;41133;44110;40984;43432
09/29/2021;41792;42538;40806;41114
09/28/2021;42708;43364;41145;41792
09/27/2021;43607;44318;42689;42696
09/26/2021;42719;43695;40827;43607
09/25/2021;43001;43162;41750;42719
09/24/2021;44679;45076;40944;43001
09/23/2021;43445;44932;43051;44679
09/22/2021;40971;43988;39721;43445
09/21/2021;43489;43904;40391;40971
09/20/2021;47588;47660;42636;43489
09/19/2021;48008;48359;47182;47588
09/18/2021;47028;48797;46828;48008
09/17/2021;47102;48167;46775;47028
09/16/2021;47941;48497;47063;47102
09/15/2021;46828;48436;46418;47948
09/14/2021;45186;46926;44724;46828
09/13/2021;45023;46697;43561;45144
09/12/2021;45317;46198;44781;45023
09/11/2021;45094;46000;44304;45333
09/10/2021;46265;47041;44879;45094
09/09/2021;46154;47384;45586;46268
09/08/2021;46825;47357;44548;46154
09/07/2021;51930;52918;43917;46777
09/06/2021;51753;52142;51044;51930
09/05/2021;50195;51652;49527;51652
09/04/2021;50152;50543;49535;50195
09/03/2021;49553;50999;48379;50184
09/02/2021;48271;50333;48268;49556
09/01/2021;47008;48953;46567;48279
08/31/2021;48670;48679;46725;46996
08/30/2021;48927;49394;47500;48670
08/29/2021;48760;49605;47922;48897
08/28/2021;48913;49306;48405;48760
08/27/2021;47048;49076;46383;48946
08/26/2021;48721;49372;46444;47048
08/25/2021;48364;49147;47193;48748
08/24/2021;49525;49852;47856;48364
08/23/2021;48425;50478;48315;49509
08/22/2021;49070;49466;48225;48425
08/21/2021;48653;49799;48374;48988
08/20/2021;46587;48993;46361;48653
08/19/2021;44593;46831;44016;46568
08/18/2021;45017;45965;44283;44593
08/17/2021;46065;47140;44601;45017
08/16/2021;46750;48047;45728;46065
08/15/2021;46665;47349;45615;46750
