;sc;HAK;COU;BAR;MSC;TRU;ZON;VIL;FIS;SAL;VER;DIN;DLR;HEI;WUR;FRE;HER;ALE;BUT;RSC;GEN;BUR;MAZ
0;1;1;2;8;ab;ab;17;15;ab;3;5;19;4;13;11;9;6;14;7;18;10;16;12
1;1;1;2;7;ab;ab;17;15;ab;3;13;19;4;12;10;8;5;14;6;18;9;16;11
2;0;1;2;6;ab;ab;15;13;ab;3;19;18;4;11;10;7;5;12;8;16;9;14;17
3;0;1;2;6;ab;ab;15;13;ab;4;19;18;3;11;10;7;5;12;8;16;9;14;17
4;0;1;2;5;ab;ab;13;12;ab;4;18;17;3;10;9;ab;6;11;7;15;8;14;16
5;0;1;2;5;ab;ab;13;12;ab;4;18;17;3;10;9;ab;6;11;7;15;8;14;16
6;0;1;2;5;ab;ab;13;12;ab;4;18;17;3;11;9;ab;6;10;7;15;8;14;16
7;0;1;2;4;ab;ab;13;12;ab;5;18;16;3;11;9;ab;6;10;7;17;8;14;15
8;0;1;2;4;ab;ab;13;12;ab;5;17;15;3;11;9;ab;6;10;7;18;8;14;16
9;0;1;2;4;ab;ab;13;12;ab;5;17;15;3;11;9;ab;6;10;7;18;8;14;16
10;0;1;2;4;ab;ab;13;12;ab;5;17;15;3;11;9;ab;6;10;7;18;8;14;16
11;0;1;2;4;ab;ab;13;12;ab;5;17;15;3;11;9;ab;6;10;7;18;8;14;16
12;0;1;2;4;ab;ab;13;12;ab;5;16;14;3;11;9;ab;6;10;7;18;8;15;17
13;0;1;2;4;ab;ab;13;12;ab;5;17;14;3;11;9;ab;6;10;7;18;8;15;16
14;0;1;2;4;ab;ab;13;12;ab;5;ab;14;3;11;9;ab;6;10;7;17;8;15;16
15;0;1;2;4;ab;ab;13;12;ab;5;ab;14;3;11;10;ab;6;9;7;17;8;15;16
16;0;1;2;4;ab;ab;13;12;ab;5;ab;14;3;11;10;ab;6;9;7;17;8;15;16
17;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;10;ab;6;9;7;17;8;13;14
18;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;10;ab;6;9;7;17;8;13;14
19;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;10;ab;6;9;7;17;8;13;14
20;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;10;ab;6;9;7;17;8;13;14
21;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;10;ab;6;9;7;17;8;13;14
22;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;10;ab;6;9;7;17;8;13;14
23;0;1;2;4;ab;ab;15;12;ab;5;ab;16;3;11;9;ab;6;10;7;17;8;13;14
24;0;1;2;4;ab;ab;15;11;ab;5;ab;14;3;10;9;ab;6;13;7;17;8;12;16
25;0;1;2;4;ab;ab;15;11;ab;5;ab;14;3;10;9;ab;6;13;7;17;8;12;16
26;0;1;2;4;ab;ab;15;11;ab;5;ab;14;3;10;9;ab;6;13;7;17;8;12;16
27;0;1;2;4;ab;ab;15;11;ab;5;ab;14;3;10;9;ab;6;13;7;17;8;12;16
28;0;1;2;4;ab;ab;15;11;ab;5;ab;14;3;10;9;ab;6;13;7;17;8;12;16
