;sc;COU;MSC;FIS;HAK;DLR;TRU;WUR;HER;VIL;IRV;VER;ZON;HEI;RSC;SAL;BUT;FRE;BAR;DIN;ALE;MAZ;GEN
0;0;2;ab;ab;1;4;3;12;6;8;5;7;9;13;11;14;19;16;10;15;18;20;17
1;0;2;ab;ab;1;4;3;12;5;9;7;6;10;13;11;14;19;15;8;16;18;20;17
2;0;2;ab;ab;1;4;3;12;5;9;8;6;10;13;11;15;19;14;7;16;18;20;17
3;0;2;ab;ab;1;4;3;12;5;9;8;6;10;14;11;15;19;13;7;16;18;20;17
4;0;2;ab;ab;1;4;3;12;5;9;8;7;10;14;11;15;19;13;6;16;18;20;17
5;0;2;ab;ab;1;4;3;13;6;9;8;7;10;14;12;15;19;11;5;16;18;20;17
6;0;2;ab;ab;1;4;3;13;6;9;8;7;11;14;12;15;19;10;5;16;18;20;17
7;0;2;ab;ab;1;4;3;13;6;10;8;7;11;14;12;15;19;9;5;16;18;20;17
8;0;2;ab;ab;1;4;3;13;6;10;9;7;11;14;12;15;19;8;5;16;18;20;17
9;0;2;ab;ab;1;4;3;13;6;10;9;8;11;14;12;15;19;7;5;16;18;20;17
10;0;2;ab;ab;1;4;3;13;7;10;9;8;12;14;11;16;19;6;5;15;18;20;17
11;0;2;ab;ab;1;5;3;13;8;10;9;7;12;16;11;15;19;6;4;14;18;20;17
12;0;2;ab;ab;1;5;3;12;ab;9;8;7;11;15;10;14;18;6;4;13;17;19;16
13;0;2;ab;ab;1;5;3;12;ab;9;8;7;11;15;10;14;18;6;4;13;17;19;16
14;0;2;ab;ab;1;5;4;12;ab;9;8;7;11;15;10;14;18;6;3;13;17;19;16
15;0;2;ab;ab;1;5;4;12;ab;9;8;7;11;15;10;13;18;6;3;14;17;19;16
16;0;2;ab;ab;1;5;4;12;ab;9;8;7;11;15;10;13;18;6;3;14;17;19;16
17;0;2;ab;ab;1;4;3;12;ab;9;8;7;11;15;10;13;18;5;6;14;17;19;16
18;0;2;ab;ab;1;4;3;12;ab;9;8;7;11;15;10;13;18;6;5;14;17;19;16
19;0;2;ab;ab;1;4;3;12;ab;9;8;7;11;15;10;13;18;6;5;14;17;19;16
20;0;2;ab;ab;1;4;3;12;ab;9;8;7;11;14;10;13;18;6;5;15;17;19;16
21;0;2;ab;ab;1;4;3;11;ab;8;9;7;10;13;18;12;16;6;5;19;15;17;14
22;0;2;ab;ab;1;4;3;11;ab;7;8;9;10;13;18;12;16;6;5;19;15;17;14
23;0;2;ab;ab;1;4;3;9;ab;7;11;18;8;13;17;10;15;6;5;19;14;16;12
24;0;2;ab;ab;1;5;3;9;ab;7;17;16;8;19;15;10;12;6;4;18;13;14;11
25;1;1;ab;ab;2;6;5;14;ab;11;15;12;7;17;10;13;8;4;3;16;18;19;9
26;1;1;ab;ab;2;5;3;13;ab;9;15;11;10;17;8;12;7;6;4;16;18;19;14
27;1;6;ab;ab;1;4;2;12;ab;8;15;10;9;17;7;11;13;5;3;16;18;19;14
28;0;6;ab;ab;1;4;2;12;ab;7;15;10;9;18;8;11;13;5;3;16;17;19;14
29;1;6;ab;ab;1;4;2;9;ab;7;13;14;8;16;17;10;11;5;3;ab;ab;15;12
30;1;6;ab;ab;1;4;2;10;ab;7;13;14;8;16;17;9;11;5;3;ab;ab;15;12
31;0;6;ab;ab;1;4;2;ab;ab;7;13;12;8;15;16;9;10;5;3;ab;ab;14;11
32;0;6;ab;ab;1;4;2;ab;ab;7;13;12;8;16;15;9;10;5;3;ab;ab;14;11
33;0;5;ab;ab;1;4;2;ab;ab;7;14;11;8;15;12;9;10;6;3;ab;ab;13;ab
34;0;4;ab;ab;1;6;3;ab;ab;12;15;10;7;14;9;8;11;5;2;ab;ab;13;ab
35;0;2;ab;ab;5;8;7;ab;ab;12;15;11;4;13;6;10;9;3;1;ab;ab;14;ab
36;0;2;ab;ab;5;6;7;ab;ab;12;15;11;4;13;10;9;8;3;1;ab;ab;14;ab
37;0;2;ab;ab;4;7;11;ab;ab;10;14;8;ab;12;9;5;6;3;1;ab;ab;13;ab
38;0;5;ab;ab;2;7;11;ab;ab;10;14;8;ab;12;9;4;6;3;1;ab;ab;13;ab
39;0;3;ab;ab;2;6;9;ab;ab;8;12;ab;ab;10;7;4;5;ab;1;ab;ab;11;ab
40;0;3;ab;ab;2;6;9;ab;ab;8;11;ab;ab;12;7;4;5;ab;1;ab;ab;10;ab
41;0;3;ab;ab;2;6;9;ab;ab;8;10;ab;ab;12;7;4;5;ab;1;ab;ab;11;ab
42;0;3;ab;ab;2;6;9;ab;ab;8;10;ab;ab;12;7;4;5;ab;1;ab;ab;11;ab
43;0;3;ab;ab;2;6;9;ab;ab;8;10;ab;ab;12;7;5;4;ab;1;ab;ab;11;ab
44;0;3;ab;ab;2;6;9;ab;ab;8;10;ab;ab;12;7;5;4;ab;1;ab;ab;11;ab
