;sc;MSC;COU;HAK;RSC;BAR;FRE;FIS;BUT;SAL;IRV;WUR;TRU;DIN;ALE;DLR;VIL;HER;ZON;HEI;VER;GEN;MAZ
0;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;22;21;15;16;17;18;19;20
1;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;21;22;15;16;17;18;19;20
2;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;21;22;15;16;17;18;19;20
3;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;21;22;15;16;17;18;19;20
4;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;21;22;15;16;17;18;19;20
5;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;21;22;15;16;17;18;19;20
6;0;2;3;1;4;5;6;7;8;11;9;10;13;12;14;21;22;15;16;17;18;19;20
7;0;2;3;1;4;5;6;14;8;10;7;9;12;11;13;21;22;15;16;17;18;19;20
8;0;2;3;1;4;5;6;13;8;10;7;9;12;11;16;22;21;14;15;17;18;19;20
9;0;2;3;1;4;5;6;13;8;10;7;9;12;11;22;21;20;14;15;16;17;18;19
10;0;2;3;1;4;5;6;13;8;10;7;9;12;11;22;21;20;14;15;16;17;18;19
11;0;2;3;1;4;5;6;14;8;10;7;9;12;11;ab;21;20;13;15;16;17;18;19
12;0;2;3;1;4;5;6;14;8;10;7;9;12;11;ab;21;20;13;15;16;17;18;19
13;0;2;3;1;4;5;6;14;8;10;7;9;12;11;ab;21;20;13;15;16;17;18;19
14;0;2;3;1;4;5;6;16;8;10;7;9;12;11;ab;21;20;13;14;15;17;18;19
15;0;2;3;1;4;5;6;19;8;10;7;9;12;11;ab;21;20;13;14;15;16;17;18
16;0;2;3;1;4;5;6;19;8;10;7;9;12;11;ab;21;20;13;14;15;16;17;18
17;0;2;3;1;4;5;6;19;8;10;7;9;12;11;ab;21;20;13;14;15;16;17;18
18;0;2;3;1;4;5;6;20;8;10;7;9;12;11;ab;21;19;13;14;15;16;17;18
19;0;2;3;1;4;5;6;20;8;10;7;9;12;11;ab;21;18;13;14;15;16;17;19
20;0;2;3;1;4;5;6;20;8;10;7;9;12;11;ab;21;18;13;14;15;16;17;19
21;0;2;3;1;4;5;6;20;8;10;7;9;12;11;ab;21;18;13;14;15;16;17;19
22;0;2;3;1;4;5;6;19;8;10;7;9;12;11;ab;20;17;13;14;ab;15;16;18
23;0;2;3;1;4;5;6;19;7;10;8;9;12;11;ab;20;17;13;14;ab;15;16;18
24;0;2;3;1;4;5;6;19;7;9;11;8;12;10;ab;20;17;13;14;ab;16;15;18
25;0;2;3;1;4;5;6;19;7;9;11;8;12;10;ab;20;16;13;14;ab;17;15;18
26;0;2;3;1;4;5;6;20;7;9;11;8;12;10;ab;19;16;13;14;ab;17;15;18
27;0;4;2;1;5;3;6;20;7;9;11;8;12;10;ab;19;13;16;14;ab;17;15;18
28;0;3;2;1;7;4;5;20;6;9;10;8;12;11;ab;19;13;14;16;ab;15;17;18
29;0;3;2;1;7;6;4;20;5;9;10;8;11;12;ab;19;16;13;15;ab;14;17;18
30;0;3;2;1;7;6;4;20;5;11;9;8;10;12;ab;19;16;13;15;ab;14;17;18
31;0;3;1;2;6;5;4;ab;7;11;9;8;10;12;ab;19;16;13;15;ab;14;17;18
32;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;16;13;15;ab;14;17;18
33;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
34;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
35;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
36;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
37;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
38;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
39;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
40;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
41;0;2;3;1;5;4;6;ab;7;10;8;11;9;12;ab;19;15;13;16;ab;14;17;18
42;0;2;3;1;5;4;6;ab;7;9;8;10;11;12;ab;19;15;13;16;ab;14;17;18
