;sc;HAK;TRU;BUT;MSC;COU;RSC;VIL;FRE;HER;BAR;FIS;IRV;ZON;HEI;DIN;DLR;ALE;SAL;WUR;VER;GEN;MAZ
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;15;17;18;19;20;21;22
1;0;1;2;3;4;5;6;7;8;10;9;11;12;13;14;22;15;16;17;19;18;20;21
2;0;1;2;3;4;5;6;7;8;10;9;11;12;13;14;22;17;15;16;19;18;20;21
3;0;1;2;4;3;5;6;7;8;10;9;11;12;13;14;22;17;16;15;19;18;20;21
4;0;1;ab;5;2;3;4;6;7;9;8;10;11;12;14;18;15;17;13;16;19;20;21
5;0;1;ab;4;2;3;5;7;8;11;9;12;6;13;21;16;15;14;10;17;20;19;18
6;0;1;ab;3;4;2;6;9;10;13;11;16;5;14;19;12;18;8;7;21;17;15;20
7;0;1;ab;6;2;3;4;7;8;11;9;16;12;13;19;10;18;5;14;20;17;15;21
8;0;1;ab;5;2;9;3;6;8;11;7;ab;12;13;18;10;17;4;14;19;16;15;20
9;0;1;ab;5;2;9;3;6;8;11;7;ab;12;13;17;10;16;4;14;19;18;15;20
10;0;1;ab;5;2;9;3;6;8;11;7;ab;12;13;17;10;16;4;14;19;18;15;20
11;0;1;ab;5;2;9;3;6;8;11;7;ab;12;13;17;10;16;4;14;18;19;15;20
12;0;2;ab;5;1;9;3;6;8;11;7;ab;12;14;ab;10;16;4;13;17;18;15;19
13;0;2;ab;5;1;9;3;6;8;11;7;ab;12;14;ab;10;17;4;13;16;18;15;19
14;0;2;ab;5;1;9;3;6;8;11;7;ab;12;14;ab;10;17;4;13;16;18;15;19
15;0;2;ab;5;1;9;3;6;8;11;7;ab;12;14;ab;10;17;4;13;16;18;15;19
16;0;2;ab;5;1;9;3;6;8;11;7;ab;12;14;ab;10;17;4;13;16;18;15;19
17;0;2;ab;5;1;9;3;6;8;11;7;ab;12;14;ab;10;17;4;13;16;18;15;19
18;0;2;ab;4;1;8;3;5;7;11;6;ab;13;14;ab;9;17;10;12;16;18;15;19
19;0;2;ab;4;1;7;3;5;6;11;8;ab;13;14;ab;9;17;10;12;16;18;15;19
20;0;2;ab;4;1;7;3;5;6;10;11;ab;13;14;ab;9;17;8;12;16;18;15;19
21;0;2;ab;4;1;7;3;5;6;9;10;ab;11;13;ab;14;17;8;12;16;18;15;19
22;0;1;ab;4;3;7;2;5;6;10;9;ab;11;14;ab;12;17;8;13;16;18;15;19
23;0;1;ab;4;3;6;2;7;5;10;9;ab;11;14;ab;12;17;8;13;15;18;16;19
24;0;1;ab;4;2;6;3;10;5;9;8;ab;11;14;ab;12;16;7;13;15;19;17;18
25;0;1;ab;3;2;6;4;10;5;9;8;ab;11;14;ab;12;15;7;13;18;19;16;17
26;0;1;ab;8;2;5;3;10;4;9;7;ab;11;14;ab;12;19;6;13;17;18;15;16
27;0;2;ab;8;1;5;3;10;4;9;6;ab;11;14;ab;12;19;7;13;16;18;15;17
28;0;2;ab;6;1;7;3;9;8;10;4;ab;11;14;ab;12;18;5;13;16;17;15;19
29;0;2;ab;6;1;7;3;9;8;13;4;ab;12;14;ab;10;18;5;11;16;17;15;19
30;0;2;ab;5;1;7;3;9;8;12;4;ab;13;14;ab;10;18;6;11;16;17;15;19
31;0;2;ab;5;1;6;3;8;7;12;4;ab;13;14;ab;11;18;9;10;16;17;15;19
32;0;2;ab;4;1;5;3;7;6;9;ab;ab;10;12;ab;11;16;ab;8;13;15;14;17
33;0;2;ab;4;1;5;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
34;0;2;ab;4;1;5;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
35;0;2;ab;4;1;5;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
36;0;2;ab;5;1;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
37;0;2;ab;5;1;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
38;0;2;ab;5;1;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
39;0;2;ab;5;1;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
40;0;1;ab;5;2;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
41;0;1;ab;5;2;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
42;0;1;ab;5;2;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
43;0;1;ab;5;2;4;3;7;6;8;ab;ab;10;12;ab;11;16;ab;9;13;15;14;17
