;sc;MSC;HAK;COU;BAR;WUR;VIL;IRV;RSC;TRU;FRE;ZON;HER;FIS;DLR;VER;BUT;SAL;ALE;HEI;DIN;GEN;MAZ
0;1;3;1;2;4;5;6;7;14;16;8;12;9;13;ab;18;10;11;19;ab;ab;15;17
1;1;3;1;2;4;5;6;7;14;19;8;12;9;13;ab;17;10;11;18;ab;ab;15;16
2;0;2;4;1;3;5;6;7;14;19;8;11;9;13;ab;16;10;12;18;ab;ab;15;17
3;0;2;4;1;3;5;6;7;14;19;8;9;10;13;ab;15;12;11;18;ab;ab;16;17
4;0;2;7;1;3;4;5;6;15;19;14;8;9;12;ab;13;11;10;18;ab;ab;16;17
5;0;2;18;1;3;4;5;6;13;17;19;7;8;11;ab;12;10;9;15;ab;ab;14;16
6;0;2;18;1;3;4;5;6;13;17;19;7;8;12;ab;11;10;9;15;ab;ab;14;16
7;0;2;18;1;3;4;5;6;13;16;ab;7;8;12;ab;11;10;9;15;ab;ab;14;17
8;0;2;18;1;3;4;5;6;15;16;ab;7;9;12;ab;11;10;8;14;ab;ab;13;17
9;0;2;16;1;3;4;5;6;15;18;ab;7;9;12;ab;11;10;8;13;ab;ab;14;17
10;0;2;16;1;3;4;5;6;15;18;ab;7;9;12;ab;11;10;8;13;ab;ab;14;17
11;0;2;16;1;3;4;5;6;15;18;ab;7;9;12;ab;10;11;8;13;ab;ab;14;17
12;0;2;15;1;3;4;5;6;16;18;ab;7;9;12;ab;10;11;8;13;ab;ab;14;17
13;0;2;15;1;3;4;5;6;16;18;ab;7;9;12;ab;10;11;8;13;ab;ab;14;17
14;0;2;14;1;3;4;5;6;16;18;ab;7;9;12;ab;10;11;8;13;ab;ab;15;17
15;0;2;14;1;3;4;5;6;16;18;ab;7;9;12;ab;10;11;8;13;ab;ab;15;17
16;0;2;12;1;3;4;5;6;15;18;ab;7;8;11;ab;9;10;13;17;ab;ab;14;16
17;0;1;12;6;2;3;4;5;15;18;ab;7;8;11;ab;9;10;13;17;ab;ab;14;16
18;0;1;11;6;2;3;4;5;14;17;ab;7;8;10;ab;9;ab;12;16;ab;ab;13;15
19;0;1;11;5;2;4;3;9;14;17;ab;6;7;10;ab;8;ab;12;16;ab;ab;13;15
20;0;1;10;4;2;8;3;9;14;17;ab;5;6;11;ab;7;ab;12;16;ab;ab;13;15
21;0;1;10;4;2;8;3;9;14;17;ab;5;6;11;ab;7;ab;12;16;ab;ab;13;15
22;0;1;10;3;2;7;8;9;14;17;ab;4;5;11;ab;6;ab;12;16;ab;ab;13;15
23;0;1;8;3;2;6;7;9;14;17;ab;10;4;11;ab;5;ab;12;16;ab;ab;13;15
24;0;2;8;3;1;6;7;9;14;17;ab;10;4;11;ab;5;ab;12;16;ab;ab;13;15
25;0;1;7;2;3;8;6;9;14;17;ab;10;4;11;ab;5;ab;12;16;ab;ab;13;15
26;0;1;7;2;3;8;6;9;14;17;ab;11;4;10;ab;5;ab;12;15;ab;ab;13;16
27;0;1;7;2;3;8;6;9;14;17;ab;11;5;10;ab;4;ab;12;15;ab;ab;13;16
28;0;1;6;2;3;7;5;8;15;17;ab;10;12;9;ab;4;ab;11;13;ab;ab;14;16
29;0;1;4;2;3;6;5;7;14;16;ab;9;12;8;ab;11;ab;10;13;ab;ab;15;17
30;0;1;4;2;3;6;5;7;14;16;ab;9;12;8;ab;11;ab;10;13;ab;ab;15;17
31;0;1;4;2;3;6;5;7;14;16;ab;9;12;8;ab;11;ab;10;13;ab;ab;15;17
32;0;1;4;2;3;6;5;7;14;16;ab;8;12;11;ab;10;ab;9;13;ab;ab;15;17
33;0;1;4;2;3;6;5;7;14;16;ab;8;12;11;ab;10;ab;9;13;ab;ab;15;17
34;0;1;4;2;3;6;5;7;14;16;ab;8;12;11;ab;10;ab;9;13;ab;ab;15;17
35;0;1;6;2;3;9;4;5;13;16;ab;7;12;11;ab;10;ab;8;14;ab;ab;15;17
36;0;1;6;2;3;8;4;5;13;15;ab;7;11;10;ab;9;ab;12;14;ab;ab;ab;16
37;0;1;6;2;3;7;4;5;13;15;ab;10;12;9;ab;8;ab;11;14;ab;ab;ab;16
38;0;1;5;3;2;7;6;4;13;15;ab;9;11;12;ab;8;ab;10;14;ab;ab;ab;16
39;0;2;5;3;1;7;6;4;13;16;ab;9;11;12;ab;8;ab;10;14;ab;ab;ab;15
40;0;2;4;3;1;7;5;6;13;16;ab;9;11;12;ab;8;ab;10;14;ab;ab;ab;15
41;0;1;4;2;3;7;5;6;13;15;ab;9;11;12;ab;8;ab;10;14;ab;ab;ab;16
42;0;1;4;2;3;7;5;6;13;15;ab;9;11;12;ab;8;ab;10;14;ab;ab;ab;16
43;0;1;4;2;3;7;5;6;ab;14;ab;9;11;12;ab;8;ab;10;13;ab;ab;ab;15
44;0;1;4;2;3;7;5;6;ab;14;ab;9;11;12;ab;8;ab;10;13;ab;ab;ab;15
45;0;1;4;2;3;7;5;6;ab;14;ab;9;11;12;ab;8;ab;10;13;ab;ab;ab;15
46;0;1;4;2;3;7;5;6;ab;13;ab;ab;10;11;ab;8;ab;9;12;ab;ab;ab;14
47;0;1;4;2;3;7;5;6;ab;13;ab;ab;10;11;ab;8;ab;9;12;ab;ab;ab;14
48;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;10;ab;8;ab;9;11;ab;ab;ab;13
49;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;10;ab;8;ab;9;11;ab;ab;ab;13
50;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;10;ab;8;ab;9;11;ab;ab;ab;13
51;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;10;ab;8;ab;9;11;ab;ab;ab;13
52;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;10;ab;8;ab;9;11;ab;ab;ab;13
53;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;10;ab;8;ab;9;11;ab;ab;ab;13
54;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;9;ab;10;ab;8;11;ab;ab;ab;13
55;0;1;4;2;3;7;5;6;ab;12;ab;ab;ab;9;ab;10;ab;8;11;ab;ab;ab;13
