;sc;HAK;COU;MSC;BAR;FIS;IRV;FRE;ZON;BUT;VIL;RSC;TRU;WUR;VER;ALE;DLR;HER;GEN;HEI;MAZ
0;0;1;4;2;3;6;5;7;8;13;10;12;9;20;11;14;17;15;18;16;19
1;0;2;4;1;3;6;5;7;9;14;10;12;8;20;11;13;16;15;18;17;19
2;0;2;4;1;3;6;5;7;9;14;11;13;8;20;10;12;16;15;18;17;19
3;0;2;4;1;3;6;5;8;10;14;12;13;7;20;9;11;16;15;18;17;19
4;0;2;4;1;3;6;5;8;10;14;12;13;7;20;9;11;16;15;18;17;19
5;0;2;4;1;3;6;5;8;10;14;12;13;7;20;9;11;16;15;18;17;19
6;0;2;4;1;3;7;5;9;10;14;12;13;6;ab;8;11;16;15;18;17;19
7;0;2;4;1;3;7;5;9;10;14;12;13;6;ab;8;11;16;15;18;17;19
8;0;2;4;1;3;7;5;9;11;13;14;12;6;ab;8;10;16;15;18;17;19
9;0;2;4;1;3;7;5;9;11;13;14;12;6;ab;8;10;16;15;17;ab;18
10;0;2;4;1;3;8;5;10;11;13;14;12;6;ab;7;9;16;15;17;ab;18
11;0;2;4;1;3;8;5;9;10;12;13;11;6;ab;7;ab;15;14;16;ab;17
12;0;2;4;1;3;8;5;9;10;12;13;11;6;ab;7;ab;15;14;16;ab;17
13;0;2;4;1;3;8;5;9;10;12;13;11;6;ab;7;ab;15;14;16;ab;17
14;0;3;4;1;2;8;5;9;10;12;13;11;6;ab;7;ab;14;15;16;ab;17
15;0;3;4;1;2;8;6;9;10;12;13;11;5;ab;7;ab;14;15;16;ab;17
16;0;3;4;1;2;8;6;9;10;12;ab;11;5;ab;7;ab;13;14;15;ab;16
17;0;3;4;1;2;8;6;9;10;12;ab;11;5;ab;7;ab;13;14;15;ab;16
18;0;3;4;1;2;8;6;9;10;12;ab;11;5;ab;7;ab;13;14;15;ab;16
19;0;3;4;1;2;8;6;9;10;12;ab;11;5;ab;7;ab;13;14;15;ab;16
20;0;2;4;3;1;7;ab;8;9;11;ab;10;5;ab;6;ab;12;13;14;ab;15
21;0;2;4;3;1;7;ab;8;9;11;ab;10;5;ab;6;ab;12;13;14;ab;15
22;0;1;3;2;4;7;ab;8;9;11;ab;10;5;ab;6;ab;12;13;14;ab;15
23;0;1;3;2;4;7;ab;8;9;11;ab;10;5;ab;6;ab;12;13;14;ab;15
24;0;1;3;2;4;7;ab;8;9;11;ab;10;5;ab;6;ab;12;13;14;ab;15
25;0;1;3;2;4;7;ab;8;9;11;ab;10;5;ab;6;ab;12;13;14;ab;15
26;0;1;3;2;8;6;ab;7;14;10;ab;9;4;ab;5;ab;11;12;13;ab;15
27;0;1;3;2;ab;6;ab;7;14;10;ab;8;4;ab;5;ab;9;11;12;ab;13
28;0;1;3;2;ab;5;ab;6;14;10;ab;8;7;ab;4;ab;9;11;12;ab;13
29;0;2;3;1;ab;5;ab;6;14;10;ab;8;7;ab;4;ab;9;11;12;ab;13
30;0;ab;2;1;ab;4;ab;5;13;9;ab;7;6;ab;3;ab;8;10;11;ab;12
31;0;ab;2;1;ab;4;ab;5;12;9;ab;7;6;ab;3;ab;8;10;ab;ab;11
32;0;ab;2;1;ab;4;ab;5;12;9;ab;7;6;ab;3;ab;8;10;ab;ab;11
33;0;ab;2;1;ab;4;ab;5;12;9;ab;7;6;ab;3;ab;8;10;ab;ab;11
34;0;ab;2;1;ab;3;ab;5;12;9;ab;7;6;ab;4;ab;8;10;ab;ab;11
35;0;ab;2;1;ab;3;ab;4;12;8;ab;6;5;ab;10;ab;7;9;ab;ab;11
36;0;ab;2;1;ab;3;ab;4;12;7;ab;6;5;ab;10;ab;8;9;ab;ab;11
37;0;ab;2;1;ab;3;ab;4;12;7;ab;6;5;ab;9;ab;10;8;ab;ab;11
38;0;ab;2;1;ab;3;ab;4;12;7;ab;6;5;ab;9;ab;10;8;ab;ab;11
39;0;ab;2;1;ab;3;ab;4;12;7;ab;6;5;ab;9;ab;10;8;ab;ab;11
40;0;ab;2;1;ab;3;ab;4;12;7;ab;6;5;ab;9;ab;10;8;ab;ab;11
41;0;ab;2;1;ab;3;ab;7;12;6;ab;5;4;ab;9;ab;10;8;ab;ab;11
42;0;ab;2;1;ab;3;ab;7;12;6;ab;5;4;ab;9;ab;10;8;ab;ab;11
43;0;ab;2;1;ab;3;ab;7;12;6;ab;5;4;ab;8;ab;10;9;ab;ab;11
44;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
45;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
46;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
47;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
48;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
49;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
50;0;ab;2;1;ab;3;ab;5;12;8;ab;6;4;ab;7;ab;9;10;ab;ab;11
51;0;ab;2;1;ab;3;ab;5;10;8;ab;6;4;ab;7;ab;9;ab;ab;ab;11
52;0;ab;2;1;ab;3;ab;5;10;8;ab;6;4;ab;7;ab;9;ab;ab;ab;11
53;0;ab;2;1;ab;3;ab;5;10;8;ab;6;4;ab;7;ab;9;ab;ab;ab;11
54;0;ab;2;1;ab;3;ab;5;10;8;ab;6;4;ab;7;ab;9;ab;ab;ab;11
55;0;ab;2;1;ab;3;ab;5;10;7;ab;6;4;ab;8;ab;9;ab;ab;ab;11
56;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
57;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
58;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
59;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
60;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
61;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
62;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
63;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
64;0;ab;2;1;ab;3;ab;4;10;7;ab;6;5;ab;8;ab;9;ab;ab;ab;11
