;sc;MSC;HAK;BAR;COU;RSC;VIL;TRU;FRE;IRV;BUT;VER;SAL;FIS;HER;DIN;ZON;ALE;WUR;HEI;GEN;MAZ;DLR
0;0;1;2;5;4;3;6;8;7;12;9;13;10;16;15;ab;11;17;14;20;19;21;18
1;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
2;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
3;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
4;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
5;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
6;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
7;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
8;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
9;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
10;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
11;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
12;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
13;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
14;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
15;0;1;2;5;4;3;6;8;7;13;9;12;10;16;15;ab;11;ab;14;18;17;19;ab
16;0;1;2;5;4;3;6;8;7;13;9;12;10;15;14;ab;11;ab;16;18;17;19;ab
17;0;1;2;5;4;3;6;8;7;13;9;12;10;15;14;ab;11;ab;17;18;19;16;ab
18;0;1;2;5;4;3;6;8;7;12;14;11;9;17;13;ab;10;ab;16;18;19;15;ab
19;0;1;2;5;4;3;6;8;7;12;13;11;9;16;17;ab;10;ab;15;18;19;14;ab
20;0;1;2;5;4;3;8;7;6;12;13;11;9;16;17;ab;10;ab;15;18;19;14;ab
21;0;1;2;5;4;3;ab;7;6;15;11;10;8;14;16;ab;9;ab;13;17;18;12;ab
22;0;1;2;4;3;5;ab;17;6;13;10;9;7;12;14;ab;8;ab;11;15;16;18;ab
23;0;2;1;3;4;5;ab;16;6;13;10;9;7;12;14;ab;8;ab;11;15;18;17;ab
24;0;3;1;2;5;4;ab;16;6;13;9;8;7;12;14;ab;10;ab;11;15;18;17;ab
25;0;2;1;4;5;3;ab;14;6;12;8;ab;7;11;13;ab;9;ab;10;15;17;16;ab
26;0;1;2;4;5;3;ab;14;8;12;7;ab;6;11;13;ab;9;ab;10;15;17;16;ab
27;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
28;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
29;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
30;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
31;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
32;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
33;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
34;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
35;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
36;0;1;2;4;5;3;ab;14;7;12;6;ab;8;11;13;ab;9;ab;10;15;17;16;ab
37;0;1;2;4;5;3;ab;13;7;11;6;ab;8;10;12;ab;9;ab;15;14;17;16;ab
38;0;1;2;4;5;3;ab;12;7;11;6;ab;8;10;15;ab;9;ab;14;13;17;16;ab
39;0;1;2;4;5;3;ab;12;7;11;6;ab;8;10;15;ab;9;ab;14;13;17;16;ab
40;0;1;2;5;3;4;ab;11;10;13;6;ab;7;9;14;ab;8;ab;12;16;17;15;ab
41;0;2;1;5;3;4;ab;10;9;13;8;ab;6;11;14;ab;7;ab;12;17;16;15;ab
42;0;2;1;5;3;4;ab;10;9;13;8;ab;6;11;14;ab;7;ab;12;17;15;16;ab
43;0;2;1;5;3;4;ab;10;9;13;8;ab;6;11;14;ab;7;ab;12;17;15;16;ab
44;0;2;1;5;3;4;ab;14;9;12;8;ab;6;10;13;ab;7;ab;11;17;15;16;ab
45;0;2;1;5;3;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
46;0;2;1;5;3;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
47;0;3;1;5;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
48;0;3;1;5;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
49;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
50;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
51;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
52;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
53;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
54;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
55;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
56;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
57;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
58;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
59;0;5;1;3;2;4;ab;14;7;12;6;ab;8;10;13;ab;9;ab;11;17;15;16;ab
60;0;5;1;3;2;4;ab;13;7;12;6;ab;8;10;14;ab;9;ab;11;17;15;16;ab
61;0;5;1;3;2;4;ab;12;6;11;17;ab;7;9;13;ab;8;ab;10;16;14;15;ab
62;0;5;1;3;2;4;ab;12;6;11;17;ab;7;9;13;ab;8;ab;10;16;14;15;ab
63;0;5;1;3;2;4;ab;12;6;11;17;ab;7;9;13;ab;8;ab;10;16;14;15;ab
64;0;5;1;3;2;4;ab;12;6;11;17;ab;7;9;13;ab;8;ab;10;16;14;15;ab
