;sc;MSC;TRU;COU;FRE;HAK;BAR;ALE;FIS;RSC;IRV;HER;WUR;SAL;BUT;VER;DLR;VIL;HEI;DIN;ZON;GEN;MAZ
0;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
1;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
2;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
3;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
4;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
5;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
6;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
7;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
8;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
9;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
10;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
11;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
12;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
13;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
14;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
15;0;1;2;3;4;5;8;7;9;6;11;10;18;12;19;13;ab;15;21;14;16;20;17
16;0;1;2;3;4;5;8;7;9;6;11;10;18;12;ab;13;ab;15;20;14;16;19;17
17;0;1;2;3;4;5;8;7;9;6;11;10;18;12;ab;13;ab;15;20;14;16;19;17
18;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;19;14;16;18;17
19;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;19;14;16;18;17
20;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;19;14;16;18;17
21;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;18;14;16;ab;17
22;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;17;14;16;ab;ab
23;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;17;14;16;ab;ab
24;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;17;14;16;ab;ab
25;0;1;2;3;4;5;8;7;9;6;11;10;ab;12;ab;13;ab;15;17;14;16;ab;ab
26;0;1;2;3;4;5;8;7;9;6;10;17;ab;11;ab;12;ab;14;16;13;15;ab;ab
27;0;1;2;3;4;5;8;7;9;6;10;17;ab;11;ab;12;ab;14;16;13;15;ab;ab
28;0;1;2;3;4;5;8;7;9;6;10;17;ab;11;ab;12;ab;14;16;13;15;ab;ab
29;0;1;2;3;4;5;7;ab;8;6;9;16;ab;10;ab;11;ab;13;15;12;14;ab;ab
30;0;1;2;3;4;5;7;ab;8;6;9;15;ab;10;ab;11;ab;12;14;ab;13;ab;ab
31;0;1;2;3;4;5;7;ab;8;6;9;15;ab;10;ab;11;ab;12;14;ab;13;ab;ab
32;0;1;2;3;4;5;7;ab;8;6;9;15;ab;10;ab;11;ab;12;14;ab;13;ab;ab
33;0;1;2;3;4;5;7;ab;8;6;9;15;ab;10;ab;11;ab;12;14;ab;13;ab;ab
34;0;1;2;3;4;5;7;ab;8;6;9;15;ab;10;ab;11;ab;12;14;ab;13;ab;ab
35;0;1;2;3;4;14;6;ab;7;5;8;15;ab;9;ab;10;ab;11;13;ab;12;ab;ab
36;0;1;ab;2;3;13;5;ab;6;4;7;14;ab;8;ab;9;ab;10;12;ab;11;ab;ab
37;0;1;ab;2;3;12;4;ab;5;ab;6;13;ab;7;ab;8;ab;9;11;ab;10;ab;ab
38;0;1;ab;2;3;12;4;ab;5;ab;6;13;ab;7;ab;8;ab;9;11;ab;10;ab;ab
39;0;1;ab;2;3;12;4;ab;5;ab;6;13;ab;7;ab;8;ab;9;11;ab;10;ab;ab
40;0;1;ab;2;3;12;4;ab;5;ab;6;13;ab;7;ab;8;ab;9;11;ab;10;ab;ab
41;0;1;ab;2;3;11;4;ab;5;ab;6;13;ab;7;ab;12;ab;8;10;ab;9;ab;ab
42;0;1;ab;2;3;11;4;ab;5;ab;6;13;ab;7;ab;12;ab;8;10;ab;9;ab;ab
43;0;1;ab;2;3;11;4;ab;5;ab;6;13;ab;7;ab;12;ab;8;10;ab;9;ab;ab
44;0;1;ab;2;3;9;4;ab;5;ab;6;13;ab;7;ab;12;ab;8;11;ab;10;ab;ab
45;0;1;ab;2;3;9;4;ab;5;ab;6;13;ab;7;ab;11;ab;8;12;ab;10;ab;ab
