;sc;MSC;BAR;HAK;FRE;RSC;COU;TRU;VIL;PAN;HEI;MON;IRV;RAI;ALE;VER;BUT;FIS;BER;ALO;MAZ;BUR;MAR
0;0;1;5;2;3;4;7;6;8;10;9;13;21;16;15;11;14;12;18;19;ab;17;20
1;0;1;4;2;3;7;5;6;8;10;9;13;21;16;15;11;14;12;17;19;ab;18;20
2;0;1;3;2;16;6;4;5;7;8;10;12;19;15;14;9;13;11;ab;18;ab;17;20
3;0;1;3;2;16;6;4;5;7;8;10;12;19;15;14;9;13;11;ab;18;ab;17;ab
4;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
5;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
6;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
7;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
8;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
9;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
10;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
11;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
12;1;1;3;2;14;ab;4;5;ab;6;8;10;17;13;12;7;11;9;ab;16;ab;15;ab
13;1;1;3;2;13;ab;4;5;ab;6;7;9;16;12;11;17;10;8;ab;15;ab;14;ab
14;1;1;3;2;13;ab;4;5;ab;6;7;9;16;12;11;17;10;8;ab;15;ab;14;ab
15;0;1;3;2;12;ab;4;5;ab;6;7;8;15;11;14;17;10;9;ab;16;ab;13;ab
16;0;1;3;2;12;ab;4;5;ab;6;7;8;15;10;14;17;11;9;ab;16;ab;13;ab
17;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
18;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
19;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
20;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
21;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
22;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
23;0;1;3;2;11;ab;4;5;ab;6;7;8;14;10;13;16;17;9;ab;15;ab;12;ab
24;0;1;3;2;10;ab;4;5;ab;6;7;8;14;9;13;16;17;11;ab;15;ab;12;ab
25;0;1;2;ab;9;ab;3;4;ab;5;6;7;12;8;11;14;15;16;ab;13;ab;10;ab
26;0;1;2;ab;9;ab;3;4;ab;5;6;7;12;8;11;14;15;16;ab;13;ab;10;ab
27;0;1;2;ab;9;ab;3;4;ab;5;6;7;12;8;11;14;15;16;ab;13;ab;10;ab
28;0;1;2;ab;9;ab;3;4;ab;5;6;7;12;8;11;14;15;16;ab;13;ab;10;ab
29;0;1;2;ab;9;ab;3;4;ab;5;6;7;12;8;11;14;15;16;ab;13;ab;10;ab
30;0;1;2;ab;9;ab;3;4;ab;5;6;7;12;8;11;14;15;16;ab;13;ab;10;ab
31;0;1;2;ab;9;ab;3;5;ab;4;6;7;12;8;11;13;16;15;ab;14;ab;10;ab
32;0;1;2;ab;8;ab;3;12;ab;4;5;6;11;7;10;13;16;15;ab;14;ab;9;ab
33;0;1;3;ab;8;ab;2;13;ab;4;5;6;11;7;10;12;16;15;ab;14;ab;9;ab
34;0;1;3;ab;8;ab;2;13;ab;4;5;6;10;7;12;11;16;15;ab;14;ab;9;ab
35;0;1;3;ab;7;ab;2;13;ab;4;5;6;8;9;12;10;16;15;ab;14;ab;11;ab
36;0;3;2;ab;8;ab;1;13;ab;4;6;5;7;9;12;10;16;15;ab;14;ab;11;ab
37;0;3;2;ab;8;ab;1;13;ab;4;6;5;7;9;11;12;16;15;ab;14;ab;10;ab
38;0;2;4;ab;7;ab;1;ab;ab;3;6;5;9;8;11;12;15;14;ab;13;ab;10;ab
39;0;2;4;ab;7;ab;1;ab;ab;5;6;3;9;8;11;12;15;14;ab;13;ab;10;ab
40;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
41;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
42;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
43;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
44;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
45;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
46;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;10;11;14;13;ab;12;ab;9;ab
47;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;11;10;14;13;ab;12;ab;9;ab
48;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;8;7;11;10;14;13;ab;12;ab;9;ab
49;0;1;3;ab;6;ab;2;ab;ab;4;5;ab;11;7;10;9;13;14;ab;12;ab;8;ab
