;sc;RSC;MSC;COU;HAK;TRU;MON;FRE;BAR;HEI;VIL;PAN;IRV;RAI;DLR;BUR2;FIS;BUT;VER;ALE;BER;ALO;MAR
0;0;1;2;3;np;6;4;7;5;10;8;12;11;9;21;13;16;17;14;18;15;20;19
1;0;1;2;3;np;6;4;7;5;10;8;11;12;9;21;13;17;16;14;18;15;20;19
2;0;1;2;3;np;6;4;7;5;10;8;11;12;9;21;13;17;16;14;18;15;20;19
3;0;1;2;3;np;6;4;7;5;10;8;11;12;9;21;13;17;16;14;18;15;20;19
4;0;1;2;3;np;6;4;7;5;10;8;11;12;9;21;13;17;16;14;18;15;20;19
5;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
6;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
7;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
8;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
9;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
10;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
11;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
12;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
13;0;1;2;3;np;6;4;7;5;9;ab;10;11;8;20;12;16;15;13;17;14;19;18
14;0;1;2;3;np;6;4;7;5;8;ab;10;11;9;20;12;16;15;13;17;14;19;18
15;0;1;2;3;np;6;4;7;5;8;ab;9;10;16;20;11;15;14;12;17;13;19;18
16;0;1;2;3;np;6;4;7;5;8;ab;9;10;16;20;11;15;14;12;17;13;19;18
17;0;1;2;3;np;6;4;7;5;8;ab;9;10;15;19;11;14;13;12;16;ab;18;17
18;0;1;2;3;np;6;4;7;5;8;ab;9;10;14;19;11;13;15;12;16;ab;18;17
19;0;1;2;3;np;6;4;7;5;8;ab;9;10;13;19;11;14;16;12;15;ab;18;17
20;0;1;2;3;np;6;4;7;5;8;ab;10;9;13;19;11;15;16;12;14;ab;18;17
21;0;1;2;3;np;5;4;6;7;11;ab;9;8;13;19;10;15;16;12;14;ab;18;17
22;0;1;2;3;np;5;4;6;7;11;ab;9;8;13;19;10;14;15;12;16;ab;18;17
23;0;2;1;3;np;5;4;7;6;10;ab;13;8;12;19;9;14;15;11;16;ab;18;17
24;0;4;1;2;np;6;3;10;5;8;ab;12;7;11;19;9;14;15;13;16;ab;18;17
25;0;4;3;1;np;7;2;9;5;8;ab;11;6;10;19;12;13;14;17;15;ab;16;18
26;0;3;2;4;np;7;1;9;5;8;ab;11;6;10;19;12;13;14;17;15;ab;16;18
27;0;3;2;4;np;6;1;8;5;7;ab;11;9;10;19;12;13;14;17;15;ab;16;18
28;0;3;2;4;np;6;1;8;5;7;ab;11;9;10;19;12;13;14;17;15;ab;16;18
29;0;3;2;4;np;6;1;8;5;7;ab;11;9;10;19;12;13;14;17;15;ab;16;18
30;0;2;1;3;np;6;5;8;4;7;ab;11;9;10;19;12;13;14;17;15;ab;16;18
31;0;2;1;4;np;6;5;8;3;7;ab;11;9;10;19;12;13;14;17;15;ab;16;18
32;0;2;1;5;np;6;4;8;3;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
33;0;2;1;5;np;6;4;8;3;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
34;0;2;1;5;np;6;4;8;3;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
35;0;2;1;5;np;6;4;8;3;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
36;0;2;1;5;np;6;3;8;4;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
37;0;2;1;5;np;6;3;8;4;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
38;0;2;1;5;np;6;3;8;4;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
39;0;2;1;5;np;6;3;8;4;7;ab;11;9;10;19;12;13;14;16;15;ab;17;18
40;0;2;1;5;np;6;3;8;4;7;ab;10;9;11;19;12;13;14;16;15;ab;17;18
41;0;2;1;5;np;6;3;8;4;7;ab;10;9;11;19;12;13;14;16;15;ab;17;18
42;0;2;1;5;np;6;3;8;4;9;ab;10;7;11;19;12;13;14;16;15;ab;17;18
43;0;3;1;5;np;6;2;8;4;9;ab;10;7;11;19;12;13;14;16;15;ab;17;18
44;0;5;1;4;np;6;2;8;3;9;ab;10;7;11;19;12;13;16;15;14;ab;17;18
45;0;5;2;4;np;6;1;8;3;9;ab;12;7;10;19;11;13;15;16;14;ab;17;18
46;0;5;2;4;np;6;1;10;3;8;ab;11;7;9;19;12;13;15;16;14;ab;17;18
47;0;5;2;4;np;7;1;10;3;8;ab;11;6;9;19;12;13;14;16;15;ab;17;18
48;0;5;2;4;np;6;1;10;3;7;ab;11;8;9;19;13;12;14;16;15;ab;17;18
49;0;5;2;4;np;6;1;10;3;7;ab;11;8;9;19;13;12;14;16;15;ab;17;18
50;0;5;1;4;np;6;3;10;2;7;ab;11;8;9;18;13;12;14;16;15;ab;17;19
51;0;3;1;5;np;6;4;10;2;7;ab;11;8;9;18;13;12;14;16;15;ab;17;19
52;0;3;1;4;np;5;ab;9;2;6;ab;10;7;8;17;12;11;13;15;14;ab;16;18
53;0;3;1;4;np;5;ab;9;2;6;ab;10;7;8;17;12;11;13;15;14;ab;16;18
54;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;11;10;12;14;13;ab;15;17
55;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;11;10;12;14;13;ab;15;17
56;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;11;10;12;14;13;ab;15;17
57;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;11;10;12;14;13;ab;15;17
58;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;11;10;12;14;13;ab;15;17
59;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;10;11;12;14;13;ab;15;17
60;0;2;1;4;np;5;ab;8;3;6;ab;9;ab;7;16;10;11;12;14;13;ab;15;17
