;sc;MON;RSC;HAK;MSC;COU;BAR;HEI;RAI;DLR;TRU;IRV;VIL;PAN;ALE;ZON;BUR2;FIS;BUT;BER;VER;ALO;MAR
0;0;1;2;4;3;6;5;ab;7;ab;9;8;10;14;18;12;17;15;13;16;11;19;20
1;0;1;2;4;3;6;5;ab;7;ab;9;8;10;14;18;12;17;16;13;15;11;19;20
2;0;1;2;5;3;6;4;ab;7;ab;9;8;10;13;18;12;17;16;14;15;11;19;20
3;0;1;2;5;3;6;4;ab;7;ab;9;8;10;13;18;12;17;16;14;15;11;19;20
4;0;1;2;5;3;6;4;ab;7;ab;9;8;10;12;18;13;17;16;15;14;11;19;20
5;0;1;2;5;4;6;3;ab;7;ab;9;8;10;11;17;19;16;15;14;13;12;18;20
6;0;1;2;5;4;6;3;ab;7;ab;9;8;10;11;16;20;15;14;12;13;18;17;19
7;0;1;2;5;4;6;3;ab;7;ab;9;8;10;11;16;ab;15;14;12;13;19;17;18
8;0;1;2;5;4;6;3;ab;7;ab;9;8;10;11;15;ab;16;14;12;13;19;17;18
9;0;1;2;5;4;6;3;ab;7;ab;9;8;11;10;15;ab;16;14;12;13;19;17;18
10;0;1;2;5;4;6;3;ab;7;ab;9;8;11;10;15;ab;16;14;12;13;19;17;18
11;0;1;2;5;4;6;3;ab;7;ab;17;8;10;9;14;ab;15;12;11;13;19;16;18
12;0;1;2;5;4;6;3;ab;7;ab;14;16;9;8;12;ab;13;11;10;18;19;15;17
13;0;1;2;ab;4;5;3;ab;6;ab;13;14;8;7;11;ab;12;10;9;15;17;18;16
14;0;1;2;ab;4;5;3;ab;6;ab;13;14;8;7;11;ab;12;10;9;15;16;18;17
15;0;1;2;ab;4;5;3;ab;13;ab;12;15;7;6;10;ab;11;9;8;14;16;18;17
16;0;1;2;ab;3;4;5;ab;ab;ab;11;ab;6;12;9;ab;10;8;7;13;14;16;15
17;0;1;2;ab;3;4;5;ab;ab;ab;10;ab;6;11;9;ab;12;8;7;13;14;16;15
18;0;1;2;ab;3;4;5;ab;ab;ab;10;ab;6;11;9;ab;12;8;7;13;14;16;15
19;0;1;2;ab;3;5;4;ab;ab;ab;10;ab;6;11;9;ab;12;8;7;13;14;15;16
20;0;1;2;ab;3;5;4;ab;ab;ab;10;ab;6;11;9;ab;12;8;7;13;14;15;16
21;0;1;2;ab;3;5;4;ab;ab;ab;10;ab;6;11;9;ab;12;8;7;13;14;15;16
22;0;4;1;ab;2;5;3;ab;ab;ab;10;ab;6;11;9;ab;12;8;7;13;14;15;16
23;0;3;1;ab;ab;4;2;ab;ab;ab;9;ab;5;10;8;ab;ab;6;7;11;12;13;14
24;0;ab;1;ab;ab;3;2;ab;ab;ab;7;ab;6;8;5;ab;ab;4;9;10;11;12;13
25;0;ab;1;ab;ab;3;2;ab;ab;ab;6;ab;5;7;9;ab;ab;4;8;10;11;12;13
26;0;ab;1;ab;ab;3;2;ab;ab;ab;9;ab;4;6;8;ab;ab;5;7;10;11;12;ab
27;0;ab;1;ab;ab;ab;2;ab;ab;ab;9;ab;3;5;7;ab;ab;4;6;8;10;11;ab
28;0;ab;1;ab;ab;ab;2;ab;ab;ab;8;ab;3;5;7;ab;ab;4;6;9;10;11;ab
29;0;ab;1;ab;ab;ab;2;ab;ab;ab;8;ab;3;5;7;ab;ab;4;6;9;10;11;ab
30;0;ab;1;ab;ab;ab;2;ab;ab;ab;8;ab;3;6;7;ab;ab;4;5;9;10;11;ab
31;0;ab;1;ab;ab;ab;2;ab;ab;ab;8;ab;3;7;6;ab;ab;4;5;9;10;11;ab
32;0;ab;1;ab;ab;ab;2;ab;ab;ab;8;ab;3;7;6;ab;ab;4;5;9;10;11;ab
33;0;ab;1;ab;ab;ab;2;ab;ab;ab;8;ab;3;7;6;ab;ab;4;5;9;10;11;ab
34;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
35;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
36;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
37;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
38;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
39;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
40;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
41;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
42;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
43;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
44;0;ab;1;ab;ab;ab;2;ab;ab;ab;ab;ab;3;7;6;ab;ab;4;5;8;9;10;ab
