;sc;MSC;COU;BAR;RSC;TRU;HAK;HEI;MON;RAI;VIL;PAN;ALE2;DLR;IRV;FIS;FRE2;BUT;ALO;BUR2;BER;VER;MAR
0;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;20;16;17;19;18;15;21
1;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;20;16;17;19;18;15;21
2;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;20;16;17;19;18;15;21
3;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;20;16;17;19;18;15;21
4;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;20;16;17;19;18;15;21
5;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;20;19;16;18;17;15;21
6;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;19;21;16;18;17;15;20
7;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;19;21;16;18;17;15;20
8;0;1;3;2;4;5;6;7;8;9;11;10;13;12;ab;14;18;20;16;ab;17;15;19
9;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;18;20;16;ab;17;15;19
10;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;18;20;16;ab;17;15;19
11;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;19;16;ab;ab;15;18
12;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
13;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
14;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
15;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
16;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
17;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
18;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
19;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;17;18;16;ab;ab;15;19
20;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;16;17;18;ab;ab;15;19
21;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;15;16;17;18;ab;ab;14;19
22;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;15;16;17;18;ab;ab;14;19
23;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;15;16;17;18;ab;ab;14;19
24;0;1;3;2;4;5;6;7;8;9;11;10;12;13;ab;14;15;17;18;ab;ab;16;19
25;0;1;3;2;4;5;6;7;8;10;11;9;12;13;ab;14;15;17;18;ab;ab;16;19
26;0;1;3;2;4;5;6;8;7;12;10;9;11;13;ab;14;15;17;18;ab;ab;16;19
27;0;1;3;2;4;5;6;11;7;10;8;12;9;13;ab;14;15;18;17;ab;ab;16;19
28;0;3;2;1;4;7;5;11;6;10;8;12;9;13;ab;14;15;18;17;ab;ab;16;19
29;0;3;2;1;4;12;5;10;6;8;7;11;9;13;ab;14;15;18;17;ab;ab;16;19
30;0;3;1;2;4;10;5;8;6;7;11;9;12;14;ab;13;15;18;17;ab;ab;16;19
31;0;2;1;3;4;10;5;8;6;7;11;9;12;14;ab;13;15;17;18;ab;ab;16;19
32;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;17;18;ab;ab;16;19
33;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;17;18;ab;ab;16;19
34;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;17;ab;ab;16;18
35;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;17;ab;ab;16;18
36;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;17;ab;ab;16;18
37;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
38;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
39;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
40;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
41;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
42;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
43;0;1;2;3;4;10;5;7;8;6;11;9;12;14;ab;13;15;ab;ab;ab;ab;16;17
44;0;1;2;3;4;10;5;7;8;6;11;9;12;13;ab;14;15;ab;ab;ab;ab;16;17
45;0;1;2;3;4;10;5;6;8;7;11;9;12;13;ab;14;15;ab;ab;ab;ab;16;17
46;0;1;2;3;4;10;5;6;7;8;11;9;12;13;ab;14;15;ab;ab;ab;ab;16;17
47;0;1;2;3;4;11;5;6;7;8;10;9;12;13;ab;14;15;ab;ab;ab;ab;16;17
48;0;1;2;3;4;12;5;6;7;8;10;9;11;13;ab;14;15;ab;ab;ab;ab;16;17
49;0;1;2;3;4;11;5;6;9;7;12;8;10;13;ab;14;15;ab;ab;ab;ab;16;17
50;0;1;2;3;4;11;5;6;9;7;12;8;10;13;ab;14;15;ab;ab;ab;ab;16;17
51;0;1;2;3;4;10;5;6;9;7;11;8;13;12;ab;14;15;ab;ab;ab;ab;16;17
52;0;3;1;2;5;10;4;6;9;7;11;8;13;12;ab;14;16;ab;ab;ab;ab;15;17
53;0;2;1;3;5;ab;4;6;8;7;10;9;11;12;ab;13;14;ab;ab;ab;ab;15;16
54;0;1;3;2;5;ab;4;6;8;7;10;9;11;12;ab;13;14;ab;ab;ab;ab;15;16
55;0;1;3;2;5;ab;4;6;8;7;10;9;11;12;ab;13;14;ab;ab;ab;ab;15;16
56;0;1;3;2;4;ab;5;6;8;7;9;11;10;12;ab;13;14;ab;ab;ab;ab;15;16
57;0;1;3;2;4;ab;5;6;8;7;9;16;10;11;ab;12;13;ab;ab;ab;ab;14;15
58;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;13;ab;ab;ab;ab;14;15
59;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;13;ab;ab;ab;ab;14;15
60;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;13;ab;ab;ab;ab;14;15
61;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;13;ab;ab;ab;ab;14;15
62;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;13;ab;ab;ab;ab;14;15
63;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;ab;ab;ab;ab;ab;13;ab
64;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;ab;ab;ab;ab;ab;13;ab
65;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;ab;ab;ab;ab;ab;13;ab
66;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;12;ab;ab;ab;ab;ab;13;ab
67;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
68;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
69;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
70;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
71;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
72;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
73;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
74;0;1;3;2;4;ab;5;6;8;7;9;ab;10;11;ab;ab;ab;ab;ab;ab;ab;12;ab
75;0;1;3;2;4;ab;5;6;8;7;9;ab;ab;11;ab;ab;ab;ab;ab;ab;ab;12;ab
76;0;1;3;2;4;ab;5;6;8;7;9;ab;ab;11;ab;ab;ab;ab;ab;ab;ab;12;ab
