;sc;MON;RSC;MSC;FRE2;BAR;VIL;HAK;FIS;COU;DLR;PAN;RAI;ALE2;HEI;BUT;TRU;IRV;BUR2;VER;ALO;BER;MAR
0;0;13;12;1;14;3;9;6;2;4;17;11;ab;8;ab;5;7;ab;ab;10;ab;15;16
1;0;ab;12;1;13;3;9;5;2;4;ab;11;ab;8;ab;6;7;ab;ab;10;ab;14;15
2;0;ab;12;1;13;3;9;5;2;4;ab;11;ab;8;ab;7;6;ab;ab;10;ab;14;15
3;0;ab;12;1;13;3;9;5;2;4;ab;11;ab;7;ab;8;6;ab;ab;10;ab;14;15
4;0;ab;12;1;13;3;9;5;2;4;ab;11;ab;7;ab;8;6;ab;ab;10;ab;14;15
5;0;ab;12;1;13;3;8;5;2;4;ab;11;ab;6;ab;9;7;ab;ab;10;ab;14;15
6;0;ab;10;1;13;3;6;5;2;4;ab;12;ab;7;ab;8;11;ab;ab;9;ab;14;15
7;0;ab;7;1;12;3;5;8;2;4;ab;15;ab;11;ab;6;9;ab;ab;10;ab;13;14
8;0;ab;9;1;11;4;6;7;2;3;ab;13;ab;10;ab;5;8;ab;ab;14;ab;12;15
9;0;ab;11;1;10;5;9;4;2;3;ab;12;ab;8;ab;7;6;ab;ab;13;ab;14;15
10;0;ab;11;1;9;5;8;4;2;3;ab;12;ab;7;ab;10;6;ab;ab;13;ab;14;15
11;0;ab;11;1;9;5;8;4;2;3;ab;13;ab;7;ab;10;6;ab;ab;12;ab;14;15
12;0;ab;11;1;9;5;8;4;2;3;ab;14;ab;7;ab;10;6;ab;ab;12;ab;13;15
13;0;ab;11;1;9;5;8;4;2;3;ab;14;ab;7;ab;10;6;ab;ab;12;ab;13;15
14;0;ab;11;1;9;5;8;4;2;3;ab;14;ab;7;ab;10;6;ab;ab;12;ab;13;15
15;0;ab;10;1;11;5;8;4;2;3;ab;14;ab;7;ab;9;6;ab;ab;12;ab;13;15
16;0;ab;10;1;12;5;8;4;2;3;ab;14;ab;7;ab;9;6;ab;ab;11;ab;13;15
17;0;ab;9;1;11;8;7;4;2;3;ab;12;ab;6;ab;ab;5;ab;ab;10;ab;13;14
18;0;ab;8;1;11;9;7;4;2;3;ab;12;ab;5;ab;ab;6;ab;ab;10;ab;13;14
19;0;ab;7;1;11;9;5;4;2;3;ab;12;ab;6;ab;ab;8;ab;ab;10;ab;13;14
20;0;ab;6;1;11;9;5;4;2;3;ab;12;ab;8;ab;ab;7;ab;ab;10;ab;13;14
21;0;ab;5;1;11;8;9;4;2;3;ab;13;ab;7;ab;ab;6;ab;ab;10;ab;12;14
22;0;ab;5;1;10;8;9;4;3;2;ab;13;ab;7;ab;ab;6;ab;ab;11;ab;12;14
23;0;ab;5;1;10;8;9;4;3;2;ab;13;ab;7;ab;ab;6;ab;ab;11;ab;12;14
24;0;ab;5;1;10;8;9;4;2;3;ab;12;ab;7;ab;ab;6;ab;ab;11;ab;13;14
25;0;ab;9;1;10;7;8;4;2;3;ab;12;ab;6;ab;ab;5;ab;ab;11;ab;13;14
26;0;ab;9;1;10;7;8;4;2;3;ab;12;ab;6;ab;ab;5;ab;ab;11;ab;13;14
27;0;ab;9;1;10;7;8;4;3;2;ab;12;ab;6;ab;ab;5;ab;ab;11;ab;13;14
28;0;ab;8;1;10;7;9;4;3;2;ab;12;ab;6;ab;ab;5;ab;ab;11;ab;13;14
29;0;ab;8;1;10;7;9;4;3;2;ab;12;ab;6;ab;ab;5;ab;ab;11;ab;13;14
30;0;ab;8;1;10;7;9;4;3;2;ab;12;ab;6;ab;ab;5;ab;ab;11;ab;13;14
31;0;ab;7;1;9;5;8;4;3;2;ab;11;ab;6;ab;ab;ab;ab;ab;10;ab;12;13
32;0;ab;7;1;9;5;8;4;3;2;ab;11;ab;6;ab;ab;ab;ab;ab;10;ab;12;13
33;0;ab;7;1;9;5;8;4;3;2;ab;11;ab;6;ab;ab;ab;ab;ab;10;ab;12;13
34;0;ab;7;1;9;5;8;4;3;2;ab;11;ab;6;ab;ab;ab;ab;ab;10;ab;12;13
35;0;ab;7;1;ab;5;8;4;3;2;ab;11;ab;6;ab;ab;ab;ab;ab;10;ab;12;13
