;sc;MSC;RSC;MON;HAK;BAR;HEI;COU;TRU;ALE2;BUT;RAI;FIS;PAN;IRV;FRE2;DLR;ALO;VIL;BER;VER;ENG;YOO
0;0;1;4;2;5;3;8;6;7;13;11;9;10;15;12;16;19;20;18;17;14;22;21
1;0;1;4;2;5;3;7;6;8;12;9;22;10;14;11;15;18;19;17;16;13;21;20
2;0;1;4;3;5;2;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
3;0;1;4;3;5;2;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
4;0;2;4;3;5;1;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
5;0;2;4;3;5;1;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
6;0;2;4;3;5;1;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
7;0;2;4;3;5;1;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
8;0;2;4;3;5;1;7;6;9;11;8;ab;10;14;12;15;18;19;17;16;13;21;20
9;0;2;4;3;5;1;7;6;8;11;9;ab;10;14;12;15;18;19;17;16;13;21;20
10;0;2;4;3;5;1;7;6;8;11;9;ab;10;14;12;15;18;19;17;16;13;21;20
11;0;2;4;3;5;1;7;6;8;11;9;ab;10;14;12;15;18;19;17;16;13;21;20
12;0;2;4;3;5;1;7;6;8;10;9;ab;11;14;12;15;18;19;17;16;13;21;20
13;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
14;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
15;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
16;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
17;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
18;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
19;0;2;4;3;5;1;7;6;8;9;10;ab;11;14;12;15;18;19;17;16;13;21;20
20;0;2;4;3;5;1;7;6;8;9;10;ab;11;15;12;14;18;19;17;16;13;21;20
21;0;2;4;3;5;1;7;6;8;9;10;ab;11;15;12;14;18;19;17;16;13;21;20
22;0;2;4;3;5;1;7;6;8;9;10;ab;11;15;12;14;18;19;17;16;13;21;20
23;0;2;8;3;4;1;6;5;7;9;10;ab;11;15;12;14;18;19;17;16;13;21;20
24;0;2;9;3;4;1;6;5;7;8;10;ab;11;15;12;14;18;19;17;16;13;21;20
25;0;2;9;3;4;1;6;5;7;8;10;ab;11;15;12;14;18;19;17;16;13;20;21
26;0;1;8;2;3;4;9;5;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
27;0;1;8;2;3;5;9;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
28;0;1;8;2;3;5;9;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
29;0;1;8;2;3;5;9;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
30;0;1;8;2;3;5;9;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
31;0;1;8;2;3;5;9;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
32;0;1;8;2;3;5;9;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
33;0;2;9;1;3;5;8;4;6;7;10;ab;11;15;12;14;18;19;17;16;13;20;21
34;0;2;9;1;3;5;8;4;6;7;19;ab;10;14;11;13;17;18;16;15;12;20;21
35;0;1;8;5;2;4;9;3;6;7;19;ab;10;13;11;12;16;17;15;14;20;18;21
36;0;1;ab;5;2;4;8;3;6;12;15;ab;7;11;9;10;14;ab;13;16;17;18;19
37;0;1;ab;5;2;4;8;3;6;12;15;ab;7;11;9;10;14;ab;13;16;17;18;19
38;0;4;ab;ab;1;3;6;2;8;11;14;ab;5;10;7;9;13;ab;12;15;16;17;ab
39;0;4;ab;ab;1;3;6;2;9;11;14;ab;5;10;7;8;13;ab;12;15;16;17;ab
40;0;4;ab;ab;1;3;5;2;8;10;14;ab;13;9;6;7;12;ab;11;15;16;17;ab
41;0;4;ab;ab;1;3;5;2;7;9;14;ab;12;8;6;13;11;ab;10;15;16;17;ab
42;0;3;ab;ab;1;2;5;4;7;9;12;ab;10;8;6;13;11;ab;14;15;16;17;ab
