;sc;MSC;MON;RSC;BAR;HAK;FIS;COU;TRU;BUT;HEI;ALE2;RAI;IRV;VIL;FRE2;DLR;PAN;ALO;ENG;BER;VER;YOO
0;0;1;2;4;3;6;5;7;8;9;14;11;10;12;13;16;15;19;18;20;22;17;21
1;0;1;3;4;2;6;5;7;8;9;14;11;10;12;13;17;15;19;18;20;22;16;21
2;0;1;2;4;3;5;12;6;7;8;14;10;9;11;13;22;15;18;17;19;20;16;21
3;0;1;2;4;3;5;12;6;7;8;14;10;9;11;13;22;15;17;18;19;20;16;21
4;0;1;2;4;3;5;12;6;7;8;14;10;9;11;13;22;15;17;18;19;20;16;21
5;0;1;2;4;3;5;9;6;7;8;12;ab;ab;10;11;20;13;15;16;17;18;14;19
6;0;1;2;4;3;5;9;6;7;8;12;ab;ab;10;11;20;13;15;16;17;18;14;19
7;0;1;2;4;3;5;9;6;7;8;12;ab;ab;10;11;20;13;15;16;17;18;14;19
8;0;1;2;4;3;5;9;6;7;8;12;ab;ab;10;11;20;13;15;16;17;18;14;19
9;0;1;2;4;3;5;9;6;7;8;12;ab;ab;10;11;20;13;15;16;17;18;14;19
10;0;1;2;4;3;5;9;6;7;8;12;ab;ab;10;11;20;13;15;16;17;18;14;19
11;0;1;2;4;3;5;8;6;7;9;12;ab;ab;10;11;20;13;15;16;17;18;14;19
12;0;1;2;4;3;5;8;6;7;9;12;ab;ab;10;11;20;13;15;16;17;18;14;19
13;0;1;2;4;3;5;8;6;7;9;12;ab;ab;10;11;19;13;15;16;17;18;14;20
14;0;1;2;4;3;5;8;6;7;9;12;ab;ab;10;11;19;13;15;16;17;18;14;20
15;0;1;2;3;6;4;9;5;8;7;12;ab;ab;10;11;19;13;17;15;16;18;14;20
16;0;1;2;3;6;4;13;5;12;7;10;ab;ab;8;9;18;11;19;14;15;17;16;20
17;0;1;2;3;6;4;13;5;12;7;10;ab;ab;8;9;18;11;19;14;15;16;17;20
18;0;4;1;2;6;3;13;5;12;7;10;ab;ab;8;9;18;11;19;14;15;16;17;20
19;0;4;1;2;6;3;11;5;10;7;13;ab;ab;8;12;17;9;18;14;15;19;16;20
20;0;4;1;2;6;3;10;5;9;11;13;ab;ab;7;12;16;8;18;14;15;19;17;20
21;0;3;5;1;6;2;10;4;9;11;13;ab;ab;7;12;16;8;18;14;15;19;17;20
22;0;3;4;1;5;2;10;6;9;11;13;ab;ab;7;12;18;8;17;14;15;19;16;20
23;0;1;3;5;4;2;9;6;8;12;13;ab;ab;10;11;18;7;17;14;15;19;16;20
24;0;1;2;4;3;5;9;6;8;11;12;ab;ab;ab;10;17;7;16;13;14;18;15;19
25;0;1;2;4;3;5;8;6;7;11;12;ab;ab;ab;9;17;10;16;13;14;18;15;19
26;0;1;2;4;3;5;8;6;7;10;11;ab;ab;ab;9;17;12;16;13;14;18;15;19
27;0;1;2;4;3;5;8;6;7;10;11;ab;ab;ab;9;17;12;16;13;14;18;15;19
28;0;1;2;4;3;5;8;6;7;10;11;ab;ab;ab;9;16;12;17;13;14;18;15;19
29;0;1;2;5;6;3;8;4;7;10;11;ab;ab;ab;9;15;12;17;13;14;18;16;19
30;0;1;2;5;6;3;8;4;7;10;11;ab;ab;ab;9;15;12;17;13;14;18;16;19
31;0;1;2;5;6;3;8;4;7;10;11;ab;ab;ab;9;15;12;17;13;14;18;16;19
32;0;1;2;6;5;3;7;4;9;10;11;ab;ab;ab;8;14;12;17;13;15;18;16;19
33;0;1;2;6;5;3;7;4;10;9;11;ab;ab;ab;8;14;12;17;13;15;18;16;19
34;0;1;2;6;5;3;7;4;9;8;11;ab;ab;ab;10;14;12;16;13;15;18;17;19
35;0;1;2;6;5;3;8;4;9;7;11;ab;ab;ab;10;14;12;16;13;15;17;18;19
36;0;3;1;6;5;2;8;4;9;7;11;ab;ab;ab;10;14;12;15;13;16;17;18;19
37;0;2;1;6;5;3;8;4;9;7;11;ab;ab;ab;10;13;12;15;14;16;18;17;19
38;0;1;2;6;4;5;7;3;9;8;11;ab;ab;ab;10;14;12;15;13;16;18;17;19
39;0;1;2;6;3;4;7;5;9;8;11;ab;ab;ab;10;14;12;15;13;16;18;17;19
40;0;1;2;6;3;4;7;5;9;8;11;ab;ab;ab;10;14;12;15;13;17;18;16;19
41;0;1;2;6;5;3;7;4;9;8;11;ab;ab;ab;10;14;12;15;13;19;17;16;18
42;0;1;2;6;5;3;7;4;9;8;11;ab;ab;ab;10;14;12;15;13;ab;17;16;18
43;0;1;2;6;5;3;7;4;9;8;11;ab;ab;ab;10;14;12;15;13;ab;17;16;18
44;0;1;2;6;5;3;7;4;9;8;11;ab;ab;ab;10;14;12;15;13;ab;17;16;18
45;0;1;2;6;5;3;7;4;9;8;11;ab;ab;ab;10;13;ab;14;12;ab;16;15;17
46;0;1;2;6;5;3;11;4;8;7;10;ab;ab;ab;9;13;ab;14;12;ab;16;15;17
47;0;1;2;6;5;4;17;3;8;7;10;ab;ab;ab;9;12;ab;13;11;ab;15;14;16
48;0;1;2;6;5;4;17;3;8;7;9;ab;ab;ab;10;12;ab;13;11;ab;15;14;16
49;0;1;2;6;5;4;17;3;8;7;9;ab;ab;ab;10;12;ab;13;11;ab;15;14;16
50;0;1;2;6;5;4;17;3;8;7;9;ab;ab;ab;10;12;ab;13;11;ab;14;15;ab
51;0;1;2;6;5;4;17;3;8;7;9;ab;ab;ab;10;12;ab;13;11;ab;14;15;ab
52;0;1;2;6;5;4;17;3;8;7;9;ab;ab;ab;10;ab;ab;13;11;ab;14;15;ab
