;sc;MSC;BAR;RSC;HAK;TRU;MON;VIL;COU;FRE;PAN;HEI;IRV;ALE;RAI;BUR;FIS;BUT;VER;MAZ;MAR;ALO;BER
0;0;1;2;20;8;3;21;7;4;5;9;10;19;11;ab;15;13;12;6;17;16;18;14
1;0;1;2;16;8;3;19;7;4;5;ab;9;18;10;ab;14;11;12;6;17;15;20;13
2;0;7;3;12;8;1;17;6;2;4;ab;9;19;10;ab;16;13;15;5;14;18;20;11
3;1;4;3;9;7;6;ab;ab;1;2;ab;ab;ab;8;ab;13;11;12;5;10;14;15;ab
4;1;11;10;8;4;5;ab;ab;1;3;ab;ab;ab;6;ab;13;7;12;2;9;14;15;ab
5;1;11;10;8;4;5;ab;ab;1;2;ab;ab;ab;6;ab;13;7;12;3;9;14;15;ab
6;1;11;10;8;4;5;ab;ab;1;2;ab;ab;ab;6;ab;13;7;12;3;9;14;15;ab
7;1;11;10;8;4;5;ab;ab;1;2;ab;ab;ab;6;ab;13;7;12;3;9;14;15;ab
8;1;11;10;8;4;5;ab;ab;1;2;ab;ab;ab;6;ab;13;7;12;3;9;14;15;ab
9;1;11;10;8;4;5;ab;ab;1;2;ab;ab;ab;6;ab;13;7;12;3;9;14;15;ab
10;0;9;8;5;4;6;ab;ab;1;3;ab;ab;ab;7;ab;13;10;11;2;12;14;15;ab
11;0;6;7;4;3;8;ab;ab;1;5;ab;ab;ab;11;ab;12;9;10;2;13;14;15;ab
12;0;3;6;5;4;8;ab;ab;1;7;ab;ab;ab;11;ab;10;9;14;2;12;13;15;ab
13;0;3;4;6;5;8;ab;ab;1;7;ab;ab;ab;11;ab;10;9;13;2;12;14;15;ab
14;0;2;4;6;5;8;ab;ab;1;7;ab;ab;ab;11;ab;10;9;13;3;12;14;15;ab
15;0;1;2;6;5;8;ab;ab;3;7;ab;ab;ab;11;ab;10;9;13;4;12;14;15;ab
16;0;1;2;6;5;8;ab;ab;3;7;ab;ab;ab;11;ab;10;9;13;4;12;14;15;ab
17;0;1;2;8;5;7;ab;ab;3;6;ab;ab;ab;11;ab;10;9;13;4;12;14;15;ab
18;0;1;2;11;8;6;ab;ab;3;5;ab;ab;ab;10;ab;9;7;13;4;12;14;15;ab
19;0;1;2;10;7;6;ab;ab;3;5;ab;ab;ab;11;ab;9;8;13;4;12;14;15;ab
20;0;1;2;8;7;5;ab;ab;3;6;ab;ab;ab;10;ab;9;14;12;4;11;13;15;ab
21;0;1;4;8;6;5;ab;ab;2;7;ab;ab;ab;10;ab;9;12;14;3;11;13;15;ab
22;0;1;3;8;6;4;ab;ab;2;7;ab;ab;ab;10;ab;9;12;14;5;11;13;15;ab
