;sc;MSC;RSC;HAK;MON;COU;BAR;TRU;FRE;HEI;RAI;PAN;VIL;IRV;BUR;ALE;BER;VER;FIS;ALO;BUT;MAZ;MAR
0;1;1;5;ab;2;3;7;4;6;9;10;13;8;11;15;12;18;14;16;21;17;19;20
1;1;1;5;ab;2;3;7;4;6;9;10;13;8;11;15;12;18;14;16;21;17;19;20
2;0;2;20;ab;1;3;ab;4;5;7;8;11;6;9;13;10;16;12;14;19;15;17;18
3;0;2;20;ab;1;3;ab;4;5;7;8;11;6;9;13;10;15;12;14;19;16;17;18
4;0;2;20;ab;1;3;ab;4;5;7;8;11;6;9;13;10;15;12;14;19;16;17;18
5;0;2;20;ab;1;3;ab;4;5;7;8;9;6;14;12;10;15;11;13;19;17;16;18
6;0;2;20;ab;1;3;ab;4;5;7;8;9;6;19;12;10;14;11;13;17;18;15;16
7;0;2;20;ab;1;3;ab;4;5;7;9;8;6;19;12;10;14;11;13;17;18;15;16
8;0;2;20;ab;1;3;ab;4;5;8;9;7;6;19;12;10;14;11;13;17;18;15;16
9;0;2;20;ab;1;3;ab;4;5;8;9;7;6;19;12;10;14;11;13;17;18;15;16
10;0;2;20;ab;1;3;ab;4;5;8;9;7;6;19;12;10;14;11;13;17;18;15;16
11;0;2;20;ab;1;3;ab;4;5;7;8;6;12;19;11;9;14;10;13;17;18;15;16
12;0;2;20;ab;1;3;ab;4;5;7;8;6;19;18;11;9;13;10;12;16;17;14;15
13;0;2;20;ab;1;3;ab;4;5;7;8;6;19;18;11;9;13;10;12;16;17;14;15
14;0;2;20;ab;1;3;ab;4;6;7;8;5;18;19;11;9;16;10;12;15;17;13;14
15;0;2;19;ab;1;3;ab;4;6;7;8;5;17;18;11;9;ab;10;12;15;16;13;14
16;0;2;19;ab;1;3;ab;4;6;7;8;5;17;18;11;9;ab;10;12;15;16;13;14
17;0;2;19;ab;1;3;ab;4;6;7;8;5;17;18;11;9;ab;10;12;15;16;13;14
18;0;2;19;ab;1;3;ab;4;6;7;8;5;17;18;11;9;ab;10;12;15;16;13;14
19;0;2;19;ab;1;3;ab;4;6;7;8;5;16;18;11;9;ab;10;12;15;17;13;14
20;0;2;19;ab;1;3;ab;5;6;7;8;4;16;18;11;9;ab;10;12;15;17;13;14
21;0;2;19;ab;1;3;ab;5;6;7;8;4;16;18;11;9;ab;10;12;15;17;13;14
22;0;2;19;ab;1;3;ab;5;6;7;8;4;15;17;11;9;ab;10;12;16;18;13;14
23;0;2;19;ab;1;3;ab;5;6;7;8;4;15;17;11;9;ab;10;12;16;18;13;14
24;0;3;19;ab;1;2;ab;5;6;7;8;4;13;15;10;16;ab;9;11;18;17;12;14
25;0;5;18;ab;1;2;ab;4;6;7;8;3;12;14;10;16;ab;9;11;ab;17;15;13
26;0;5;18;ab;1;2;ab;4;6;7;8;3;12;14;10;16;ab;9;11;ab;17;15;13
27;0;4;18;ab;1;2;ab;5;6;7;8;3;12;14;10;16;ab;9;11;ab;17;15;13
28;0;3;17;ab;1;2;ab;4;5;6;7;8;12;14;9;15;ab;10;11;ab;18;16;13
29;0;3;17;ab;1;2;ab;4;5;6;7;8;12;13;11;15;ab;9;10;ab;18;16;14
30;0;3;16;ab;1;2;ab;4;5;6;7;8;11;12;ab;13;ab;9;10;ab;17;15;14
31;0;3;16;ab;1;2;ab;4;5;6;7;8;11;12;ab;13;ab;9;10;ab;17;15;14
32;0;3;16;ab;1;2;ab;4;5;6;7;8;11;12;ab;13;ab;9;10;ab;17;15;14
33;0;3;16;ab;1;2;ab;4;5;6;7;8;11;12;ab;13;ab;9;10;ab;17;15;14
34;0;3;16;ab;1;2;ab;4;5;6;7;8;11;12;ab;13;ab;9;10;ab;17;15;14
35;0;3;16;ab;1;2;ab;4;5;6;7;8;11;12;ab;13;ab;9;10;ab;17;15;14
36;0;3;16;ab;1;2;ab;4;5;6;8;7;11;12;ab;13;ab;9;10;ab;17;15;14
37;0;3;15;ab;1;2;ab;4;5;6;9;7;10;11;ab;12;ab;ab;8;ab;16;13;14
38;0;2;14;ab;ab;1;ab;3;4;7;8;5;9;10;ab;11;ab;ab;6;ab;15;12;13
39;0;2;14;ab;ab;1;ab;3;4;7;8;5;9;10;ab;11;ab;ab;6;ab;15;12;13
40;0;2;14;ab;ab;1;ab;3;4;7;8;5;9;10;ab;11;ab;ab;6;ab;15;12;13
41;0;2;14;ab;ab;1;ab;3;4;6;8;5;9;10;ab;11;ab;ab;7;ab;15;12;13
42;0;2;14;ab;ab;1;ab;3;4;6;7;5;11;8;ab;9;ab;ab;10;ab;15;12;13
43;0;2;14;ab;ab;1;ab;4;5;6;7;3;12;8;ab;9;ab;ab;10;ab;15;11;13
44;0;2;14;ab;ab;1;ab;5;4;7;6;3;12;8;ab;9;ab;ab;11;ab;15;10;13
45;0;2;14;ab;ab;1;ab;7;3;6;5;10;12;4;ab;8;ab;ab;9;ab;15;11;13
46;0;2;14;ab;ab;1;ab;5;3;4;6;10;12;7;ab;8;ab;ab;9;ab;15;11;13
47;0;1;14;ab;ab;2;ab;5;3;4;6;9;12;7;ab;8;ab;ab;10;ab;15;11;13
48;0;1;14;ab;ab;2;ab;5;3;4;6;9;12;7;ab;8;ab;ab;10;ab;15;11;13
49;0;2;14;ab;ab;1;ab;4;3;5;6;9;12;7;ab;8;ab;ab;10;ab;15;11;13
50;0;2;14;ab;ab;1;ab;4;3;5;6;9;12;7;ab;8;ab;ab;10;ab;15;11;13
51;0;2;14;ab;ab;1;ab;4;3;5;10;8;12;6;ab;7;ab;ab;9;ab;15;11;13
52;0;2;13;ab;ab;1;ab;4;3;5;9;7;11;ab;ab;6;ab;ab;8;ab;14;10;12
53;0;2;13;ab;ab;1;ab;4;3;5;9;7;11;ab;ab;6;ab;ab;8;ab;14;10;12
54;0;2;ab;ab;ab;1;ab;4;3;5;9;6;10;ab;ab;7;ab;ab;8;ab;12;ab;11
55;0;2;ab;ab;ab;1;ab;4;3;5;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
56;0;2;ab;ab;ab;1;ab;4;3;5;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
57;0;2;ab;ab;ab;1;ab;4;3;5;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
58;0;2;ab;ab;ab;1;ab;4;3;5;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
59;0;2;ab;ab;ab;1;ab;5;3;4;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
60;0;2;ab;ab;ab;1;ab;5;3;4;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
61;0;2;ab;ab;ab;1;ab;5;3;4;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
62;0;2;ab;ab;ab;1;ab;5;3;4;ab;6;9;ab;ab;7;ab;ab;8;ab;11;ab;10
63;0;2;ab;ab;ab;1;ab;4;ab;3;ab;5;8;ab;ab;6;ab;ab;7;ab;10;ab;9
64;0;2;ab;ab;ab;1;ab;4;ab;3;ab;5;8;ab;ab;7;ab;ab;6;ab;10;ab;9
65;0;2;ab;ab;ab;1;ab;4;ab;3;ab;5;8;ab;ab;7;ab;ab;6;ab;10;ab;9
66;0;2;ab;ab;ab;1;ab;5;ab;3;ab;4;8;ab;ab;7;ab;ab;6;ab;10;ab;9
67;0;2;ab;ab;ab;1;ab;5;ab;3;ab;4;8;ab;ab;7;ab;ab;6;ab;10;ab;9
68;0;2;ab;ab;ab;1;ab;5;ab;3;ab;4;8;ab;ab;7;ab;ab;6;ab;10;ab;9
69;0;2;ab;ab;ab;1;ab;5;ab;3;ab;4;7;ab;ab;8;ab;ab;6;ab;10;ab;9
70;0;2;ab;ab;ab;1;ab;5;ab;3;ab;4;7;ab;ab;8;ab;ab;6;ab;10;ab;9
