;sc;COU;HAK;RSC;MSC;TRU;BAR;MON;PAN;FRE;RAI;VIL;HEI;IRV;ALE;BUR;BER;VER;ALO;FIS;MAZ;BUT;MAR
0;0;2;4;1;5;3;8;6;7;11;9;10;13;12;14;16;18;17;20;15;22;19;21
1;0;2;4;1;5;3;8;6;7;11;9;10;12;13;14;17;18;16;20;15;22;19;21
2;0;2;4;1;6;3;8;5;7;11;9;10;12;13;14;17;18;16;20;15;22;19;21
3;0;2;4;1;8;3;7;5;6;11;9;10;12;13;14;17;18;16;20;15;22;19;21
4;0;2;4;1;8;3;7;5;6;11;9;10;12;13;14;17;18;15;20;16;21;19;22
5;0;2;4;1;8;3;7;5;6;11;9;10;12;13;14;17;18;15;ab;16;20;19;21
6;0;2;4;1;8;3;7;5;6;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
7;0;2;4;1;8;3;6;5;7;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
8;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
9;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
10;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
11;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
12;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
13;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
14;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
15;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
16;0;2;4;1;7;3;6;5;8;11;9;10;12;13;14;16;17;ab;ab;15;19;18;20
17;0;2;4;1;7;3;6;5;8;10;ab;9;11;12;13;15;16;ab;ab;14;18;17;19
18;0;2;4;1;7;3;6;5;8;10;ab;9;11;12;13;15;16;ab;ab;14;18;17;19
19;0;2;4;1;7;3;6;5;8;10;ab;9;11;12;13;15;16;ab;ab;14;17;18;19
20;0;2;4;1;7;3;6;5;8;10;ab;9;11;12;13;15;16;ab;ab;14;17;18;19
21;0;2;4;1;7;3;6;5;12;9;ab;8;10;11;14;13;17;ab;ab;16;15;18;19
22;0;2;4;1;13;3;6;5;11;8;ab;7;9;10;14;12;17;ab;ab;16;15;18;19
23;0;2;4;1;17;3;6;5;11;8;ab;7;9;10;13;12;16;ab;ab;15;14;18;19
24;0;2;3;1;ab;8;5;4;11;7;ab;6;9;10;13;12;16;ab;ab;15;14;17;18
25;0;2;3;1;ab;8;5;4;10;7;ab;6;12;9;13;11;15;ab;ab;14;16;17;18
26;0;2;3;1;ab;7;5;4;10;9;ab;6;12;8;13;11;15;ab;ab;14;16;17;18
27;0;2;3;1;ab;6;4;7;13;9;ab;5;11;8;12;10;15;ab;ab;14;16;17;18
28;0;2;3;1;ab;7;4;6;13;9;ab;5;11;8;12;10;14;ab;ab;15;ab;16;17
