;sc;MSC;HAK;COU;BAR;RSC;TRU;VIL;FRE;RAI;HEI;PAN;MON;IRV;BUR2;ALE;BER;VER;ALO;FIS;DLR;BUT;MAR
0;0;1;2;22;3;4;5;7;18;10;8;11;6;9;14;13;21;12;16;15;17;19;20
1;0;1;2;22;3;4;5;7;18;10;8;11;6;9;14;13;21;12;16;15;17;19;20
2;0;1;2;22;3;4;5;7;17;11;8;10;6;9;14;13;21;12;18;15;16;19;20
3;0;1;2;22;3;4;5;7;17;11;8;10;6;9;14;13;21;12;18;15;16;19;20
4;0;1;2;22;3;4;5;7;17;11;8;10;6;9;14;13;21;12;18;15;16;19;20
5;0;1;2;20;3;4;5;7;ab;11;8;10;6;9;14;13;19;12;16;15;ab;17;18
6;0;1;2;20;3;4;5;7;ab;11;8;10;6;9;14;13;19;12;16;15;ab;17;18
7;0;1;2;20;3;4;5;7;ab;11;8;10;6;9;14;13;19;12;16;15;ab;17;18
8;0;1;2;19;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;17;18
9;0;1;2;19;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;17;18
10;0;1;2;19;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;17;18
11;0;1;2;19;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;17;18
12;0;1;2;18;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;17;19
13;0;1;2;18;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;17;19
14;0;1;2;17;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;16;15;ab;18;19
15;0;1;2;16;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;18;15;ab;17;19
16;0;1;2;15;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;18;16;ab;19;17
17;0;1;2;15;3;4;5;7;ab;11;8;10;6;9;14;13;ab;12;18;16;ab;19;17
18;0;1;2;15;3;4;5;7;ab;11;8;10;6;9;14;12;ab;13;17;16;ab;19;18
19;0;1;2;14;3;4;5;7;ab;11;8;10;6;9;13;12;ab;16;17;15;ab;19;18
20;0;1;2;13;3;ab;5;4;ab;10;7;9;6;8;12;11;ab;15;16;14;ab;18;17
21;0;1;2;13;3;ab;11;4;ab;8;5;7;9;6;12;10;ab;14;16;15;ab;18;17
22;0;2;1;13;3;ab;10;4;ab;8;5;7;9;6;12;11;ab;14;16;15;ab;18;17
23;0;3;1;11;2;ab;9;8;ab;12;4;6;7;5;10;13;ab;14;15;16;ab;18;17
24;0;3;1;8;2;ab;6;5;ab;10;7;11;4;9;14;12;ab;13;15;16;ab;18;17
25;0;2;1;8;3;ab;6;5;ab;10;7;11;4;9;14;12;ab;13;15;16;ab;18;17
26;0;2;1;8;3;ab;6;5;ab;10;7;11;4;9;14;12;ab;13;15;16;ab;18;17
27;0;1;2;8;3;ab;6;5;ab;10;7;11;4;9;14;12;ab;13;15;16;ab;18;17
28;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
29;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
30;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
31;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
32;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
33;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
34;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
35;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
36;0;1;2;11;3;ab;6;5;ab;9;7;10;4;8;14;12;ab;13;15;16;ab;18;17
37;0;1;2;11;3;ab;6;5;ab;10;7;9;4;8;14;12;ab;13;15;16;ab;18;17
38;0;1;2;10;3;ab;6;5;ab;11;7;9;4;8;13;12;ab;14;15;16;ab;18;17
39;0;1;2;9;3;ab;6;5;ab;11;10;8;4;7;13;12;ab;14;15;16;ab;18;17
40;0;1;2;8;3;ab;9;5;ab;11;10;7;4;6;13;12;ab;14;15;16;ab;18;17
41;0;1;2;7;3;ab;9;8;ab;11;10;5;6;4;13;12;ab;14;15;16;ab;18;17
42;0;1;2;7;3;ab;9;8;ab;11;10;5;6;4;13;12;ab;14;15;16;ab;18;17
43;0;2;1;6;3;ab;8;7;ab;11;9;10;5;4;13;12;ab;14;15;16;ab;18;17
44;0;2;1;10;3;ab;7;6;ab;11;8;9;5;4;13;12;ab;14;15;16;ab;18;17
45;0;2;1;10;3;ab;6;5;ab;11;7;9;4;8;13;12;ab;14;15;16;ab;18;17
46;0;2;1;10;3;ab;6;5;ab;11;7;9;4;8;13;12;ab;14;15;16;ab;18;17
47;0;2;1;10;3;ab;6;5;ab;11;7;9;4;8;13;12;ab;14;15;16;ab;18;17
48;0;2;1;7;10;ab;5;4;ab;9;6;8;3;ab;12;11;ab;13;14;15;ab;17;16
49;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;16;15
50;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;16;15
51;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
52;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
53;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
54;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
55;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
56;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
57;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
58;0;2;1;7;ab;ab;5;4;ab;9;6;8;3;ab;11;10;ab;12;13;14;ab;15;16
59;0;2;1;6;ab;ab;5;4;ab;9;7;8;3;ab;11;10;ab;12;13;14;ab;15;16
60;0;2;1;6;ab;ab;5;4;ab;9;7;8;3;ab;11;10;ab;12;13;14;ab;15;16
61;0;2;1;6;ab;ab;5;4;ab;9;7;8;3;ab;11;10;ab;12;13;14;ab;15;16
62;0;2;1;6;ab;ab;5;4;ab;9;7;8;3;ab;11;10;ab;12;13;14;ab;15;16
63;0;2;1;6;ab;ab;5;4;ab;9;7;8;3;ab;11;10;ab;12;13;14;ab;15;16
64;0;1;9;5;ab;ab;4;3;ab;8;6;7;2;ab;ab;10;ab;12;13;14;ab;15;16
