;sc;MSC;MON;RSC;BAR;TRU;HEI;COU;HAK;RAI;PAN;FRE;VIL;IRV;DLR;BER;VER;BUR2;ALO;FIS;ALE;BUT;MAR
0;1;3;1;2;4;19;20;5;21;8;9;ab;10;6;13;11;7;14;17;12;15;16;18
1;1;3;1;2;4;19;20;5;ab;8;9;ab;10;6;13;11;7;14;17;12;15;16;18
2;1;3;1;2;4;19;20;5;ab;8;9;ab;10;6;12;11;7;13;16;17;14;15;18
3;1;3;1;2;4;19;18;5;ab;7;9;ab;10;8;12;11;6;13;16;ab;14;15;17
4;0;3;1;2;4;19;18;6;ab;7;9;ab;10;8;12;11;5;13;16;ab;14;15;17
5;0;3;1;2;4;19;18;6;ab;7;9;ab;10;8;12;11;5;13;16;ab;14;15;17
6;0;3;1;2;4;19;18;6;ab;7;8;ab;10;9;12;11;5;13;16;ab;14;15;17
7;0;3;1;2;4;19;18;6;ab;7;8;ab;10;9;12;11;5;13;16;ab;14;15;17
8;0;3;1;2;4;19;18;6;ab;7;8;ab;11;10;12;9;5;13;16;ab;14;15;17
9;0;2;1;17;3;19;18;5;ab;6;7;ab;11;9;10;8;4;12;15;ab;13;14;16
10;0;2;1;ab;3;18;17;5;ab;6;7;ab;11;9;10;8;4;12;15;ab;13;14;16
11;0;2;1;ab;3;18;17;5;ab;6;7;ab;11;9;10;8;4;12;15;ab;13;14;16
12;0;2;1;ab;3;18;17;5;ab;6;7;ab;11;9;10;8;4;12;15;ab;13;14;16
13;0;2;1;ab;3;18;17;5;ab;6;7;ab;10;9;11;8;4;12;15;ab;13;14;16
14;0;2;1;ab;3;dsq;17;5;ab;6;7;ab;10;9;11;8;4;12;15;ab;13;14;16
15;0;6;7;ab;1;dsq;17;3;ab;4;5;ab;10;9;11;8;2;12;15;ab;13;14;16
16;0;6;7;ab;1;dsq;17;3;ab;4;5;ab;10;9;11;8;2;13;15;ab;12;14;16
17;0;6;7;ab;1;dsq;16;3;ab;4;5;ab;9;8;10;ab;2;12;14;ab;11;13;15
18;0;6;7;ab;1;dsq;16;3;ab;4;5;ab;9;8;10;ab;2;12;14;ab;11;13;15
19;0;6;7;ab;1;dsq;16;3;ab;4;5;ab;9;8;10;ab;2;12;14;ab;11;13;15
20;0;6;7;ab;1;dsq;16;3;ab;4;5;ab;9;8;10;ab;2;12;14;ab;11;13;15
21;0;6;7;ab;1;dsq;16;3;ab;4;5;ab;9;8;10;ab;2;12;14;ab;11;13;15
22;0;6;7;ab;1;dsq;16;2;ab;4;5;ab;9;8;10;ab;3;12;14;ab;11;13;15
23;0;5;6;ab;1;dsq;16;2;ab;3;4;ab;9;8;10;ab;7;12;14;ab;11;13;15
24;0;4;6;ab;1;dsq;16;2;ab;3;5;ab;9;8;10;ab;7;12;14;ab;11;13;15
25;0;4;6;ab;1;dsq;15;2;ab;3;5;ab;9;8;10;ab;7;12;14;ab;11;13;ab
26;0;4;6;ab;1;dsq;15;2;ab;3;5;ab;9;8;10;ab;7;12;14;ab;11;13;ab
27;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;12;14;ab;10;13;ab
28;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
29;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
30;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
31;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
32;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
33;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
34;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;11;ab;7;13;14;ab;10;12;ab
35;0;3;6;ab;1;dsq;15;2;ab;4;5;ab;9;8;13;ab;7;12;14;ab;10;11;ab
36;0;3;5;ab;1;dsq;14;2;ab;4;6;ab;9;8;15;ab;7;12;13;ab;10;11;ab
37;0;3;5;ab;1;dsq;13;2;ab;4;6;ab;9;8;14;ab;7;12;15;ab;10;11;ab
38;0;3;5;ab;1;dsq;13;2;ab;4;6;ab;9;8;14;ab;7;11;ab;ab;10;12;ab
39;0;3;5;ab;1;dsq;12;2;ab;4;6;ab;9;8;14;ab;7;11;ab;ab;10;13;ab
40;0;3;5;ab;1;dsq;12;2;ab;4;6;ab;9;8;14;ab;7;11;ab;ab;10;13;ab
41;0;3;ab;ab;1;dsq;11;2;ab;4;5;ab;8;7;13;ab;6;10;ab;ab;9;12;ab
42;0;3;ab;ab;1;dsq;11;2;ab;4;5;ab;8;7;13;ab;6;10;ab;ab;9;12;ab
43;0;3;ab;ab;1;dsq;11;2;ab;4;5;ab;8;7;13;ab;6;9;ab;ab;10;12;ab
44;0;3;ab;ab;1;dsq;10;2;ab;4;6;ab;8;7;13;ab;5;11;ab;ab;9;12;ab
45;0;3;ab;ab;1;dsq;10;2;ab;4;5;ab;7;6;13;ab;8;11;ab;ab;9;12;ab
46;0;3;ab;ab;2;dsq;13;1;ab;4;5;ab;7;6;11;ab;8;10;ab;ab;9;12;ab
47;0;3;ab;ab;2;dsq;13;1;ab;4;5;ab;8;6;12;ab;7;10;ab;ab;9;11;ab
48;0;3;ab;ab;2;dsq;12;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;11;ab
49;0;3;ab;ab;2;dsq;12;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;11;ab
50;0;3;ab;ab;2;dsq;12;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;11;ab
51;0;3;ab;ab;2;dsq;12;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;11;ab
52;0;3;ab;ab;2;dsq;12;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;11;ab
53;0;3;ab;ab;2;dsq;12;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;11;ab
54;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;12;ab
55;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;12;ab
56;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;12;ab
57;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;12;ab
58;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;12;ab
59;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;12;ab
60;0;3;ab;ab;2;dsq;11;1;ab;4;5;ab;8;7;ab;ab;6;10;ab;ab;9;ab;ab
61;0;3;ab;ab;2;dsq;10;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;9;ab;ab
62;0;3;ab;ab;2;dsq;10;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;9;ab;ab
63;0;3;ab;ab;2;dsq;10;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;9;ab;ab
64;0;3;ab;ab;2;dsq;10;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;9;ab;ab
65;0;3;ab;ab;2;dsq;10;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;9;ab;ab
66;0;3;ab;ab;2;dsq;10;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;9;ab;ab
67;0;3;ab;ab;2;dsq;9;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;10;ab;ab
68;0;3;ab;ab;2;dsq;9;1;ab;4;5;ab;8;7;ab;ab;6;11;ab;ab;10;ab;ab
69;0;3;ab;ab;2;dsq;9;1;ab;4;5;ab;8;7;ab;ab;6;ab;ab;ab;10;ab;ab
70;0;2;ab;ab;3;dsq;9;1;ab;4;5;ab;8;7;ab;ab;6;ab;ab;ab;10;ab;ab
