;sc;MSC;RSC;COU;TRU;BAR;PAN;RAI;HAK;VIL;MON;HEI;ZON;VER;DLR;IRV;ALE;BER;FIS;BUR2;BUT;MAR;ALO
0;0;1;2;3;5;4;6;8;10;15;11;12;9;7;14;13;19;16;ab;21;18;17;20
1;0;1;2;3;5;4;6;8;10;13;11;ab;9;7;12;ab;17;14;ab;19;15;16;18
2;0;1;2;4;5;3;6;8;10;13;11;ab;9;7;12;ab;16;14;ab;19;15;18;17
3;0;1;2;4;5;3;6;8;10;13;11;ab;9;7;12;ab;16;14;ab;19;15;18;17
4;0;1;2;4;5;3;6;8;10;13;11;ab;9;7;12;ab;16;14;ab;19;15;18;17
5;0;1;2;3;4;14;5;7;9;12;10;ab;8;6;11;ab;16;13;ab;18;15;19;17
6;0;1;2;3;4;14;5;7;9;12;10;ab;8;6;11;ab;15;13;ab;17;19;18;16
7;0;1;2;3;4;14;5;7;9;12;10;ab;8;6;11;ab;15;13;ab;16;18;17;ab
8;0;1;2;3;4;13;5;7;9;12;10;ab;8;6;11;ab;14;17;ab;15;18;16;ab
9;0;1;2;3;4;13;5;7;9;12;10;ab;8;6;11;ab;14;17;ab;15;18;16;ab
10;0;1;2;3;4;12;5;7;9;13;10;ab;8;6;11;ab;14;17;ab;15;18;16;ab
11;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;18;16;ab
12;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;18;16;ab
13;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;18;16;ab
14;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;18;16;ab
15;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;18;16;ab
16;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;18;16;ab
17;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;ab;16;ab
18;0;1;2;3;4;11;5;7;9;13;10;ab;8;6;12;ab;14;17;ab;15;ab;16;ab
19;0;1;2;3;4;ab;5;7;9;11;ab;ab;8;6;10;ab;12;14;ab;13;ab;15;ab
20;1;1;2;3;4;ab;5;7;9;11;ab;ab;8;6;10;ab;12;14;ab;13;ab;15;ab
21;1;1;2;3;4;ab;5;7;9;11;ab;ab;8;6;10;ab;12;14;ab;13;ab;15;ab
22;1;1;2;3;4;ab;5;6;8;10;ab;ab;7;15;9;ab;11;13;ab;12;ab;14;ab
23;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;15;9;ab;11;13;ab;12;ab;14;ab
24;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;14;9;ab;11;ab;ab;12;ab;13;ab
25;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;13;9;ab;11;ab;ab;12;ab;14;ab
26;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;13;9;ab;11;ab;ab;12;ab;14;ab
27;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;13;9;ab;11;ab;ab;12;ab;14;ab
28;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;13;9;ab;11;ab;ab;12;ab;14;ab
29;0;1;2;3;4;ab;5;6;8;9;ab;ab;7;12;13;ab;10;ab;ab;11;ab;14;ab
30;0;1;2;3;4;ab;5;6;8;9;ab;ab;7;12;13;ab;10;ab;ab;11;ab;14;ab
31;0;1;2;3;4;ab;5;6;8;9;ab;ab;7;12;13;ab;10;ab;ab;11;ab;14;ab
32;0;1;2;3;4;ab;5;6;8;9;ab;ab;7;11;12;ab;10;ab;ab;13;ab;14;ab
33;0;1;2;3;4;ab;5;6;8;10;ab;ab;7;11;12;ab;9;ab;ab;13;ab;14;ab
34;0;1;2;3;4;ab;5;6;7;ab;ab;ab;8;10;11;ab;9;ab;ab;12;ab;13;ab
35;0;1;2;3;4;ab;11;6;5;ab;ab;ab;10;8;9;ab;7;ab;ab;12;ab;13;ab
36;0;1;2;3;4;ab;13;6;5;ab;ab;ab;10;8;9;ab;7;ab;ab;11;ab;12;ab
37;0;1;2;3;8;ab;13;5;4;ab;ab;ab;10;7;9;ab;6;ab;ab;11;ab;12;ab
38;0;1;2;3;7;ab;ab;9;4;ab;ab;ab;10;6;8;ab;5;ab;ab;11;ab;12;ab
39;0;1;2;3;7;ab;ab;9;4;ab;ab;ab;10;6;8;ab;5;ab;ab;11;ab;12;ab
40;0;1;2;3;6;ab;ab;9;4;ab;ab;ab;10;5;7;ab;8;ab;ab;11;ab;12;ab
41;0;1;2;5;6;ab;ab;8;3;ab;ab;ab;10;4;7;ab;9;ab;ab;11;ab;12;ab
42;0;1;2;5;6;ab;ab;8;3;ab;ab;ab;10;4;7;ab;9;ab;ab;11;ab;12;ab
43;0;1;2;5;6;ab;ab;8;3;ab;ab;ab;10;4;7;ab;9;ab;ab;11;ab;12;ab
44;0;1;2;5;6;ab;ab;8;3;ab;ab;ab;10;4;7;ab;9;ab;ab;11;ab;12;ab
45;0;2;1;5;7;ab;ab;8;3;ab;ab;ab;10;4;6;ab;9;ab;ab;11;ab;12;ab
46;0;2;1;4;6;ab;ab;7;3;ab;ab;ab;10;9;5;ab;8;ab;ab;11;ab;12;ab
47;0;2;1;4;6;ab;ab;7;3;ab;ab;ab;10;9;5;ab;8;ab;ab;11;ab;12;ab
48;0;2;1;4;6;ab;ab;7;3;ab;ab;ab;10;9;5;ab;8;ab;ab;11;ab;12;ab
49;0;2;1;4;6;ab;ab;7;3;ab;ab;ab;10;9;5;ab;8;ab;ab;11;ab;12;ab
50;0;2;1;4;6;ab;ab;7;3;ab;ab;ab;10;9;5;ab;8;ab;ab;11;ab;12;ab
51;0;2;1;4;5;ab;ab;6;3;ab;ab;ab;10;8;9;ab;7;ab;ab;11;ab;12;ab
52;0;2;1;4;5;ab;ab;6;3;ab;ab;ab;10;8;9;ab;7;ab;ab;11;ab;12;ab
53;0;2;1;4;5;ab;ab;6;3;ab;ab;ab;10;8;9;ab;7;ab;ab;11;ab;12;ab
54;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
55;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
56;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
57;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
58;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
59;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
60;0;2;1;ab;4;ab;ab;5;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
61;0;2;1;ab;5;ab;ab;4;3;ab;ab;ab;9;7;8;ab;6;ab;ab;10;ab;11;ab
62;0;2;1;ab;7;ab;ab;4;3;ab;ab;ab;9;6;8;ab;5;ab;ab;10;ab;11;ab
63;0;2;1;ab;11;ab;ab;4;3;ab;ab;ab;8;6;7;ab;5;ab;ab;9;ab;10;ab
64;0;2;1;ab;11;ab;ab;4;3;ab;ab;ab;8;6;7;ab;5;ab;ab;9;ab;10;ab
65;0;2;1;ab;11;ab;ab;4;3;ab;ab;ab;7;10;6;ab;5;ab;ab;8;ab;9;ab
66;0;2;1;ab;11;ab;ab;4;3;ab;ab;ab;7;10;6;ab;5;ab;ab;8;ab;9;ab
