;sc;BAR;MSC;RSC;COU;RAI;MON;TRU;FIS;MAS;HEI;BUT;PAN;VIL;SAL;FRE;MCN;BER;WEB;IRV;DLR;YOO;SAT
0;1;ab;4;ab;1;11;3;2;ab;ab;ab;ab;ab;10;12;13;ab;14;8;5;6;9;7
1;1;ab;4;ab;1;11;3;2;ab;ab;ab;ab;ab;10;12;13;ab;14;8;5;6;9;7
2;1;ab;4;ab;1;11;3;2;ab;ab;ab;ab;ab;10;12;13;ab;14;8;5;6;9;7
3;1;ab;4;ab;1;11;3;2;ab;ab;ab;ab;ab;10;12;13;ab;14;8;5;6;9;7
4;1;ab;4;ab;1;11;3;2;ab;ab;ab;ab;ab;10;12;13;ab;14;8;5;6;9;7
5;0;ab;3;ab;1;9;4;2;ab;ab;ab;ab;ab;10;12;13;ab;14;8;5;6;11;7
6;0;ab;3;ab;1;8;4;2;ab;ab;ab;ab;ab;10;12;13;ab;14;9;5;7;11;6
7;0;ab;3;ab;1;7;4;2;ab;ab;ab;ab;ab;9;12;13;ab;14;10;5;8;11;6
8;1;ab;2;ab;1;5;3;ab;ab;ab;ab;ab;ab;8;11;12;ab;13;9;4;7;10;6
9;1;ab;2;ab;1;5;3;ab;ab;ab;ab;ab;ab;10;11;12;ab;13;8;4;7;9;6
10;1;ab;1;ab;5;4;2;ab;ab;ab;ab;ab;ab;9;11;12;ab;13;7;3;6;8;10
11;0;ab;2;ab;4;3;1;ab;ab;ab;ab;ab;ab;9;11;12;ab;13;7;5;6;8;10
12;0;ab;2;ab;4;3;1;ab;ab;ab;ab;ab;ab;9;10;11;ab;12;7;5;6;8;ab
13;0;ab;2;ab;4;3;1;ab;ab;ab;ab;ab;ab;9;10;11;ab;12;7;5;6;8;ab
14;0;ab;2;ab;4;3;1;ab;ab;ab;ab;ab;ab;9;10;11;ab;12;7;5;6;8;ab
15;0;ab;2;ab;4;3;1;ab;ab;ab;ab;ab;ab;9;10;11;ab;dsq;7;5;6;8;ab
16;0;ab;1;ab;4;3;2;ab;ab;ab;ab;ab;ab;9;10;dsq;ab;dsq;7;5;6;8;ab
17;0;ab;1;ab;4;3;2;ab;ab;ab;ab;ab;ab;8;10;dsq;ab;dsq;6;5;9;7;ab
18;0;ab;1;ab;4;3;2;ab;ab;ab;ab;ab;ab;7;10;dsq;ab;dsq;6;5;9;8;ab
19;0;ab;1;ab;4;3;2;ab;ab;ab;ab;ab;ab;7;10;dsq;ab;dsq;6;5;9;8;ab
20;0;ab;1;ab;4;3;2;ab;ab;ab;ab;ab;ab;7;9;dsq;ab;dsq;6;5;10;8;ab
21;0;ab;1;ab;4;3;2;ab;ab;ab;ab;ab;ab;7;9;dsq;ab;dsq;6;5;10;8;ab
22;0;ab;1;ab;5;3;2;ab;ab;ab;ab;ab;ab;7;9;dsq;ab;dsq;6;4;10;8;ab
23;0;ab;1;ab;5;3;2;ab;ab;ab;ab;ab;ab;7;9;dsq;ab;dsq;6;4;10;8;ab
24;0;ab;1;ab;6;3;2;ab;ab;ab;ab;ab;ab;7;9;dsq;ab;dsq;5;4;10;8;ab
25;0;ab;1;ab;7;3;2;ab;ab;ab;ab;ab;ab;6;9;dsq;ab;dsq;5;4;10;8;ab
26;0;ab;1;ab;7;3;2;ab;ab;ab;ab;ab;ab;6;9;dsq;ab;dsq;5;4;10;8;ab
27;0;ab;1;ab;6;3;2;ab;ab;ab;ab;ab;ab;ab;8;dsq;ab;dsq;5;4;9;7;ab
28;0;ab;1;ab;7;3;2;ab;ab;ab;ab;ab;ab;ab;8;dsq;ab;dsq;5;4;9;6;ab
29;0;ab;1;ab;7;3;2;ab;ab;ab;ab;ab;ab;ab;8;dsq;ab;dsq;5;4;9;6;ab
