;sc;MON;BAR;MSC;RSC;RAI;COU;TRU;SAL;VIL;HEI;MAS;BUT;PAN;SAT;MCN;FRE;FIS;BER;IRV;WEB;DLR
0;0;1;14;2;3;4;5;6;8;9;10;20;7;11;15;ab;17;16;12;13;18;19
1;0;1;13;2;3;4;5;6;8;9;10;20;7;11;15;ab;17;16;12;14;18;19
2;0;1;12;2;4;3;5;6;8;9;10;20;7;11;15;ab;17;16;13;14;18;19
3;0;1;11;2;4;3;5;6;8;9;10;20;7;13;15;ab;17;16;12;14;18;19
4;0;1;10;2;4;3;5;6;8;9;11;20;7;13;15;ab;16;18;12;14;17;19
5;0;1;8;2;4;3;5;6;9;10;11;20;7;13;15;ab;16;18;12;14;17;19
6;0;1;8;2;4;3;5;6;9;10;12;20;7;13;16;ab;15;18;11;14;17;19
7;0;1;8;2;4;3;5;6;11;9;12;20;7;13;16;ab;14;18;10;15;17;19
8;0;1;8;2;4;3;5;6;11;9;14;19;7;12;16;ab;13;18;10;15;17;20
9;0;1;8;2;4;3;5;6;11;9;14;18;7;12;16;ab;13;17;10;15;ab;19
10;0;1;8;2;4;3;5;6;11;9;14;19;7;12;15;ab;13;17;10;16;ab;18
11;0;1;8;2;4;3;5;6;11;9;13;19;7;12;18;ab;16;15;10;14;ab;17
12;0;1;8;2;5;4;3;6;10;9;15;19;7;13;18;ab;17;16;11;12;ab;14
13;0;1;5;2;7;8;3;4;11;10;17;16;6;14;19;ab;9;18;12;13;ab;15
14;0;1;4;2;6;7;8;3;12;10;16;15;5;13;19;ab;9;17;11;14;ab;18
15;0;2;3;1;5;7;11;4;ab;9;15;13;6;12;18;ab;8;16;10;14;ab;17
16;0;2;3;1;5;6;11;4;ab;9;15;13;7;12;18;ab;8;16;10;14;ab;17
17;0;2;3;1;6;5;11;4;ab;9;15;13;8;12;18;ab;7;14;10;16;ab;17
18;0;3;2;1;6;5;11;4;ab;9;14;13;8;12;18;ab;7;15;10;16;ab;17
19;0;3;2;1;6;5;11;4;ab;9;14;13;8;12;18;ab;7;15;10;16;ab;17
20;0;3;2;1;6;4;10;5;ab;8;13;12;7;11;17;ab;ab;14;9;15;ab;16
21;0;3;2;1;6;4;10;5;ab;7;13;11;8;12;17;ab;ab;14;9;15;ab;16
22;0;3;2;1;5;4;14;6;ab;7;11;10;8;12;17;ab;ab;13;9;15;ab;16
23;0;3;2;1;4;5;16;7;ab;6;11;10;8;12;14;ab;ab;13;9;ab;ab;15
24;0;3;2;1;4;12;16;11;ab;5;8;7;13;9;14;ab;ab;10;6;ab;ab;15
25;0;3;2;1;4;11;15;12;ab;5;7;6;14;8;13;ab;ab;9;10;ab;ab;16
26;0;3;2;1;4;10;16;13;ab;5;7;6;14;8;12;ab;ab;9;11;ab;ab;15
27;0;3;2;1;4;10;16;13;ab;5;7;6;15;8;11;ab;ab;9;12;ab;ab;14
28;0;3;2;1;4;10;15;14;ab;5;6;7;12;8;11;ab;ab;9;ab;ab;ab;13
29;0;3;2;1;4;10;14;ab;ab;5;6;9;12;7;11;ab;ab;8;ab;ab;ab;13
30;0;3;2;1;4;10;13;ab;ab;5;6;9;12;7;11;ab;ab;8;ab;ab;ab;14
31;0;3;2;1;8;10;13;ab;ab;4;5;9;12;6;11;ab;ab;7;ab;ab;ab;14
32;0;3;2;1;8;10;13;ab;ab;4;5;9;12;6;11;ab;ab;7;ab;ab;ab;14
33;0;3;2;1;8;10;13;ab;ab;4;5;9;12;6;11;ab;ab;7;ab;ab;ab;14
34;0;3;2;1;9;10;13;ab;ab;4;5;8;12;6;11;ab;ab;7;ab;ab;ab;14
35;0;3;2;1;10;9;13;ab;ab;4;5;8;12;6;11;ab;ab;7;ab;ab;ab;14
36;0;3;2;1;10;9;14;ab;ab;4;5;8;12;6;11;ab;ab;7;ab;ab;ab;13
37;0;3;2;1;9;10;13;ab;ab;4;7;8;12;5;11;ab;ab;6;ab;ab;ab;14
38;0;3;2;1;9;10;13;ab;ab;4;8;7;12;5;11;ab;ab;6;ab;ab;ab;14
39;0;3;2;1;9;10;13;ab;ab;5;6;7;12;4;11;ab;ab;8;ab;ab;ab;14
40;0;2;3;1;8;10;13;ab;ab;4;6;9;12;5;11;ab;ab;7;ab;ab;ab;14
41;0;2;3;1;8;10;13;ab;ab;4;6;9;12;5;11;ab;ab;7;ab;ab;ab;14
42;0;2;3;1;8;10;13;ab;ab;4;6;9;12;5;11;ab;ab;7;ab;ab;ab;14
