;sc;MSC;RSC;BAR;MON;RAI;FIS;PAN;TRU;COU;HEI;VIL;SAT;BUT;MAS;FRE;IRV;MCN;BER;SAL;DLR;WEB
0;0;1;2;3;5;4;8;9;6;7;12;14;13;10;11;20;16;15;17;18;ab;19
1;0;1;2;3;5;4;8;9;6;7;12;13;14;10;11;20;16;15;17;18;ab;19
2;0;1;2;3;5;4;8;9;6;7;12;13;14;10;11;20;15;16;17;19;ab;18
3;0;1;2;3;5;4;8;9;6;7;11;13;14;12;10;20;15;17;16;19;ab;18
4;0;1;2;3;5;4;8;9;6;7;11;13;14;12;10;20;15;17;16;19;ab;18
5;0;1;2;3;5;4;8;9;6;7;11;12;13;14;10;20;19;16;15;18;ab;17
6;0;1;2;3;5;4;8;9;6;7;11;12;13;17;10;20;19;15;14;18;ab;16
7;0;1;2;3;5;4;8;9;6;7;11;12;13;17;10;20;19;15;14;18;ab;16
8;0;1;2;3;5;4;8;9;6;7;11;12;13;19;10;20;18;15;14;17;ab;16
9;0;1;2;3;5;4;8;9;6;7;11;12;13;19;10;20;18;15;14;17;ab;16
10;0;1;2;3;4;5;8;9;6;7;11;12;13;18;10;20;19;15;14;17;ab;16
11;0;1;2;3;4;5;10;8;7;6;11;12;13;18;9;20;19;15;14;17;ab;16
12;0;1;2;3;4;5;10;7;8;6;11;12;13;18;9;20;19;15;14;17;ab;16
13;0;1;2;3;4;5;10;7;8;6;11;12;13;19;9;20;18;15;14;17;ab;16
14;0;1;2;3;4;5;10;7;9;6;11;12;13;19;8;20;18;15;14;17;ab;16
15;0;1;2;3;4;5;9;7;17;6;10;12;11;19;8;20;18;14;13;15;ab;16
16;0;1;2;3;4;5;9;7;19;6;10;12;11;18;8;20;17;14;13;15;ab;16
17;0;1;2;3;4;5;9;7;19;6;10;12;11;18;8;20;17;14;13;15;ab;16
18;0;1;2;3;4;5;9;7;19;6;10;12;11;18;8;ab;17;14;13;15;ab;16
19;0;1;2;3;4;5;9;7;19;6;10;12;11;18;8;ab;17;14;13;15;ab;16
20;0;1;2;3;4;5;8;7;18;6;9;11;10;19;17;ab;16;13;12;15;ab;14
21;0;1;2;3;4;5;8;7;17;6;9;11;10;19;16;ab;15;13;12;18;ab;14
22;0;1;2;3;4;5;8;7;16;6;15;10;9;18;14;ab;13;12;11;17;ab;19
23;0;1;2;3;4;5;8;7;15;6;14;10;9;17;13;ab;12;ab;11;16;ab;ab
24;0;1;2;3;4;5;7;8;14;6;12;13;9;ab;10;ab;11;ab;16;15;ab;ab
25;0;1;2;3;4;5;7;9;13;6;11;12;8;ab;10;ab;16;ab;15;14;ab;ab
26;0;2;1;4;3;7;6;8;12;5;10;16;11;ab;9;ab;15;ab;14;13;ab;ab
27;0;3;1;4;2;7;6;8;12;5;10;ab;11;ab;9;ab;15;ab;14;13;ab;ab
28;0;3;1;4;2;6;13;7;11;5;9;ab;10;ab;8;ab;15;ab;14;12;ab;ab
29;0;2;3;4;1;5;13;7;11;6;9;ab;10;ab;8;ab;15;ab;14;12;ab;ab
30;0;1;2;3;4;5;13;7;11;6;9;ab;10;ab;8;ab;15;ab;14;12;ab;ab
31;0;1;2;3;4;5;13;7;11;6;9;ab;10;ab;8;ab;15;ab;14;12;ab;ab
32;0;1;2;3;4;5;13;7;11;6;8;ab;10;ab;9;ab;15;ab;14;12;ab;ab
33;0;1;2;3;4;5;12;7;13;6;8;ab;10;ab;9;ab;15;ab;14;11;ab;ab
34;0;1;2;3;4;5;12;7;13;6;8;ab;10;ab;9;ab;15;ab;14;11;ab;ab
35;0;1;2;3;4;5;12;7;13;6;8;ab;10;ab;9;ab;15;ab;14;11;ab;ab
