;sc;MSC;RAI;BAR;RSC;MON;COU;TRU;IRV;SAL;BUT;DLR;VIL;MCN;FIS;PAN;SAT;MAS;HEI;WEB;DAV
0;0;1;3;2;6;4;5;7;8;10;9;11;14;12;13;18;17;16;15;19;20
1;0;1;4;2;6;3;5;7;8;10;9;11;14;12;13;18;17;16;15;19;20
2;0;1;4;2;6;3;5;7;8;10;9;11;14;12;13;18;17;16;15;19;20
3;0;1;4;2;6;3;5;7;8;10;9;11;14;12;13;18;17;16;15;19;20
4;0;1;4;2;6;3;5;7;8;10;9;11;14;12;13;18;17;15;16;ab;19
5;0;1;4;2;6;3;5;7;8;10;9;11;14;12;13;18;17;15;16;ab;19
6;0;1;4;2;6;3;5;7;8;10;9;11;14;12;13;18;17;15;16;ab;19
7;0;1;4;2;6;3;5;7;8;10;9;11;13;12;15;18;17;14;16;ab;19
8;0;1;4;2;6;3;5;7;8;10;9;11;13;12;15;18;17;14;16;ab;19
9;0;1;4;2;6;3;5;7;8;10;9;11;13;12;15;18;17;14;16;ab;19
10;0;1;4;2;6;3;5;7;8;9;ab;10;12;11;14;17;16;13;15;ab;18
11;0;1;4;2;6;3;5;7;8;9;ab;10;12;11;14;17;16;13;15;ab;18
12;0;1;4;2;6;3;5;7;8;9;ab;10;12;11;14;17;16;13;15;ab;18
13;0;1;4;2;6;3;5;7;8;9;ab;10;11;12;13;15;18;16;14;ab;17
14;0;1;4;2;6;3;5;7;10;8;ab;9;14;15;11;13;18;17;12;ab;16
15;0;1;4;2;6;3;5;7;13;8;ab;9;14;15;10;12;17;16;11;ab;18
16;0;2;4;1;7;3;5;6;11;12;ab;13;14;15;8;9;17;16;10;ab;18
17;0;1;5;3;8;4;2;7;10;11;ab;12;13;14;6;9;17;15;16;ab;ab
18;0;1;5;2;8;4;3;7;9;10;ab;11;12;13;6;16;17;14;15;ab;ab
19;0;1;5;2;8;3;4;7;9;10;ab;11;12;13;6;16;17;14;15;ab;ab
20;0;1;5;2;7;3;4;6;9;10;ab;11;12;13;8;16;17;14;15;ab;ab
21;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;15;16;17;13;14;ab;ab
22;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;15;16;17;13;14;ab;ab
23;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;15;16;17;13;14;ab;ab
24;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;15;16;17;13;14;ab;ab
25;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;15;16;17;13;14;ab;ab
26;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;15;16;17;13;14;ab;ab
27;0;1;5;2;7;3;4;6;8;9;ab;10;11;12;14;15;17;16;13;ab;ab
28;0;1;5;2;6;3;4;7;8;9;ab;10;11;14;12;13;17;16;15;ab;ab
29;0;1;5;2;6;3;4;9;8;10;ab;7;11;15;12;13;17;14;16;ab;ab
30;0;1;5;2;6;3;4;8;10;11;ab;7;9;15;12;13;17;14;16;ab;ab
31;0;1;5;2;9;3;4;6;10;11;ab;7;8;15;12;13;17;14;16;ab;ab
32;0;1;4;2;7;5;3;6;9;10;ab;11;8;14;12;16;17;13;15;ab;ab
33;0;1;4;2;7;5;3;6;8;9;ab;10;12;14;11;16;17;13;15;ab;ab
34;0;1;5;2;7;4;3;6;8;9;ab;10;12;14;11;16;17;13;15;ab;ab
35;0;1;ab;2;5;3;4;ab;6;7;ab;8;10;12;9;14;15;11;13;ab;ab
36;0;1;ab;2;5;3;4;ab;6;7;ab;8;10;12;9;14;15;11;13;ab;ab
37;0;1;ab;2;5;3;4;ab;6;7;ab;ab;9;10;8;12;13;ab;11;ab;ab
38;0;1;ab;2;5;3;4;ab;6;7;ab;ab;8;9;ab;11;12;ab;10;ab;ab
39;0;1;ab;2;5;3;4;ab;6;7;ab;ab;8;9;ab;12;11;ab;10;ab;ab
40;0;1;ab;2;5;3;4;ab;6;7;ab;ab;8;9;ab;12;11;ab;10;ab;ab
41;0;1;ab;2;5;3;4;ab;6;7;ab;ab;8;9;ab;12;11;ab;10;ab;ab
42;0;1;ab;2;5;3;4;ab;6;7;ab;ab;8;9;ab;12;11;ab;10;ab;ab
43;0;1;ab;2;5;3;4;ab;6;7;ab;ab;8;9;ab;12;11;ab;10;ab;ab
