;sc;MSC;BAR;COU;MON;RSC;RAI;VIL;TRU;FIS;HEI;FRE2;PAN;IRV;BUT;SAT;MCN;DLR;WEB;SAL;YOO
0;0;1;2;3;5;4;7;8;6;10;9;11;17;15;12;13;14;20;18;16;19
1;0;1;2;3;7;20;5;6;4;9;8;10;16;15;12;11;13;19;17;14;18
2;0;1;2;3;7;20;5;6;4;9;8;10;16;15;12;11;13;19;17;14;18
3;0;1;2;3;7;20;5;6;4;9;8;10;16;15;12;11;14;19;17;13;18
4;0;1;2;3;7;20;5;6;4;9;8;10;16;15;12;11;14;19;17;13;18
5;0;1;2;3;7;20;5;6;4;9;8;10;16;15;12;11;14;19;17;13;18
6;0;1;2;3;7;20;5;6;4;9;8;12;16;15;10;11;14;19;17;13;18
7;0;1;2;3;7;20;5;6;4;9;8;12;16;15;10;11;14;19;17;13;18
8;0;1;2;3;7;20;5;6;4;9;8;12;16;15;10;11;14;19;17;13;18
9;0;1;2;3;7;20;5;6;4;9;8;12;16;15;10;11;14;19;17;13;18
10;0;1;2;3;7;20;5;6;4;9;8;12;16;15;10;11;14;19;17;13;18
11;0;1;2;3;7;20;5;6;4;9;8;12;15;17;10;11;14;19;16;13;18
12;0;1;2;3;7;20;6;5;4;9;8;12;15;17;10;11;14;19;16;13;18
13;0;1;2;3;7;20;6;5;4;9;8;12;15;17;10;11;14;19;16;13;18
14;0;1;2;3;7;20;6;5;4;9;8;12;14;17;10;11;15;19;16;13;18
15;0;1;2;3;7;20;6;5;4;9;8;12;14;17;10;11;15;19;16;13;18
16;0;1;2;3;6;20;7;5;4;9;8;12;14;17;10;11;15;19;16;13;18
17;0;1;2;3;6;20;7;5;4;9;8;12;14;17;10;11;15;19;16;13;18
18;0;1;2;3;6;20;7;5;4;9;8;12;14;16;10;11;15;19;17;13;18
19;0;1;2;3;6;20;7;5;4;9;8;12;14;16;10;11;15;19;17;13;18
20;0;1;2;3;6;20;7;5;4;9;8;12;19;15;10;11;14;17;16;13;18
21;0;1;2;3;6;20;7;5;4;9;8;12;19;15;10;11;14;17;16;13;18
22;0;1;2;3;6;20;7;5;4;9;8;12;19;15;10;11;14;17;16;13;18
23;0;1;2;3;6;20;7;5;4;9;8;12;19;15;10;11;14;17;16;13;18
24;0;1;2;3;5;20;6;9;4;8;7;12;19;15;10;11;14;17;16;13;18
25;0;1;2;3;5;20;6;10;4;8;7;11;19;14;9;12;13;16;15;17;18
26;0;2;1;3;5;20;6;10;4;8;7;11;19;13;9;15;12;16;14;18;17
27;0;2;1;3;5;19;6;9;4;7;11;10;18;13;8;14;12;ab;15;17;16
28;0;1;2;3;4;19;5;9;6;7;11;10;18;13;8;14;12;ab;15;17;16
29;0;1;2;3;4;19;5;8;7;6;9;14;18;12;10;13;11;ab;15;17;16
30;0;1;2;3;4;19;5;8;7;6;9;15;18;11;13;12;10;ab;14;17;16
31;0;1;2;3;6;19;4;8;7;5;9;15;18;11;13;12;10;ab;14;16;17
32;0;1;2;3;6;19;4;8;7;5;9;15;18;10;13;12;11;ab;14;16;17
33;0;1;2;3;6;19;4;7;8;5;9;15;18;10;13;12;11;ab;14;16;17
34;0;1;2;3;6;19;4;7;8;5;9;15;18;10;13;12;11;ab;14;16;17
35;0;1;2;3;6;19;4;7;8;5;9;15;18;10;13;12;11;ab;14;16;17
36;0;1;2;3;5;19;4;6;7;8;9;15;18;10;13;12;11;ab;14;16;17
37;0;1;2;3;5;19;4;6;7;9;8;15;18;10;13;12;11;ab;14;16;17
38;0;1;2;3;5;18;4;6;7;9;8;14;17;10;13;12;11;ab;ab;15;16
39;0;1;2;3;5;18;4;6;7;9;8;14;16;10;13;12;11;ab;ab;15;17
40;0;1;2;3;5;18;4;6;7;9;8;13;15;10;12;11;16;ab;ab;14;17
41;0;1;2;4;5;18;3;6;7;9;8;13;15;10;12;11;16;ab;ab;14;17
42;0;1;2;3;4;18;6;5;7;9;8;12;15;14;11;10;16;ab;ab;13;17
43;0;1;2;3;4;18;6;5;7;9;8;12;15;14;11;10;16;ab;ab;13;17
44;0;1;2;3;4;18;6;5;7;9;8;12;14;13;11;10;16;ab;ab;15;17
45;0;1;2;3;4;18;6;5;7;9;8;12;14;13;11;10;16;ab;ab;15;17
46;0;1;2;3;4;17;6;5;7;9;8;12;14;13;11;10;16;ab;ab;15;ab
47;0;1;2;3;4;17;6;5;7;8;10;12;14;13;11;9;16;ab;ab;15;ab
48;0;2;1;3;4;17;6;5;7;8;11;14;15;12;10;9;16;ab;ab;13;ab
49;0;2;1;3;4;17;6;5;7;8;10;15;14;11;9;12;16;ab;ab;13;ab
50;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
51;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
52;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
53;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
54;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
55;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
56;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
57;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
58;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
59;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
60;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
61;0;1;2;3;4;16;ab;6;5;7;9;13;12;10;8;11;15;ab;ab;14;ab
