;sc;MSC;BAR;COU;RAI;RSC;MON;SAT;FIS;VIL;BUT;TRU;HEI;SAL;IRV;MAS;PAN;DLR;MCN;WEB;YOO
0;0;1;2;3;5;4;6;7;11;14;9;8;10;12;15;13;17;16;np;19;18
1;0;1;2;3;5;4;6;7;11;13;9;8;10;12;15;14;17;16;np;19;18
2;0;1;2;3;5;4;6;7;11;13;9;8;10;12;15;14;17;16;np;19;18
3;0;1;2;3;5;4;6;7;11;13;9;8;10;12;14;ab;16;15;np;18;17
4;0;1;2;3;5;4;6;7;11;13;9;8;10;12;14;ab;18;15;np;17;16
5;0;1;2;3;5;4;6;7;11;13;9;8;10;12;14;ab;18;15;np;17;16
6;0;1;2;17;4;3;5;6;10;12;8;7;9;11;13;ab;18;14;np;16;15
7;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;17;14;np;16;15
8;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;ab;14;np;15;16
9;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;ab;14;np;15;16
10;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;ab;14;np;15;16
11;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;ab;14;np;15;16
12;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;ab;14;np;15;16
13;0;1;2;ab;4;3;5;6;10;12;8;7;9;11;13;ab;ab;14;np;15;16
14;0;1;2;ab;4;3;5;6;10;12;7;8;9;11;13;ab;ab;14;np;15;ab
15;0;1;2;ab;4;3;5;6;9;11;7;14;8;10;12;ab;ab;13;np;15;ab
16;0;1;2;ab;4;3;5;6;8;10;14;13;7;9;11;ab;ab;12;np;15;ab
17;0;1;2;ab;4;3;5;6;8;9;14;13;7;10;11;ab;ab;12;np;15;ab
18;0;1;2;ab;4;3;5;6;7;9;13;12;8;14;10;ab;ab;11;np;15;ab
19;0;1;2;ab;4;3;5;6;7;14;11;10;12;13;8;ab;ab;9;np;15;ab
20;0;2;1;ab;4;3;5;6;13;14;9;8;11;12;7;ab;ab;10;np;15;ab
21;0;1;4;ab;3;2;5;9;12;13;8;6;10;11;7;ab;ab;14;np;15;ab
22;0;1;3;ab;5;2;4;8;11;12;7;6;9;10;13;ab;ab;14;np;15;ab
23;0;1;3;ab;5;2;4;8;11;12;7;6;9;10;13;ab;ab;14;np;15;ab
24;0;1;2;ab;5;4;3;8;11;12;7;6;9;10;13;ab;ab;14;np;15;ab
25;0;1;2;ab;4;3;5;8;11;12;7;6;9;10;13;ab;ab;14;np;15;ab
26;0;1;2;ab;4;3;5;8;11;12;7;6;9;10;13;ab;ab;14;np;15;ab
27;0;1;2;ab;4;3;5;8;11;ab;7;6;9;10;12;ab;ab;13;np;14;ab
28;0;1;2;ab;4;3;5;8;11;ab;7;6;9;10;12;ab;ab;13;np;14;ab
29;0;1;2;ab;4;3;5;8;11;ab;7;6;9;10;12;ab;ab;13;np;14;ab
30;0;1;2;ab;4;3;5;8;11;ab;7;6;9;10;12;ab;ab;13;np;14;ab
31;0;1;2;ab;4;3;5;8;11;ab;7;6;9;10;12;ab;ab;13;np;14;ab
32;0;1;2;ab;4;3;5;6;9;ab;10;ab;7;8;11;ab;ab;12;np;13;ab
33;0;1;2;ab;4;3;5;6;8;ab;10;ab;7;9;11;ab;ab;12;np;13;ab
34;0;1;2;ab;4;3;5;6;8;ab;9;ab;7;12;10;ab;ab;11;np;13;ab
35;0;1;2;ab;4;3;5;6;11;ab;7;ab;9;12;8;ab;ab;10;np;13;ab
36;0;1;2;ab;4;3;5;6;10;ab;7;ab;9;12;8;ab;ab;11;np;13;ab
37;0;1;3;ab;4;2;5;6;ab;ab;7;ab;9;10;8;ab;ab;11;np;12;ab
38;0;1;3;ab;4;2;5;6;ab;ab;7;ab;8;9;10;ab;ab;11;np;12;ab
39;0;1;2;ab;3;5;4;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
40;0;1;2;ab;3;4;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
41;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
42;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
43;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
44;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
45;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
46;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
47;0;1;2;ab;4;3;5;6;ab;ab;7;ab;8;9;10;ab;ab;ab;np;11;ab
48;0;1;2;ab;3;11;4;5;ab;ab;6;ab;7;8;9;ab;ab;ab;np;10;ab
49;0;1;2;ab;3;11;4;5;ab;ab;6;ab;7;8;9;ab;ab;ab;np;10;ab
50;0;1;2;ab;3;11;4;5;ab;ab;6;ab;7;8;9;ab;ab;ab;np;10;ab
51;0;1;2;ab;3;11;4;5;ab;ab;6;ab;7;8;9;ab;ab;ab;np;10;ab
52;0;1;2;ab;3;11;4;5;ab;ab;6;ab;7;8;9;ab;ab;ab;np;10;ab
