;sc;MSC;MON;BAR;RSC;RAI;COU;HEI;BUT;FIS;SAL;FRE;TRU;VIL;MAS;SAT;BER;DLR;PAN;MCN;IRV;WEB;YOO
0;0;21;11;1;2;3;4;5;6;8;9;22;7;15;13;10;12;16;17;14;18;20;19
1;0;21;9;1;2;3;4;5;6;19;8;22;7;13;12;20;10;15;14;11;16;18;17
2;0;19;7;1;2;3;4;5;6;22;9;21;8;13;12;20;10;15;14;11;16;18;17
3;0;19;7;1;2;3;4;5;6;22;8;21;9;13;12;20;10;15;14;11;16;18;17
4;0;19;7;1;2;3;4;5;6;22;8;21;9;13;12;20;10;15;14;11;16;18;17
5;0;19;7;1;2;3;4;5;6;22;8;21;9;13;12;20;11;15;14;10;16;18;17
6;0;17;6;1;2;3;4;5;7;22;8;21;10;13;12;20;11;19;14;9;15;18;16
7;0;16;6;1;2;3;4;5;7;22;8;21;14;12;11;19;10;20;13;9;15;18;17
8;0;15;7;1;2;3;4;5;6;22;8;21;18;12;11;19;10;20;13;9;14;17;16
9;0;13;9;1;2;3;4;5;6;20;7;19;ab;12;11;17;10;18;ab;8;14;16;15
10;0;13;9;1;2;3;4;5;6;20;7;19;ab;12;11;17;10;18;ab;8;14;16;15
11;0;12;9;1;2;3;4;5;6;20;7;19;ab;13;11;17;10;18;ab;8;14;16;15
12;0;12;9;1;2;3;5;4;6;20;7;19;ab;13;11;17;10;18;ab;8;14;16;15
13;0;11;9;1;2;3;7;4;5;20;6;19;ab;13;12;17;10;18;ab;8;14;16;15
14;0;11;7;1;2;3;9;4;5;20;6;19;ab;13;12;17;10;18;ab;8;14;16;15
15;0;9;7;1;2;3;ab;4;5;19;6;18;ab;12;11;16;10;17;ab;8;13;15;14
16;0;9;7;1;2;3;ab;4;5;19;6;18;ab;12;11;16;10;17;ab;8;13;15;14
17;0;9;7;1;2;3;ab;4;5;19;6;18;ab;12;11;16;10;17;ab;8;13;15;14
18;0;9;7;1;2;3;ab;4;5;19;6;18;ab;12;11;16;10;17;ab;8;13;14;15
19;0;12;5;1;2;3;ab;7;4;19;6;18;ab;10;9;16;8;17;ab;13;11;14;15
20;0;11;5;1;2;3;ab;7;4;18;6;17;ab;9;8;15;ab;16;ab;12;10;13;14
21;0;9;6;3;1;2;ab;5;4;18;8;17;ab;10;7;15;ab;16;ab;12;11;13;14
22;0;9;6;3;1;2;ab;5;4;18;7;17;ab;10;8;14;ab;16;ab;12;11;13;15
23;0;8;6;2;1;4;ab;5;3;18;7;17;ab;9;12;14;ab;15;ab;11;10;13;16
24;0;7;5;2;1;ab;ab;4;3;17;6;16;ab;8;11;13;ab;14;ab;10;9;12;15
