;sc;MON;MSC;RSC;COU;RAI;TRU;BUT;BAR;HEI;SAL;DLR;MAS;IRV;FIS;VIL;MCN;PAN;FRE;SAT;WEB;BER;YOO
0;0;20;1;2;5;7;3;4;6;8;12;11;9;10;21;13;22;15;14;17;18;16;19
1;0;20;1;2;6;7;3;4;5;8;12;11;9;10;21;13;22;15;14;17;18;16;19
2;0;20;1;2;6;7;3;5;4;8;11;12;9;10;21;13;22;15;14;17;18;16;19
3;0;20;1;2;6;7;4;5;3;8;11;12;9;10;21;13;22;15;14;17;18;16;19
4;0;20;1;2;6;7;4;5;3;8;10;11;9;12;21;13;22;16;14;17;18;15;19
5;0;20;1;3;6;7;4;5;2;8;10;11;9;12;21;13;22;16;14;17;18;15;19
6;0;20;1;3;6;7;4;5;2;8;10;11;9;13;ab;12;21;16;14;17;18;15;19
7;0;20;1;3;6;7;4;5;2;8;10;11;9;14;ab;12;21;16;13;17;18;15;19
8;0;20;1;3;6;7;4;5;2;8;10;11;9;14;ab;12;21;16;13;17;18;15;19
9;0;20;1;3;6;7;4;5;2;8;10;11;9;14;ab;12;21;17;13;16;18;15;19
10;0;20;1;3;6;7;4;5;2;8;10;11;9;14;ab;12;21;17;13;16;18;15;19
11;0;19;1;3;6;7;4;5;2;8;10;12;9;14;ab;11;21;16;13;15;17;20;18
12;0;19;1;3;5;7;4;6;2;8;10;13;9;14;ab;11;20;16;12;15;17;21;18
13;0;19;2;3;5;7;4;6;1;8;10;13;9;14;ab;11;20;16;12;15;17;21;18
14;0;19;2;3;5;7;4;6;1;8;10;13;9;15;ab;11;20;16;12;14;17;21;18
15;0;19;2;3;5;7;4;6;1;8;9;13;10;15;ab;11;20;16;12;14;17;21;18
16;0;18;1;2;4;6;3;5;ab;7;8;12;9;14;ab;10;19;15;11;13;16;20;17
17;0;17;1;2;4;6;3;5;ab;7;8;12;9;14;ab;10;19;15;11;13;16;20;18
18;0;17;1;2;4;6;3;5;ab;7;8;12;9;14;ab;10;19;15;11;13;16;20;18
19;0;17;1;2;4;6;3;5;ab;7;8;12;10;14;ab;9;19;15;11;13;16;ab;18
20;0;17;1;2;4;6;3;5;ab;7;8;12;9;14;ab;10;19;15;11;13;16;ab;18
21;0;17;1;2;4;6;3;5;ab;7;8;13;11;14;ab;9;19;15;10;12;16;ab;18
22;0;17;1;2;4;6;3;5;ab;7;8;13;11;14;ab;9;19;15;10;12;16;ab;18
23;0;17;1;2;4;6;3;5;ab;7;8;13;10;14;ab;12;19;15;9;11;16;ab;18
24;0;14;1;2;4;6;3;5;ab;7;8;10;13;11;ab;16;19;12;17;9;15;ab;18
25;0;12;1;2;4;6;3;5;ab;7;8;10;15;11;ab;14;17;ab;ab;9;13;ab;16
26;0;11;1;2;4;6;3;5;ab;7;8;9;15;10;ab;14;17;ab;ab;12;13;ab;16
27;0;10;1;2;4;6;3;5;ab;7;8;9;15;11;ab;13;17;ab;ab;14;12;ab;16
28;0;10;1;2;4;6;3;5;ab;7;8;9;15;11;ab;13;17;ab;ab;14;12;ab;16
29;0;9;1;2;4;6;3;5;ab;7;8;10;15;11;ab;13;17;ab;ab;14;12;ab;16
30;0;9;1;2;4;6;3;5;ab;7;8;10;15;11;ab;13;17;ab;ab;14;12;ab;16
31;0;9;1;2;4;6;3;5;ab;7;8;10;15;11;ab;13;17;ab;ab;14;12;ab;16
32;0;9;1;2;4;6;3;5;ab;7;8;10;15;11;ab;12;17;ab;ab;14;13;ab;16
33;0;9;1;2;4;6;3;5;ab;7;8;10;14;11;ab;12;17;ab;ab;13;15;ab;16
34;0;9;1;2;4;6;3;5;ab;7;8;10;14;11;ab;12;16;ab;ab;13;15;ab;17
35;0;9;1;2;4;6;3;5;ab;7;8;10;14;11;ab;12;16;ab;ab;13;15;ab;17
36;0;9;1;2;4;6;3;5;ab;7;8;10;14;11;ab;12;16;ab;ab;13;15;ab;17
37;0;8;1;2;4;5;3;6;ab;7;9;10;14;11;ab;12;16;ab;ab;13;15;ab;17
38;0;8;1;2;4;5;3;6;ab;7;12;9;14;10;ab;11;16;ab;ab;13;15;ab;17
39;0;8;2;1;4;5;3;6;ab;7;12;9;14;10;ab;11;16;ab;ab;13;15;ab;17
40;0;7;2;1;4;5;3;6;ab;8;12;9;14;10;ab;11;ab;ab;ab;13;15;ab;16
41;0;7;2;1;4;5;3;6;ab;10;12;9;ab;8;ab;11;ab;ab;ab;13;14;ab;15
