;sc;MSC;BAR;RSC;MON;RAI;COU;HEI;TRU;BUT;VIL;MAS;PAN;FRE;SAT;FIS;SAL;MCN;IRV;WEB;BER;DLR
0;0;1;3;2;4;5;6;9;7;8;11;10;12;14;13;18;15;ab;17;19;16;20
1;0;1;3;2;4;5;6;9;7;8;11;10;12;13;14;17;15;ab;18;19;16;20
2;0;1;3;2;4;5;6;9;7;8;11;10;12;13;14;17;15;ab;18;19;16;20
3;0;1;3;2;4;5;6;9;7;8;11;10;12;13;14;17;15;ab;18;19;16;20
4;0;1;3;2;4;5;6;9;7;8;11;10;12;13;20;16;14;ab;17;18;15;19
5;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
6;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
7;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
8;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
9;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
10;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
11;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
12;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
13;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
14;0;1;3;2;4;5;6;9;7;8;11;10;12;13;ab;16;15;ab;17;18;14;19
15;0;1;3;2;4;5;6;10;7;8;11;9;12;13;ab;16;15;ab;17;18;14;19
16;0;1;3;2;4;5;6;16;7;8;10;9;11;12;ab;15;14;ab;17;18;13;19
17;0;1;3;2;4;5;6;14;7;8;9;13;10;11;ab;16;15;ab;17;18;12;19
18;0;1;3;2;4;5;6;14;7;8;9;13;10;11;ab;16;15;ab;17;18;12;19
19;0;1;3;2;4;5;6;18;7;8;9;13;10;11;ab;ab;14;ab;15;16;12;17
20;0;1;3;2;4;5;6;18;7;8;9;13;10;11;ab;ab;14;ab;15;16;12;17
21;0;1;3;2;4;5;6;18;7;8;9;13;10;11;ab;ab;14;ab;15;16;12;17
22;0;1;3;2;4;5;6;18;11;7;8;12;9;10;ab;ab;14;ab;15;16;13;17
23;0;1;3;2;4;5;6;17;11;10;7;12;8;9;ab;ab;18;ab;14;15;13;16
24;0;1;3;2;4;5;6;17;11;10;7;12;8;9;ab;ab;18;ab;14;15;13;16
25;0;1;3;2;4;5;6;15;10;9;7;11;8;ab;ab;ab;17;ab;13;16;12;14
26;0;1;3;2;4;5;6;15;9;8;7;10;11;ab;ab;ab;ab;ab;13;16;12;14
27;0;1;3;2;4;5;6;15;8;7;10;9;11;ab;ab;ab;ab;ab;13;16;12;14
28;0;1;3;2;4;5;6;15;8;7;10;9;11;ab;ab;ab;ab;ab;13;16;12;14
29;0;1;3;2;4;5;6;14;8;7;10;9;11;ab;ab;ab;ab;ab;15;16;12;13
30;0;1;2;3;4;6;5;13;8;7;10;9;11;ab;ab;ab;ab;ab;14;15;12;ab
31;0;2;1;4;3;6;5;13;8;7;10;9;11;ab;ab;ab;ab;ab;14;15;12;ab
32;0;1;2;3;4;6;5;13;8;7;10;9;11;ab;ab;ab;ab;ab;14;15;12;ab
