;sc;MSC;BAR;RSC;MON;RAI;BUT;COU;HEI;TRU;FRE;MAS;FIS;PAN;BER;VIL;DLR;SAL;SAT;MCN;IRV
0;0;1;np;2;3;4;5;6;8;7;10;9;12;11;14;15;19;16;13;17;18
1;0;1;np;2;3;4;5;6;8;7;10;9;12;11;14;15;19;16;13;17;18
2;0;1;np;2;3;4;5;6;8;7;10;9;12;11;14;15;ab;18;13;16;17
3;0;1;np;2;3;17;4;5;7;6;9;8;11;10;13;14;ab;18;12;15;16
4;0;1;np;2;3;ab;4;5;7;6;9;8;16;10;12;13;ab;17;11;14;15
5;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;12;13;ab;16;11;14;15
6;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;12;13;ab;16;11;14;15
7;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;12;13;ab;16;11;14;15
8;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;12;13;ab;16;11;14;15
9;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;12;13;ab;16;11;14;15
10;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
11;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
12;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
13;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
14;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
15;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
16;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
17;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
18;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
19;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
20;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
21;0;1;np;2;3;ab;4;5;7;6;9;8;ab;10;11;12;ab;15;ab;13;14
22;0;1;np;2;3;ab;4;5;6;7;9;8;ab;10;11;12;ab;15;ab;13;14
23;0;1;np;3;2;ab;5;4;6;11;8;7;ab;9;10;13;ab;15;ab;14;12
24;0;1;np;7;2;ab;8;3;4;9;6;5;ab;11;12;13;ab;15;ab;14;10
25;0;1;np;4;5;ab;8;2;3;9;7;6;ab;10;12;13;ab;15;ab;14;11
26;0;1;np;4;5;ab;6;2;3;7;10;8;ab;9;11;12;ab;15;ab;13;14
27;0;1;np;3;4;ab;5;2;7;6;10;8;ab;9;11;12;ab;15;ab;13;14
28;0;1;np;4;3;ab;5;2;7;6;10;8;ab;9;11;12;ab;15;ab;13;14
29;0;1;np;13;2;ab;3;4;6;5;9;7;ab;8;10;11;ab;15;ab;12;14
30;0;1;np;13;2;ab;3;4;6;5;9;7;ab;8;10;11;ab;15;ab;12;14
31;0;1;np;13;2;ab;3;4;6;5;9;7;ab;8;10;11;ab;15;ab;12;14
32;0;1;np;13;2;ab;3;4;6;5;9;7;ab;8;10;11;ab;15;ab;12;14
33;0;1;np;13;2;ab;4;3;6;5;9;7;ab;8;10;11;ab;15;ab;12;14
34;0;1;np;13;2;ab;4;3;6;5;9;7;ab;8;10;11;ab;15;ab;12;14
35;0;1;np;13;2;ab;5;3;6;4;9;7;ab;8;10;11;ab;15;ab;12;14
36;0;1;np;13;2;ab;5;3;6;4;9;7;ab;8;11;10;ab;15;ab;12;14
37;0;1;np;13;2;ab;5;3;6;4;9;7;ab;8;11;10;ab;15;ab;12;14
38;0;1;np;12;2;ab;5;3;6;4;9;7;ab;8;15;10;ab;14;ab;11;13
39;0;1;np;13;2;ab;5;3;6;4;9;7;ab;8;15;10;ab;14;ab;11;12
40;0;1;np;13;2;ab;5;3;6;4;9;7;ab;8;ab;10;ab;12;ab;11;14
41;0;1;np;13;2;ab;5;3;7;4;9;6;ab;8;ab;10;ab;12;ab;11;ab
42;0;1;np;13;2;ab;10;3;9;4;6;5;ab;7;ab;8;ab;12;ab;11;ab
43;0;1;np;12;2;ab;9;3;8;6;5;4;ab;ab;ab;7;ab;11;ab;10;ab
44;0;1;np;12;2;ab;7;3;5;4;9;8;ab;ab;ab;6;ab;11;ab;10;ab
45;0;1;np;11;3;ab;6;2;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
46;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
47;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
48;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
49;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
50;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
51;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
52;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
53;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
54;0;1;np;11;2;ab;6;3;5;4;8;7;ab;ab;ab;9;ab;12;ab;10;ab
55;0;1;np;11;2;ab;8;3;5;4;7;6;ab;ab;ab;9;ab;12;ab;10;ab
56;0;1;np;11;2;ab;8;3;4;5;7;6;ab;ab;ab;9;ab;12;ab;10;ab
57;0;1;np;11;2;ab;9;3;4;5;7;6;ab;ab;ab;8;ab;12;ab;10;ab
58;0;1;np;11;2;ab;9;3;4;5;7;6;ab;ab;ab;8;ab;12;ab;10;ab
59;0;1;np;11;2;ab;9;3;4;5;7;6;ab;ab;ab;8;ab;12;ab;10;ab
60;0;1;np;10;2;ab;12;3;4;7;6;5;ab;ab;ab;8;ab;11;ab;9;ab
61;0;1;np;10;2;ab;12;3;4;8;6;5;ab;ab;ab;7;ab;11;ab;9;ab
62;0;1;np;10;2;ab;12;3;4;8;6;5;ab;ab;ab;7;ab;11;ab;9;ab
63;0;1;np;11;2;ab;12;3;4;10;6;5;ab;ab;ab;7;ab;9;ab;8;ab
64;0;1;np;11;2;ab;12;3;4;10;6;5;ab;ab;ab;7;ab;9;ab;8;ab
