;sc;MON;RSC;MSC;BAR;COU;RAI;TRU;BUT;HEI;SAL;MAS;PAN;MCN;SAT;FRE;DLR;IRV;FIS;VIL;WEB;BER;YOO
0;0;4;2;3;1;5;6;8;7;10;12;9;13;11;22;17;18;14;21;20;16;15;19
1;0;4;2;3;1;5;6;8;7;10;12;9;13;11;22;15;19;16;21;18;17;14;20
2;0;4;3;2;1;5;6;8;7;10;13;9;12;11;22;15;19;16;21;17;18;14;20
3;0;4;3;2;1;5;6;8;7;10;13;9;12;11;22;15;19;16;21;17;18;14;20
4;0;4;3;2;1;5;6;12;7;9;13;8;11;10;22;15;19;16;21;17;18;14;20
5;0;4;3;2;1;5;6;11;7;9;19;8;12;10;22;14;18;16;21;15;17;13;20
6;0;4;3;2;1;5;6;11;7;9;18;8;12;10;22;14;17;16;21;15;19;13;20
7;0;4;3;2;1;5;6;11;7;9;18;8;12;10;22;14;17;16;21;15;19;13;20
8;0;4;3;2;1;5;6;11;7;9;18;8;12;10;22;14;17;16;21;15;19;13;20
9;0;4;3;2;1;5;6;9;7;10;18;8;12;11;22;13;17;16;21;15;19;14;20
10;0;4;3;2;1;5;6;9;7;10;18;8;12;11;22;13;16;17;21;15;19;14;20
11;0;4;3;2;1;5;6;8;7;10;18;9;12;11;22;13;16;17;21;15;19;14;20
12;0;4;3;2;1;5;6;8;7;10;18;9;12;11;22;13;16;17;21;14;19;15;20
13;0;4;3;2;1;5;6;8;7;10;18;9;12;11;22;15;16;17;21;13;19;14;20
14;0;4;3;2;1;5;6;8;7;10;18;9;12;11;22;15;16;17;21;13;19;14;20
15;0;4;3;2;1;5;6;8;7;10;18;9;12;11;22;15;16;17;21;13;19;14;20
16;0;4;3;2;1;5;7;8;6;10;18;9;12;11;22;15;16;17;21;13;19;14;20
17;0;4;3;2;1;5;7;8;6;10;18;9;12;11;22;15;16;17;21;13;19;14;20
18;0;4;3;2;1;5;7;8;6;10;18;9;12;11;22;15;16;17;21;13;19;14;20
19;0;4;3;2;1;5;7;8;6;10;18;9;12;11;22;14;16;17;21;15;20;13;19
20;0;4;3;2;1;5;7;8;6;10;17;9;11;12;22;13;15;16;21;18;20;14;19
21;0;4;3;2;1;5;6;11;7;9;17;8;10;16;22;13;14;15;21;18;20;12;19
22;0;4;3;2;1;5;6;11;10;8;17;7;9;15;22;18;13;14;21;16;20;12;19
23;0;4;3;2;1;5;6;11;10;8;19;7;9;14;22;17;12;13;21;16;20;15;18
24;0;4;3;2;1;5;6;11;10;8;19;7;9;14;22;17;12;13;21;16;20;15;18
25;0;4;3;2;1;5;6;11;10;8;19;7;9;14;21;17;12;13;22;16;20;15;18
26;0;4;3;2;1;5;6;11;10;8;19;7;9;14;21;17;12;13;ab;16;20;15;18
27;0;ab;3;2;1;ab;4;9;8;6;17;5;7;12;19;15;10;11;ab;14;18;13;16
28;0;ab;3;2;1;ab;4;9;7;6;17;5;8;11;19;15;10;12;ab;14;18;13;16
29;0;ab;4;2;1;ab;3;8;7;6;17;5;10;11;19;15;9;12;ab;14;18;13;16
30;0;ab;6;2;1;ab;3;7;5;8;16;4;10;11;19;15;9;13;ab;14;17;12;18
31;0;ab;5;2;1;ab;3;6;4;8;16;7;10;11;19;14;9;15;ab;13;17;12;18
32;0;ab;5;2;1;ab;3;6;4;8;15;7;10;11;18;14;9;17;ab;13;16;12;19
33;0;ab;5;2;1;ab;3;6;4;8;15;7;9;10;18;13;14;17;ab;12;16;11;19
34;0;ab;5;2;1;ab;3;6;4;8;15;7;9;10;18;13;14;17;ab;12;16;11;19
35;0;ab;5;2;1;ab;3;6;4;8;15;7;9;10;18;13;14;17;ab;12;16;11;19
36;0;ab;5;2;1;ab;3;6;4;8;15;7;9;10;19;13;14;17;ab;12;16;11;18
37;0;ab;5;2;1;ab;3;6;4;8;15;7;9;10;19;13;14;17;ab;12;16;11;18
38;0;ab;5;2;1;ab;3;6;4;8;15;7;9;10;19;13;14;17;ab;12;16;11;18
39;0;ab;5;2;1;ab;3;6;4;8;15;7;9;14;19;12;13;17;ab;11;16;10;18
40;0;ab;5;2;1;ab;3;6;4;8;15;7;9;14;19;12;13;17;ab;11;16;10;18
41;0;ab;5;2;1;ab;3;6;4;8;15;7;9;14;18;12;13;ab;ab;11;16;10;17
42;0;ab;5;2;1;ab;3;8;4;7;15;6;9;14;18;11;12;ab;ab;10;16;13;17
43;0;ab;5;2;1;ab;3;8;4;7;15;6;9;14;18;11;12;ab;ab;10;16;13;17
44;0;ab;4;2;1;ab;3;8;5;7;15;6;9;13;18;14;10;ab;ab;12;16;11;17
45;0;ab;4;2;1;ab;3;8;5;7;15;6;9;14;18;13;10;ab;ab;12;16;11;17
46;0;ab;4;2;1;ab;3;8;5;7;15;6;9;14;18;13;10;ab;ab;12;16;11;17
47;0;ab;4;2;1;ab;3;8;5;7;15;6;9;14;17;13;10;ab;ab;12;16;11;18
48;0;ab;4;2;1;ab;3;8;5;7;15;6;9;14;17;13;10;ab;ab;12;16;11;ab
49;0;ab;4;2;1;ab;3;8;5;7;15;6;9;14;17;13;10;ab;ab;12;16;11;ab
50;0;ab;4;2;1;ab;3;8;5;7;15;6;9;14;17;13;10;ab;ab;12;16;11;ab
51;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
52;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
53;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
54;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
55;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
56;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
57;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;10;ab;ab;12;15;11;ab
58;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;11;ab;ab;12;15;10;ab
59;0;ab;4;2;1;ab;3;8;5;7;ab;6;9;14;16;13;11;ab;ab;12;15;10;ab
