;sc;MSC;BAR;MON;FRE;PAN;VIL;HEI;BUT;RSC;ALO;COU;TRU;FIS;WEB;RAI;DMA;FIR;PIZ;VER;WIL
0;0;1;2;4;5;11;7;3;6;13;8;10;9;18;14;17;19;15;16;20;12
1;0;1;2;3;5;11;7;4;6;12;8;20;9;17;13;15;18;14;16;19;10
2;0;1;2;3;4;10;7;5;8;12;6;20;9;17;13;15;18;14;16;19;11
3;0;1;2;3;4;9;20;6;8;10;5;18;7;16;11;14;17;13;15;19;12
4;0;1;2;3;5;10;20;8;18;7;4;17;6;14;9;12;16;11;15;19;13
5;0;1;ab;2;16;7;17;10;18;5;3;15;4;11;6;9;13;8;12;19;14
6;0;8;ab;1;16;6;14;18;15;4;2;12;3;9;5;7;11;ab;10;17;13
7;0;7;ab;1;13;9;10;17;11;4;2;8;3;12;5;6;ab;ab;15;14;16
8;1;7;ab;1;12;10;9;16;11;4;2;8;3;13;5;6;ab;ab;15;14;17
9;1;6;ab;1;11;9;8;15;10;3;17;7;2;12;4;5;ab;ab;14;13;16
10;1;6;ab;1;11;9;8;15;10;3;17;7;2;12;4;5;ab;ab;14;13;16
11;0;5;ab;1;11;10;8;15;9;3;17;7;2;12;6;4;ab;ab;14;13;16
12;0;5;ab;1;11;10;8;16;9;3;17;7;2;12;6;4;ab;ab;14;13;15
13;0;5;ab;1;11;10;8;16;9;3;17;7;2;12;6;4;ab;ab;14;13;15
14;0;5;ab;1;11;10;8;16;9;3;17;7;2;12;6;4;ab;ab;15;13;14
15;0;5;ab;1;10;9;7;15;8;3;16;6;2;11;ab;4;ab;ab;14;12;13
16;1;2;ab;7;8;6;4;14;5;13;15;3;10;9;ab;1;ab;ab;12;11;ab
17;1;2;ab;7;8;6;4;13;5;15;14;3;10;9;ab;1;ab;ab;12;11;ab
18;1;2;ab;7;8;6;4;13;5;15;14;3;10;9;ab;1;ab;ab;12;11;ab
19;1;2;ab;7;8;6;4;13;5;15;14;3;10;9;ab;1;ab;ab;12;11;ab
20;0;2;ab;6;8;7;4;ab;5;14;13;3;10;9;ab;1;ab;ab;12;11;ab
