;sc;RSC;MON;MSC;RAI;COU;TRU;ALO;BAR;WEB;PAN;PIZ;VIL;DMA;BUT;HEI;FRE;FIS;FIR;VER;WIL
0;0;1;2;4;3;5;6;7;8;9;11;10;12;14;13;15;17;18;19;16;20
1;0;1;2;4;3;5;6;7;20;8;10;9;11;13;12;14;16;17;18;15;19
2;0;1;2;4;3;5;6;7;19;8;10;9;11;13;12;14;16;17;18;15;20
3;0;1;2;4;3;5;6;7;18;8;10;9;11;13;12;14;16;17;20;15;19
4;0;1;2;4;3;5;6;7;17;8;10;9;11;13;12;14;16;18;20;15;19
5;0;1;2;4;3;5;6;7;16;8;10;9;11;13;12;14;17;18;20;15;19
6;0;1;2;4;3;5;6;7;15;8;10;9;11;13;12;14;17;18;20;16;19
7;0;1;2;4;3;5;6;7;15;8;10;9;11;13;12;14;17;18;20;16;19
8;0;1;2;4;3;5;6;7;14;8;10;9;11;13;12;15;17;18;20;16;19
9;0;1;2;4;3;5;6;7;14;8;10;9;11;13;12;15;17;18;20;16;19
10;0;1;2;4;3;5;6;7;14;8;10;9;11;13;12;15;17;18;20;16;19
11;0;1;2;4;3;5;6;7;14;8;10;9;11;13;12;15;16;17;18;20;19
12;0;1;2;4;3;5;6;7;14;8;10;9;11;13;12;15;16;17;18;20;19
13;0;1;2;4;3;5;6;7;14;8;10;9;11;13;12;15;16;17;18;20;19
14;0;1;2;4;3;5;6;7;13;8;9;14;10;12;11;15;16;17;18;20;19
15;0;1;2;4;3;9;5;6;13;7;8;14;10;12;11;15;16;17;20;19;18
16;0;1;2;3;5;6;7;4;11;12;14;13;8;10;9;15;17;16;20;19;18
17;0;1;2;5;3;4;6;7;10;11;13;12;8;9;16;14;17;15;20;19;18
18;0;1;2;5;3;4;6;7;8;10;12;11;14;9;15;13;17;16;20;19;18
19;0;1;2;5;3;4;6;7;8;9;11;10;12;14;13;17;16;15;20;19;18
20;0;1;2;5;3;4;6;7;13;8;10;9;11;14;12;17;16;15;20;19;18
21;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;17;19;18;16
22;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
23;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
24;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
25;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
26;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
27;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
28;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;18;17;19
29;0;1;2;5;3;4;6;7;12;8;10;9;11;13;ab;15;14;16;17;19;18
30;0;1;2;5;3;4;6;7;11;8;9;13;10;12;ab;15;14;16;17;19;18
31;0;1;2;4;7;3;5;6;11;9;8;13;10;12;ab;15;14;16;17;19;18
32;0;1;2;3;6;7;4;5;11;9;8;13;10;12;ab;14;15;16;17;19;18
33;0;1;2;3;6;7;4;5;11;9;8;13;10;12;ab;14;15;16;17;19;18
34;0;1;2;3;5;6;7;4;10;8;11;13;9;12;ab;14;15;16;17;19;18
35;0;1;2;6;4;5;7;3;10;8;11;13;9;12;ab;14;15;16;17;19;18
36;0;1;2;5;3;4;6;7;9;8;11;13;10;12;ab;14;15;16;17;19;18
37;0;1;2;5;3;4;6;7;9;8;10;12;13;11;ab;15;14;16;17;19;18
38;0;1;2;5;3;4;6;7;9;8;10;12;13;11;ab;15;14;16;17;19;18
39;0;1;2;5;3;4;6;7;9;8;10;12;13;11;ab;15;14;16;17;19;18
40;0;1;2;5;3;4;6;7;9;8;10;12;13;11;ab;15;14;16;19;18;17
41;0;1;2;5;3;4;6;7;9;8;10;12;13;11;ab;15;14;16;19;18;17
42;0;1;2;5;3;4;8;6;9;7;10;12;13;11;ab;15;14;ab;17;16;18
43;0;1;2;5;3;4;7;ab;8;6;9;12;11;10;ab;14;13;ab;16;15;17
44;0;1;2;5;3;4;9;ab;7;6;8;12;11;10;ab;14;13;ab;16;15;17
45;0;1;2;5;3;4;ab;ab;8;6;7;10;9;11;ab;13;12;ab;15;14;16
46;0;1;2;5;3;4;ab;ab;8;6;7;10;9;11;ab;13;12;ab;16;14;15
47;0;1;2;4;5;3;ab;ab;8;6;7;10;9;11;ab;13;12;ab;16;14;15
48;0;1;2;3;4;5;ab;ab;8;6;7;10;9;11;ab;13;12;ab;16;15;14
49;0;1;2;3;4;5;ab;ab;8;6;7;10;9;11;ab;13;12;ab;16;15;14
50;0;1;2;3;4;5;ab;ab;8;6;7;10;9;11;ab;13;12;ab;16;15;14
51;0;1;2;3;4;5;ab;ab;8;6;7;10;9;11;ab;13;12;ab;16;15;14
52;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
53;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
54;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
55;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
56;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
57;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
58;0;1;2;3;4;5;ab;ab;7;6;8;10;9;11;ab;13;12;ab;16;15;14
