;sc;MON;RSC;BAR;TRU;RAI;MSC;PAN;ALO;DMA;COU;WEB;FIS;VIL;FRE;HEI;WIL2;BUT;FIR;VER;KIE
0;1;1;3;ab;2;ab;5;8;4;9;7;6;10;15;14;11;17;12;ab;13;16
1;1;1;ab;ab;2;ab;4;7;3;8;6;5;9;14;ab;10;15;12;ab;13;11
2;1;1;ab;ab;2;ab;4;7;3;8;6;5;9;13;ab;10;15;11;ab;12;14
3;0;1;ab;ab;2;ab;4;7;3;8;6;5;9;13;ab;10;15;11;ab;12;14
4;0;1;ab;ab;2;ab;4;7;3;8;6;5;9;13;ab;10;15;11;ab;12;14
5;0;1;ab;ab;2;ab;4;7;3;8;6;5;9;13;ab;10;15;11;ab;12;14
6;0;1;ab;ab;2;ab;4;7;3;8;5;6;9;13;ab;10;ab;11;ab;12;14
7;0;1;ab;ab;2;ab;4;7;3;8;5;6;11;13;ab;10;ab;9;ab;12;14
8;0;1;ab;ab;2;ab;4;7;3;8;5;6;13;11;ab;10;ab;9;ab;12;14
9;0;1;ab;ab;2;ab;4;7;3;8;5;6;14;11;ab;10;ab;9;ab;12;13
10;0;1;ab;ab;2;ab;4;7;3;8;5;6;14;11;ab;10;ab;9;ab;12;13
11;0;1;ab;ab;2;ab;4;7;3;8;5;6;14;11;ab;10;ab;9;ab;12;13
12;0;1;ab;ab;2;ab;4;7;3;8;5;6;14;11;ab;10;ab;9;ab;12;13
13;0;1;ab;ab;2;ab;4;7;3;8;5;6;14;11;ab;10;ab;9;ab;12;13
14;0;1;ab;ab;5;ab;3;10;2;7;4;6;14;11;ab;9;ab;8;ab;12;13
15;0;1;ab;ab;5;ab;3;11;2;7;4;6;14;10;ab;9;ab;8;ab;12;13
16;0;1;ab;ab;5;ab;3;10;2;8;4;6;14;9;ab;11;ab;7;ab;12;13
17;0;2;ab;ab;4;ab;5;8;1;10;3;6;14;9;ab;11;ab;7;ab;12;13
18;0;1;ab;ab;2;ab;4;8;3;9;5;6;14;10;ab;11;ab;7;ab;12;13
19;0;1;ab;ab;2;ab;4;8;3;9;5;7;14;10;ab;11;ab;6;ab;12;13
20;0;1;ab;ab;2;ab;4;7;3;8;5;11;14;9;ab;10;ab;6;ab;12;13
21;0;1;ab;ab;2;ab;4;6;3;7;5;11;14;8;ab;9;ab;10;ab;12;13
22;0;1;ab;ab;2;ab;4;6;3;7;5;11;14;8;ab;9;ab;10;ab;12;13
23;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
24;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
25;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
26;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
27;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
28;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
29;0;1;ab;ab;2;ab;4;6;3;7;5;11;13;8;ab;9;ab;10;ab;ab;12
30;0;1;ab;ab;2;ab;3;6;4;7;5;11;13;8;ab;9;ab;10;ab;ab;12
31;0;1;ab;ab;2;ab;3;7;4;6;5;11;13;8;ab;9;ab;10;ab;ab;12
32;0;1;ab;ab;2;ab;3;7;4;6;5;11;13;8;ab;9;ab;10;ab;ab;12
33;0;1;ab;ab;2;ab;3;6;4;7;5;10;13;8;ab;11;ab;9;ab;ab;12
34;0;1;ab;ab;2;ab;3;6;4;7;5;9;13;11;ab;10;ab;8;ab;ab;12
35;0;1;ab;ab;2;ab;3;6;4;7;5;9;13;11;ab;10;ab;8;ab;ab;12
36;0;1;ab;ab;2;ab;3;6;4;7;5;9;13;11;ab;10;ab;8;ab;ab;12
37;0;1;ab;ab;2;ab;3;6;4;7;5;9;13;11;ab;10;ab;8;ab;ab;12
38;0;1;ab;ab;4;ab;5;6;2;7;3;9;13;11;ab;10;ab;8;ab;ab;12
