;sc;MSC;MON;BAR;RAI;GEN;TRU;BUT;COU;PAN;VIL;WEB;DMA;FIS;FRE;WIL2;HEI;VER;BAU;KIE;ALO
0;0;1;2;3;4;7;ab;9;5;6;8;10;12;16;15;19;11;18;13;14;17
1;0;1;2;3;4;6;ab;9;5;7;8;10;12;16;15;19;11;18;13;14;17
2;0;1;2;3;4;6;ab;9;5;7;8;10;12;16;13;ab;11;18;14;15;17
3;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
4;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
5;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
6;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
7;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
8;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
9;0;1;2;3;4;6;ab;9;5;7;8;10;ab;15;12;ab;11;17;13;14;16
10;0;1;2;3;4;6;ab;8;5;9;7;10;ab;15;12;ab;11;17;13;14;16
11;0;1;2;3;4;5;ab;7;11;12;6;8;ab;15;10;ab;9;17;13;14;16
12;0;1;2;3;4;5;ab;7;11;12;6;8;ab;14;9;ab;10;17;13;15;16
13;0;1;2;3;7;9;ab;5;8;10;4;11;ab;14;6;ab;13;17;12;16;15
14;0;1;2;5;6;9;ab;4;7;10;3;11;ab;14;8;ab;13;17;12;16;15
15;0;2;1;4;5;7;ab;9;6;8;3;11;ab;14;10;ab;12;17;13;16;15
16;0;1;2;3;4;6;ab;9;5;8;7;11;ab;14;10;ab;12;17;13;16;15
17;0;1;2;3;4;6;ab;9;5;8;7;11;ab;14;10;ab;12;17;13;16;15
18;0;1;2;3;4;6;ab;9;5;8;7;11;ab;13;10;ab;12;17;14;16;15
19;0;1;2;3;4;6;ab;9;5;8;7;11;ab;13;10;ab;12;17;15;16;14
20;0;1;2;3;4;6;ab;9;5;8;7;11;ab;13;10;ab;12;17;15;16;14
21;0;1;2;3;4;6;ab;9;5;8;7;11;ab;13;10;ab;12;17;15;16;14
22;0;1;2;3;4;6;ab;9;5;8;7;11;ab;13;10;ab;12;17;15;16;14
23;0;1;2;3;4;6;ab;12;5;8;7;10;ab;13;9;ab;11;17;15;16;14
24;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;12;9;ab;11;16;14;15;13
25;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;12;9;ab;11;16;14;15;13
26;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;13;9;ab;11;16;14;15;12
27;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;14;9;ab;11;ab;13;15;12
28;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;14;9;ab;11;ab;13;15;12
29;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;14;9;ab;11;ab;13;15;12
30;0;1;2;3;4;6;ab;ab;5;8;7;10;ab;14;9;ab;11;ab;13;15;12
31;0;1;2;6;3;5;ab;ab;4;11;7;9;ab;14;8;ab;10;ab;13;15;12
32;0;1;4;5;2;3;ab;ab;6;11;7;9;ab;14;8;ab;10;ab;13;15;12
33;0;1;4;5;2;3;ab;ab;6;10;9;11;ab;14;7;ab;8;ab;13;15;12
34;0;1;2;4;5;3;ab;ab;6;14;8;10;ab;12;9;ab;7;ab;13;15;11
35;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
36;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
37;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
38;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
39;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
40;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
41;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
42;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
43;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
44;0;1;2;3;4;6;ab;ab;5;ab;7;9;ab;12;8;ab;10;ab;13;14;11
45;0;1;2;3;4;5;ab;ab;ab;ab;6;8;ab;11;7;ab;9;ab;12;13;10
46;0;1;2;3;4;5;ab;ab;ab;ab;6;8;ab;11;7;ab;9;ab;12;13;10
47;0;1;2;3;4;5;ab;ab;ab;ab;6;8;ab;11;7;ab;9;ab;12;13;10
48;0;1;2;3;4;5;ab;ab;ab;ab;6;8;ab;11;7;ab;9;ab;12;13;10
49;0;1;2;3;4;5;ab;ab;ab;ab;6;8;ab;11;7;ab;9;ab;12;13;10
50;0;1;2;3;4;5;ab;ab;ab;ab;6;7;ab;10;13;ab;8;ab;11;12;9
51;0;1;2;3;4;5;ab;ab;ab;ab;6;7;ab;10;13;ab;9;ab;ab;ab;8
52;0;1;2;3;4;5;ab;ab;ab;ab;6;7;ab;10;13;ab;9;ab;ab;ab;8
