;sc;RAI;BAR;PAN;MON;RSC;ALO;MSC;COU;DMA;TRU;BUT;VIL;HEI;WEB;FRE;WIL2;FIS;FIR;VER;KIE
0;0;1;5;2;7;3;8;4;6;10;9;11;16;12;14;13;15;17;20;19;18
1;0;1;6;2;7;3;8;4;5;10;9;11;16;12;14;13;15;17;19;20;18
2;0;1;ab;3;8;2;6;4;5;9;7;10;15;11;13;12;14;16;18;19;17
3;0;1;ab;3;7;2;6;4;5;9;8;10;15;11;13;12;14;16;18;19;17
4;0;1;ab;4;7;2;5;3;6;9;8;10;15;11;13;12;14;16;18;19;17
5;0;1;ab;15;5;2;6;3;4;8;7;9;16;10;11;13;12;14;18;19;17
6;0;1;ab;15;4;2;5;6;3;14;7;10;16;8;9;12;11;13;18;19;17
7;0;1;ab;15;4;2;5;6;3;14;7;10;16;8;9;12;11;13;18;19;17
8;0;1;ab;15;4;2;5;6;3;14;7;10;17;8;9;12;11;13;19;18;16
9;0;1;ab;15;4;2;5;6;3;14;7;10;16;8;9;12;11;13;19;18;17
10;0;1;ab;16;4;2;5;6;3;14;7;10;15;8;9;12;11;13;19;17;18
11;0;1;ab;15;4;2;5;6;3;14;7;10;16;8;9;12;11;13;19;17;18
12;0;1;ab;15;4;2;5;6;3;14;7;10;16;8;9;12;11;13;19;17;18
13;0;1;ab;15;4;2;5;6;3;14;7;10;16;8;9;12;11;13;19;17;18
14;0;1;ab;15;2;10;3;5;4;14;6;9;16;7;8;12;11;13;19;17;18
15;0;1;ab;15;2;12;3;5;4;14;6;9;16;7;8;11;10;13;19;17;18
16;0;1;ab;18;11;9;2;3;10;14;4;6;15;13;5;8;7;12;19;16;17
17;0;1;ab;18;11;8;6;2;10;14;3;5;15;13;4;9;7;12;19;16;17
18;0;5;ab;17;10;7;8;1;9;14;2;4;15;12;3;13;6;11;19;18;16
19;0;6;ab;15;10;4;7;5;9;14;8;2;17;12;1;13;3;11;19;16;18
20;0;3;ab;15;6;2;4;11;5;14;7;9;17;12;1;10;8;13;19;16;18
21;0;2;ab;13;7;ab;5;8;1;12;10;4;15;9;ab;3;6;11;17;14;16
22;0;4;ab;13;11;ab;6;7;5;12;9;1;15;8;ab;2;3;10;17;14;16
23;0;4;ab;13;11;ab;5;6;7;12;9;1;15;8;ab;2;3;10;17;14;16
24;0;3;ab;13;11;ab;5;6;8;12;9;1;15;7;ab;2;4;10;17;14;16
25;0;3;ab;13;11;ab;6;4;10;12;8;1;15;7;ab;2;5;9;17;14;16
26;0;3;ab;13;11;ab;5;4;10;12;8;1;15;7;ab;2;6;9;17;14;16
27;0;4;ab;ab;10;ab;5;3;11;12;8;1;14;7;ab;2;6;9;16;13;15
28;0;4;ab;ab;10;ab;5;3;12;11;8;1;13;7;ab;2;6;9;16;14;15
29;0;4;ab;ab;10;ab;5;3;12;11;8;1;13;6;ab;2;7;9;16;14;15
30;0;4;ab;ab;10;ab;5;3;13;11;8;1;12;6;ab;2;7;9;16;14;15
31;0;4;ab;ab;10;ab;5;3;14;11;7;1;12;6;ab;2;9;8;16;13;15
32;0;4;ab;ab;9;ab;5;2;14;11;7;1;12;6;ab;3;10;8;16;13;15
33;0;4;ab;ab;9;ab;5;2;14;11;7;1;12;6;ab;3;10;8;16;13;15
34;0;4;ab;ab;9;ab;6;2;15;11;7;1;12;5;ab;3;10;8;16;13;14
35;0;4;ab;ab;9;ab;8;2;15;11;6;1;12;5;ab;3;10;7;16;13;14
36;0;4;ab;ab;9;ab;8;2;15;10;6;1;12;5;ab;3;11;7;16;13;14
37;0;4;ab;ab;9;ab;8;1;15;10;6;2;11;5;ab;3;12;7;16;13;14
38;0;4;ab;ab;9;ab;8;1;15;10;6;2;11;5;ab;3;12;7;16;13;14
39;0;4;ab;ab;9;ab;8;1;15;12;6;2;10;5;ab;3;11;7;16;13;14
40;0;5;ab;ab;9;ab;8;1;15;13;6;2;10;4;ab;3;11;7;16;12;14
41;0;4;ab;ab;8;ab;7;1;14;12;6;ab;9;3;ab;2;10;5;15;11;13
42;0;4;ab;ab;8;ab;7;1;13;11;6;ab;9;3;ab;2;10;5;15;14;12
43;0;4;ab;ab;8;ab;7;1;13;11;5;ab;9;3;ab;2;10;6;15;14;12
44;0;4;ab;ab;7;ab;ab;1;12;10;5;ab;8;3;ab;2;9;6;14;13;11
45;0;4;ab;ab;7;ab;ab;1;ab;10;5;ab;9;3;ab;2;8;6;13;12;11
46;0;4;ab;ab;7;ab;ab;1;ab;10;5;ab;9;3;ab;2;8;6;13;11;12
47;0;4;ab;ab;7;ab;ab;2;ab;10;5;ab;9;3;ab;1;8;6;13;11;12
48;0;4;ab;ab;7;ab;ab;1;ab;10;5;ab;9;2;ab;3;8;6;ab;11;12
49;0;4;ab;ab;7;ab;ab;1;ab;10;5;ab;9;2;ab;3;8;6;ab;11;12
50;0;3;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;2;8;6;ab;11;12
51;0;3;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;2;8;6;ab;11;12
52;0;3;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;2;8;6;ab;11;12
53;0;3;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;2;8;6;ab;11;12
54;0;2;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;3;8;6;ab;11;12
55;0;2;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;3;8;6;ab;11;12
56;0;2;ab;ab;7;ab;ab;1;ab;10;5;ab;9;4;ab;3;8;6;ab;11;12
