;sc;BAR;MON;DMA;PAN;ALO;WEB;COU;RAI;BUT;WIL2;HEI;FRE;SAT;MSC;FIR;FIS;VER;KIE;TRU;RSC
0;0;2;1;4;7;3;9;5;6;8;10;15;16;11;12;18;17;20;19;13;14
1;0;2;1;4;7;3;9;5;6;8;11;14;15;10;12;17;16;20;18;13;19
2;0;2;1;4;7;3;9;6;5;8;11;14;15;10;12;17;16;20;18;13;19
3;0;2;1;4;7;3;9;6;5;8;12;14;15;10;11;17;16;20;19;13;18
4;0;2;1;4;7;3;10;6;5;8;13;14;15;9;11;17;16;20;19;12;18
5;0;2;1;4;7;3;11;6;5;8;12;13;14;9;16;18;15;20;19;10;17
6;0;2;1;4;7;3;11;6;5;8;12;13;14;9;20;17;16;19;18;10;15
7;0;2;1;4;7;3;11;6;5;8;12;13;14;9;19;17;16;20;18;10;15
8;0;1;19;3;6;2;10;5;4;7;12;11;17;8;18;15;14;20;16;9;13
9;0;1;ab;6;5;2;11;4;3;7;15;10;ab;8;17;14;13;18;16;9;12
10;0;1;ab;13;7;2;14;4;3;5;15;9;ab;6;16;12;11;18;17;8;10
11;0;1;ab;10;12;2;13;4;3;5;15;7;ab;6;16;11;9;17;18;14;8
12;0;4;ab;10;11;5;12;8;1;2;15;6;ab;3;16;14;9;17;18;13;7
13;0;3;ab;9;10;4;11;7;8;1;14;5;ab;2;15;16;13;17;18;12;6
14;0;2;ab;8;9;3;10;6;7;1;12;5;ab;4;14;16;15;17;18;11;13
15;0;2;ab;6;7;3;8;4;5;1;12;13;ab;10;14;16;15;17;18;9;11
16;0;1;ab;5;7;2;8;3;4;6;12;14;ab;10;13;16;15;17;18;9;11
17;0;1;ab;4;6;ab;7;2;3;5;11;13;ab;9;12;15;14;16;17;8;10
18;0;1;ab;4;6;ab;7;2;3;5;11;13;ab;9;12;15;14;16;17;8;10
19;0;1;ab;4;6;ab;7;2;3;5;11;13;ab;9;12;15;14;16;17;8;10
20;0;1;ab;4;6;ab;7;2;3;5;12;13;ab;9;11;15;14;16;17;8;10
21;0;1;ab;4;6;ab;10;2;3;5;13;12;ab;8;11;15;14;16;17;7;9
22;0;1;ab;4;6;ab;12;2;3;5;13;11;ab;8;10;15;14;16;17;7;9
23;0;1;ab;4;6;ab;12;2;3;5;13;11;ab;8;10;15;14;16;17;7;9
24;0;1;ab;9;6;ab;10;2;3;4;13;8;ab;7;12;15;14;16;17;5;11
25;0;1;ab;8;10;ab;9;2;3;4;13;7;ab;6;12;15;14;16;17;5;11
26;0;1;ab;8;10;ab;9;5;2;3;13;7;ab;6;12;15;14;16;17;4;11
27;0;1;ab;8;10;ab;9;5;2;3;13;7;ab;6;12;15;14;16;17;4;11
28;0;1;ab;8;11;ab;9;5;2;3;13;7;ab;6;12;15;14;16;17;4;10
29;0;1;ab;8;12;ab;9;5;2;3;13;7;ab;6;11;15;14;16;17;4;10
30;0;1;ab;8;12;ab;9;5;2;3;13;7;ab;6;11;15;14;16;17;4;10
31;0;1;ab;8;12;ab;9;4;2;3;13;7;ab;6;11;15;14;16;17;5;10
32;0;1;ab;6;11;ab;9;3;2;4;13;5;ab;12;8;15;14;16;17;10;7
33;0;1;ab;4;10;ab;8;2;3;7;13;12;ab;11;6;14;ab;15;16;9;5
34;0;1;ab;4;10;ab;9;2;3;7;13;12;ab;11;6;14;ab;15;16;8;5
35;0;1;ab;4;9;ab;12;2;3;7;13;11;ab;10;6;14;ab;15;16;8;5
36;0;1;ab;4;9;ab;12;2;3;7;13;11;ab;10;6;14;ab;15;16;8;5
37;0;1;ab;4;8;ab;12;2;3;6;13;11;ab;9;10;14;ab;15;16;7;5
38;0;1;ab;8;6;ab;12;2;3;4;13;11;ab;7;9;14;ab;15;16;5;10
39;0;1;ab;7;11;ab;12;2;3;4;13;10;ab;6;8;14;ab;15;16;5;9
40;0;2;ab;7;10;ab;11;1;3;4;13;9;ab;6;8;14;ab;15;16;5;12
41;0;1;ab;7;10;ab;11;3;2;4;12;9;ab;6;8;14;ab;15;16;5;13
42;0;1;ab;7;10;ab;11;3;2;4;12;9;ab;6;8;14;ab;15;16;5;13
43;0;1;ab;7;10;ab;11;3;2;4;12;9;ab;6;8;14;ab;15;16;5;13
44;0;1;ab;7;10;ab;11;3;2;4;12;9;ab;6;8;14;ab;15;16;5;13
45;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;16;5;12
46;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;16;5;12
47;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;16;5;12
48;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;16;5;12
49;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;16;5;12
50;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;ab;5;12
51;0;1;ab;7;10;ab;11;3;2;4;13;9;ab;6;8;14;ab;15;ab;5;12
52;0;1;ab;7;10;ab;11;3;2;4;ab;9;ab;6;8;14;ab;15;ab;5;12
