;sc;ALO;TRU;MSC;COU;BAR;HEI;RAI;MON;BUT;PAN;DMA;VIL;FRE;FIS;PIZ;WEB;RSC;VER;WIL;FIR
0;0;1;13;12;2;6;3;4;16;5;7;14;np;15;ab;17;10;9;18;8;11
1;0;1;13;11;2;6;3;4;18;5;7;14;np;15;ab;16;10;9;17;8;12
2;0;1;10;12;ab;5;3;2;17;4;6;13;np;14;ab;15;9;8;16;7;11
3;0;1;10;14;ab;5;3;2;17;4;6;12;np;13;ab;15;8;7;16;9;11
4;0;1;9;14;ab;4;3;2;17;6;5;12;np;13;ab;15;8;7;16;10;11
5;0;1;9;14;ab;4;3;2;17;6;5;12;np;13;ab;15;8;7;16;10;11
6;0;1;9;14;ab;4;3;2;17;6;5;12;np;13;ab;15;8;7;16;10;11
7;0;1;9;14;ab;4;3;2;17;6;5;12;np;13;ab;15;8;7;16;10;11
8;0;1;8;14;ab;4;3;2;17;6;5;12;np;13;ab;15;9;7;16;10;11
9;0;1;8;14;ab;3;4;2;17;6;5;12;np;13;ab;15;9;7;16;10;11
10;0;1;8;14;ab;3;4;2;17;6;5;12;np;13;ab;15;9;7;16;10;11
11;0;1;8;14;ab;3;4;2;17;5;6;12;np;13;ab;15;9;7;16;10;11
12;0;1;7;13;ab;3;5;2;16;4;ab;11;np;12;ab;14;8;6;15;9;10
13;0;2;6;12;ab;3;11;1;16;4;ab;9;np;10;ab;14;7;5;15;13;8
14;0;4;6;12;ab;2;11;1;16;3;ab;9;np;10;ab;14;7;5;15;13;8
15;0;4;6;11;ab;2;10;1;16;3;ab;8;np;9;ab;14;13;5;15;12;7
16;0;3;7;11;ab;2;10;1;15;5;ab;8;np;9;ab;14;12;4;16;13;6
17;0;3;7;9;ab;2;8;1;15;5;ab;10;np;12;ab;14;11;4;16;13;6
18;0;3;7;9;ab;2;8;1;15;5;ab;10;np;12;ab;14;11;4;16;13;6
19;0;3;7;9;ab;1;8;2;15;5;ab;10;np;12;ab;14;11;4;16;13;6
20;0;3;7;9;ab;1;8;2;15;5;ab;10;np;12;ab;14;11;4;16;13;6
21;0;3;6;9;ab;1;8;2;15;5;ab;10;np;12;ab;14;11;4;16;13;7
22;0;2;6;8;ab;3;7;1;15;5;ab;9;np;11;ab;14;10;4;16;13;12
23;0;2;6;8;ab;3;7;1;15;5;ab;9;np;11;ab;14;10;4;16;13;12
24;0;2;6;8;ab;3;7;1;15;5;ab;9;np;11;ab;14;10;4;16;13;12
25;0;2;6;8;ab;3;7;1;15;5;ab;9;np;11;ab;14;10;4;16;13;12
26;0;2;6;10;ab;3;7;1;15;5;ab;8;np;11;ab;14;9;4;16;13;12
27;0;2;6;10;ab;3;7;1;15;5;ab;8;np;11;ab;14;9;4;16;13;12
28;0;2;6;10;ab;3;7;1;15;5;ab;8;np;11;ab;14;9;4;16;13;12
29;0;2;6;10;ab;3;7;1;15;5;ab;8;np;11;ab;14;9;4;16;13;12
30;0;2;6;10;ab;3;7;1;15;5;ab;8;np;11;ab;14;9;4;16;13;12
31;0;2;6;10;ab;3;7;1;15;5;ab;8;np;11;ab;14;9;4;16;13;12
32;0;2;6;9;ab;3;7;1;15;5;ab;10;np;11;ab;14;8;4;16;13;12
33;0;2;5;9;ab;3;7;1;15;6;ab;11;np;10;ab;14;8;4;16;13;12
34;0;3;5;7;ab;2;9;1;15;6;ab;11;np;10;ab;14;8;4;16;13;12
35;0;3;5;7;ab;2;8;1;14;6;ab;9;np;11;ab;12;ab;4;15;13;10
36;0;3;6;7;ab;2;8;1;14;5;ab;9;np;11;ab;12;ab;4;15;13;10
37;0;3;6;7;ab;2;8;1;14;5;ab;9;np;11;ab;12;ab;4;15;13;10
38;0;3;6;7;ab;2;8;1;14;5;ab;9;np;11;ab;12;ab;4;15;13;10
39;0;3;6;7;ab;2;8;1;14;5;ab;9;np;11;ab;12;ab;4;15;13;10
40;0;3;7;5;ab;2;8;1;14;6;ab;9;np;11;ab;12;ab;4;15;13;10
41;0;3;7;5;ab;2;8;1;13;6;ab;9;np;11;ab;12;ab;4;14;ab;10
42;0;3;7;5;ab;2;8;1;12;6;ab;9;np;11;ab;ab;ab;4;13;ab;10
43;0;3;6;7;ab;2;8;1;12;5;ab;9;np;11;ab;ab;ab;4;13;ab;10
44;0;3;6;7;ab;2;8;1;12;5;ab;9;np;11;ab;ab;ab;4;13;ab;10
45;0;3;6;7;ab;2;8;1;12;5;ab;9;np;11;ab;ab;ab;4;13;ab;10
46;0;3;6;7;ab;2;8;1;12;5;ab;9;np;11;ab;ab;ab;4;13;ab;10
47;0;3;6;7;ab;2;8;1;12;5;ab;9;np;11;ab;ab;ab;4;13;ab;10
48;0;3;6;7;ab;2;8;1;12;5;ab;11;np;10;ab;ab;ab;4;13;ab;9
49;0;3;6;7;ab;2;8;1;12;5;ab;11;np;10;ab;ab;ab;4;13;ab;9
50;0;3;6;7;ab;2;8;1;12;5;ab;11;np;10;ab;ab;ab;4;13;ab;9
51;0;3;6;7;ab;2;8;1;12;5;ab;11;np;10;ab;ab;ab;4;13;ab;9
52;0;3;6;7;ab;2;8;1;12;5;ab;11;np;10;ab;ab;ab;4;13;ab;9
53;0;3;6;7;ab;2;8;1;12;5;ab;11;np;10;ab;ab;ab;4;13;ab;9
54;0;3;5;6;ab;2;8;1;12;7;ab;11;np;9;ab;ab;ab;4;13;ab;10
55;0;3;5;6;ab;2;8;1;12;7;ab;11;np;9;ab;ab;ab;4;13;ab;10
