;sc;BAR;COU;WEB;RAI;TRU;RSC;MSC;FIS;MON;ALO;BUT;HEI;VIL;PAN;FRE;FIR;PIZ;DMA;VER;WIL
0;1;1;2;3;4;5;6;7;8;9;10;11;12;13;17;18;20;19;14;16;15
1;1;1;2;3;4;5;6;7;8;9;10;11;12;13;19;17;20;18;14;16;15
2;1;1;2;3;4;5;6;7;8;9;10;11;12;13;19;17;20;18;14;16;15
3;1;1;2;3;4;5;6;7;8;9;10;11;12;13;19;17;20;18;14;16;15
4;1;1;2;3;4;5;6;7;8;9;10;11;12;13;19;17;20;18;14;16;15
5;1;1;2;3;4;5;6;7;8;9;10;11;12;13;19;17;20;18;14;16;15
6;1;1;2;3;4;5;6;7;10;8;9;11;12;13;19;17;20;18;14;16;15
7;1;1;2;3;4;5;6;7;19;8;9;10;11;12;18;16;20;17;13;15;14
8;0;2;1;4;3;6;7;8;18;5;9;10;ab;11;17;14;19;16;13;15;12
9;0;4;1;5;2;7;6;8;18;3;9;10;ab;11;17;14;19;15;13;16;12
10;0;6;3;4;1;9;11;5;18;2;7;8;ab;10;17;15;19;14;13;16;12
11;0;6;3;4;1;9;10;5;18;2;7;8;ab;11;17;15;19;14;13;16;12
12;0;6;3;4;1;9;10;5;18;2;7;8;ab;11;17;15;19;14;13;16;12
13;0;6;2;4;1;9;10;5;18;3;7;8;ab;11;17;15;19;14;13;16;12
14;0;6;2;5;1;9;10;4;18;3;7;8;ab;11;17;15;19;14;13;16;12
15;0;6;2;5;1;9;10;3;17;4;7;8;ab;11;16;14;18;13;12;15;ab
16;0;6;2;5;1;9;10;3;17;4;7;8;ab;11;16;14;18;13;12;15;ab
17;0;5;2;6;1;9;10;3;16;4;7;8;ab;11;ab;14;ab;13;12;15;ab
18;1;5;2;7;1;9;10;3;16;4;6;8;ab;11;ab;14;ab;13;12;15;ab
19;1;5;2;9;1;16;12;3;14;6;13;10;ab;15;ab;8;ab;7;4;11;ab
20;1;5;2;9;1;15;12;3;13;6;16;10;ab;14;ab;8;ab;7;4;11;ab
21;1;5;2;9;1;15;11;3;13;6;16;10;ab;14;ab;8;ab;7;4;12;ab
22;0;4;2;8;1;15;10;3;12;6;14;9;ab;13;ab;16;ab;7;5;11;ab
23;0;4;2;8;1;15;9;3;12;5;14;10;ab;13;ab;16;ab;7;6;11;ab
24;0;4;2;6;1;13;7;3;10;ab;11;8;ab;12;ab;14;ab;ab;5;9;ab
25;0;4;2;6;1;13;7;3;11;ab;10;8;ab;12;ab;14;ab;ab;5;9;ab
26;1;3;1;5;2;12;4;ab;10;ab;8;6;ab;11;ab;13;ab;ab;7;9;ab
27;1;2;1;4;9;11;3;ab;8;ab;6;5;ab;10;ab;12;ab;ab;13;7;ab
28;1;2;1;4;9;11;3;ab;8;ab;6;5;ab;10;ab;12;ab;ab;13;7;ab
29;0;2;1;4;7;11;3;ab;9;ab;6;5;ab;10;ab;13;ab;ab;12;8;ab
30;0;2;1;4;7;10;3;ab;8;ab;6;5;ab;9;ab;11;ab;ab;12;ab;ab
31;0;2;1;4;7;10;3;ab;8;ab;6;5;ab;9;ab;11;ab;ab;12;ab;ab
32;1;2;1;6;5;8;3;ab;7;ab;4;ab;ab;10;ab;9;ab;ab;11;ab;ab
33;1;2;1;11;5;7;3;ab;6;ab;4;ab;ab;9;ab;8;ab;ab;10;ab;ab
34;1;2;1;10;5;7;3;ab;6;ab;4;ab;ab;9;ab;8;ab;ab;11;ab;ab
35;1;2;1;10;5;7;3;ab;6;ab;4;ab;ab;9;ab;8;ab;ab;11;ab;ab
36;0;2;1;9;5;7;3;ab;6;ab;4;ab;ab;11;ab;8;ab;ab;10;ab;ab
37;0;2;1;8;3;7;4;ab;6;ab;5;ab;ab;10;ab;9;ab;ab;11;ab;ab
38;0;2;1;8;3;7;4;ab;6;ab;5;ab;ab;10;ab;9;ab;ab;11;ab;ab
39;0;2;1;8;3;7;5;ab;6;ab;4;ab;ab;10;ab;9;ab;ab;11;ab;ab
40;0;2;1;8;3;7;5;ab;6;ab;4;ab;ab;10;ab;9;ab;ab;11;ab;ab
41;0;2;1;8;3;7;4;ab;5;ab;6;ab;ab;10;ab;9;ab;ab;11;ab;ab
42;0;2;1;7;3;6;4;ab;5;ab;9;ab;ab;10;ab;8;ab;ab;11;ab;ab
43;0;2;1;10;3;6;4;ab;5;ab;8;ab;ab;9;ab;7;ab;ab;11;ab;ab
44;0;1;2;10;3;6;4;ab;5;ab;8;ab;ab;9;ab;7;ab;ab;11;ab;ab
45;0;1;2;10;3;6;4;ab;5;ab;8;ab;ab;9;ab;7;ab;ab;11;ab;ab
46;0;ab;1;9;2;5;3;ab;4;ab;7;ab;ab;8;ab;6;ab;ab;10;ab;ab
47;0;ab;1;9;2;5;4;ab;3;ab;6;ab;ab;8;ab;7;ab;ab;10;ab;ab
48;0;ab;1;8;2;5;9;ab;3;ab;4;ab;ab;7;ab;6;ab;ab;10;ab;ab
49;0;ab;1;8;2;6;9;ab;3;ab;4;ab;ab;7;ab;5;ab;ab;10;ab;ab
50;0;ab;1;8;2;6;9;ab;3;ab;4;ab;ab;7;ab;5;ab;ab;10;ab;ab
51;0;ab;1;8;2;6;9;ab;3;ab;4;ab;ab;7;ab;5;ab;ab;10;ab;ab
52;0;ab;4;9;1;8;7;ab;2;ab;3;ab;ab;6;ab;5;ab;ab;10;ab;ab
53;0;ab;4;9;2;8;7;ab;1;ab;3;ab;ab;6;ab;5;ab;ab;10;ab;ab
