;sc;MSC;RAI;MON;HEI;BAR;TRU;BUT;PIZ;FIS;RSC;PAN;VIL;DMA;COU;FRE;FIR;WEB;WIL;ALO;VER
0;0;1;3;2;5;4;7;8;6;10;9;13;11;16;12;np;14;18;15;17;ab
1;1;1;3;2;5;4;7;8;6;10;9;13;11;16;12;np;14;18;15;17;ab
2;1;1;3;2;5;4;7;8;6;10;9;18;11;15;13;np;14;17;12;16;ab
3;1;1;3;2;5;4;7;8;6;10;9;17;11;14;12;np;13;16;18;15;ab
4;0;1;3;2;5;4;7;8;6;10;9;17;11;14;13;np;12;16;18;15;ab
5;0;1;3;2;5;4;7;8;6;10;9;17;11;14;13;np;12;16;18;15;ab
6;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;16;17;15;ab
7;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;16;17;15;ab
8;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;16;17;15;ab
9;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;16;17;15;ab
10;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;16;17;15;ab
11;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;15;17;16;ab
12;0;1;3;2;5;4;7;8;6;10;9;ab;11;14;13;np;12;15;17;16;ab
13;0;1;3;2;16;4;5;6;8;9;7;ab;10;13;11;np;12;14;17;15;ab
14;0;1;3;2;14;4;5;6;16;9;7;ab;8;11;10;np;17;13;15;12;ab
15;0;1;3;2;12;4;7;5;15;14;11;ab;6;9;8;np;16;17;13;10;ab
16;0;1;3;2;12;4;9;5;16;14;11;ab;6;8;7;np;15;17;13;10;ab
17;0;1;3;2;11;4;15;5;17;13;10;ab;6;8;7;np;14;16;12;9;ab
18;0;1;3;2;10;4;15;5;16;12;9;ab;6;17;7;np;13;14;11;8;ab
19;0;1;3;2;10;4;15;5;16;12;9;ab;6;17;7;np;13;14;11;8;ab
20;0;1;2;6;9;3;15;4;16;11;8;ab;5;17;12;np;13;14;10;7;ab
21;0;1;2;4;9;6;15;3;16;11;8;ab;5;17;12;np;13;14;10;7;ab
22;0;1;2;4;8;5;15;3;16;10;7;ab;11;17;12;np;14;13;9;6;ab
23;0;3;2;1;8;5;15;4;16;10;7;ab;11;17;12;np;14;13;9;6;ab
24;0;3;2;1;8;5;14;4;15;9;7;ab;10;16;11;np;13;12;17;6;ab
25;0;3;2;1;8;5;14;4;15;9;7;ab;10;16;11;np;13;12;17;6;ab
26;0;3;2;1;8;5;14;4;15;9;7;ab;10;16;11;np;13;12;17;6;ab
27;0;3;2;1;8;5;14;4;15;9;7;ab;10;16;11;np;13;12;17;6;ab
28;0;3;2;1;8;5;14;4;15;9;7;ab;10;16;11;np;13;12;17;6;ab
29;0;3;2;1;8;5;14;4;15;9;7;ab;10;16;11;np;13;12;17;6;ab
30;0;3;2;1;8;5;13;4;14;11;7;ab;9;15;10;np;12;16;17;6;ab
31;0;1;2;7;8;4;13;3;14;11;6;ab;9;15;10;np;12;16;17;5;ab
32;0;1;2;ab;8;4;12;3;13;10;6;ab;7;14;9;np;11;15;16;5;ab
33;0;1;2;ab;9;4;12;3;13;10;6;ab;7;14;8;np;11;15;16;5;ab
34;0;1;2;ab;9;3;12;4;13;10;6;ab;7;14;8;np;11;15;16;5;ab
35;0;1;2;ab;9;3;12;4;13;10;6;ab;7;14;8;np;11;15;16;5;ab
