;sc;RSC;RAI;MON;TRU;MSC;COU;BAR;ALO;WEB;DMA;VIL;FIS;PIZ;HEI;FRE;FIR;PAN;VER;WIL;BUT
0;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
1;1;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
2;1;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
3;1;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
4;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
5;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
6;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
7;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
8;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
9;0;1;3;2;4;5;7;8;6;9;10;13;11;14;12;ab;15;18;16;17;np
10;0;1;3;2;4;5;7;8;6;9;10;13;11;ab;12;ab;14;17;15;16;np
11;0;1;3;2;4;5;7;8;6;9;10;13;11;ab;12;ab;14;17;15;16;np
12;0;1;3;2;4;5;7;8;6;9;10;13;11;ab;12;ab;14;17;15;16;np
13;0;1;3;2;4;5;7;8;6;14;9;12;10;ab;11;ab;13;17;15;16;np
14;0;1;3;2;4;5;7;8;6;15;9;12;10;ab;11;ab;13;17;14;16;np
15;0;1;3;2;4;5;7;8;6;15;9;12;10;ab;11;ab;13;17;14;16;np
16;0;1;3;2;4;5;7;8;6;ab;9;12;10;ab;11;ab;13;16;14;15;np
17;0;1;3;2;4;5;7;8;6;ab;9;12;10;ab;11;ab;13;16;14;15;np
18;0;1;3;2;4;5;7;8;6;ab;9;12;10;ab;11;ab;13;16;14;15;np
19;0;1;3;2;4;5;7;8;6;ab;9;12;10;ab;11;ab;13;16;14;15;np
20;0;8;2;1;3;4;6;7;5;ab;9;12;10;ab;11;ab;13;16;14;15;np
21;0;8;2;1;3;4;6;7;5;ab;12;10;9;ab;13;ab;11;16;14;15;np
22;0;8;1;7;2;3;5;6;4;ab;12;10;9;ab;14;ab;11;16;13;15;np
23;0;8;1;7;2;3;5;6;4;ab;11;10;9;ab;14;ab;12;16;13;15;np
24;0;8;7;6;1;2;4;5;3;ab;11;9;10;ab;13;ab;14;16;12;15;np
25;0;8;7;6;1;2;4;5;3;ab;10;9;11;ab;13;ab;14;16;12;15;np
26;0;6;5;4;7;1;8;3;2;ab;10;9;11;ab;13;ab;14;16;12;15;np
27;0;6;5;4;7;1;8;3;2;ab;10;9;11;ab;13;ab;14;16;12;15;np
28;0;5;4;3;7;1;8;2;6;ab;10;9;11;ab;12;ab;13;15;ab;14;np
29;0;4;3;2;5;1;6;7;8;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
30;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
31;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
32;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
33;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
34;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
35;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
36;0;4;2;1;5;3;6;8;7;ab;10;9;11;ab;12;ab;13;14;ab;ab;np
