;sc;RSC;MON;MSC;ALO;BAR;WEB;PAN;TRU;DMA;FRE;COU;HEI;PIZ;VIL;VER;FIS;BUT;WIL;FIR;RAI
0;0;1;2;3;4;5;6;7;10;8;12;9;15;20;11;14;17;16;13;19;18
1;0;1;5;2;3;18;4;6;19;7;10;8;12;20;9;13;15;14;11;17;16
2;0;1;5;2;3;18;4;6;19;7;10;8;12;20;9;13;14;15;11;17;16
3;0;1;4;2;3;18;5;6;20;7;10;8;12;19;9;13;14;15;11;17;16
4;0;1;4;2;3;18;5;6;20;7;10;8;12;19;9;13;14;15;11;17;16
5;0;1;4;2;3;18;5;6;20;7;16;8;11;19;9;12;13;14;10;17;15
6;0;1;4;2;3;17;5;6;19;7;ab;8;11;18;9;12;13;14;10;16;15
7;0;1;4;2;3;17;5;6;19;7;ab;8;11;18;9;12;13;14;10;16;15
8;0;1;4;2;3;16;5;6;19;7;ab;8;11;18;9;12;13;14;10;17;15
9;0;1;3;2;4;16;5;6;19;7;ab;8;11;18;9;12;13;14;10;17;15
10;0;1;3;2;4;15;5;6;19;7;ab;8;11;18;9;17;12;13;10;16;14
11;0;1;3;2;4;15;5;6;19;8;ab;7;11;18;9;17;12;13;10;16;14
12;0;1;3;2;4;14;5;6;19;8;ab;7;10;18;9;17;11;12;16;15;13
13;0;1;3;2;4;13;5;6;19;8;ab;7;9;18;17;15;10;11;16;14;12
14;0;1;3;2;4;12;5;13;18;7;ab;6;8;17;ab;15;9;10;16;14;11
15;0;1;3;2;4;11;5;13;18;12;ab;6;7;17;ab;15;8;9;16;14;10
16;0;1;3;2;4;11;5;12;18;13;ab;6;7;17;ab;15;8;9;16;14;10
17;0;1;3;2;4;10;5;11;18;12;ab;6;14;17;ab;15;7;8;16;13;9
18;0;1;4;2;3;9;10;11;18;12;ab;5;14;17;ab;15;6;7;16;13;8
19;0;3;5;1;2;9;10;11;18;12;ab;4;14;17;ab;15;6;7;16;13;8
20;0;3;5;2;1;8;9;10;16;11;ab;4;12;15;ab;13;ab;6;14;ab;7
21;0;3;5;2;1;8;9;10;16;11;ab;4;12;15;ab;13;ab;6;14;ab;7
22;0;3;5;2;1;7;8;9;ab;10;ab;4;12;15;ab;13;ab;11;14;ab;6
23;0;3;4;2;1;7;8;9;ab;10;ab;6;12;15;ab;13;ab;11;14;ab;5
24;0;3;4;2;1;6;8;9;ab;10;ab;7;12;15;ab;13;ab;11;14;ab;5
25;0;2;3;1;4;6;8;9;ab;10;ab;7;12;15;ab;13;ab;11;14;ab;5
