;sc;RAI;MSC;RSC;MON;BAR;TRU;PAN;ALO;COU;DMA;WEB;BUT;FIS;FIR;FRE;PIZ;VIL;VER;WIL;HEI
0;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;19;17;18;20
1;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;19;17;18;20
2;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;19;17;18;20
3;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;19;17;18;20
4;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;19;17;18;20
5;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;19;17;18;20
6;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;18;17;20;19
7;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;17;18;20;19
8;0;1;3;2;5;4;6;8;7;9;10;12;11;16;13;14;15;20;18;19;17
9;0;1;3;2;5;4;6;8;7;9;10;12;11;15;16;13;14;20;18;19;17
10;0;1;3;2;5;4;6;12;7;8;9;11;10;15;20;13;14;19;17;18;16
11;0;1;3;2;5;4;6;12;7;8;9;11;10;20;19;13;14;17;18;16;15
12;0;1;3;2;5;4;6;12;7;8;9;11;10;20;19;13;14;17;18;16;15
13;0;1;3;2;5;4;6;11;7;8;9;12;10;19;18;14;13;20;17;16;15
14;0;1;3;2;5;4;7;11;6;8;9;14;10;18;17;15;12;20;19;16;13
15;0;1;4;2;5;3;9;14;6;7;8;13;12;18;17;15;10;20;19;16;11
16;0;6;7;1;2;3;8;12;4;5;9;13;11;17;16;14;15;20;19;18;10
17;0;5;6;1;2;7;8;12;3;4;9;13;11;17;16;14;15;20;19;18;10
18;0;2;3;1;5;4;7;12;6;8;9;13;11;17;16;14;15;20;19;18;10
19;0;2;3;1;5;4;7;12;6;8;9;13;11;17;16;14;15;20;19;18;10
20;0;2;3;1;5;4;7;11;6;8;9;12;10;17;16;13;14;20;19;18;15
21;0;1;3;2;5;4;7;11;6;8;9;12;10;17;16;13;14;20;19;18;15
22;0;1;3;2;5;4;7;11;6;8;9;12;10;17;16;13;14;20;19;18;15
23;0;1;3;2;5;4;7;11;6;8;9;12;10;17;16;13;14;20;19;18;15
24;0;1;3;2;5;4;7;10;6;8;15;11;9;17;16;12;13;20;19;18;14
25;0;ab;2;1;4;3;6;9;5;7;14;10;8;15;16;11;12;19;18;17;13
26;0;ab;2;1;4;3;6;9;5;7;14;10;8;15;16;11;12;18;19;17;13
27;0;ab;2;1;4;3;6;9;5;7;14;10;8;15;16;11;12;18;19;17;13
28;0;ab;2;1;4;3;6;9;5;7;14;10;8;15;16;11;12;18;19;17;13
29;0;ab;2;1;4;3;6;9;5;7;14;10;8;15;16;11;12;18;19;17;13
30;0;ab;2;1;4;3;6;9;5;7;14;10;8;15;16;11;12;18;19;17;13
31;0;ab;2;1;4;3;6;9;5;7;13;10;8;15;16;14;11;18;19;17;12
32;0;ab;2;1;4;3;6;9;5;7;13;10;8;15;16;14;11;18;19;17;12
33;0;ab;2;1;4;3;6;9;5;7;13;10;8;15;16;14;11;18;19;17;12
34;0;ab;2;1;4;3;6;9;5;7;13;10;8;15;16;14;11;18;19;17;12
35;0;ab;2;1;4;3;6;10;5;7;13;9;8;15;16;14;11;17;19;18;12
36;0;ab;7;1;2;3;5;13;4;6;11;8;9;15;16;14;10;17;19;18;12
37;0;ab;5;1;2;6;ab;ab;4;3;9;7;10;13;14;11;8;15;17;16;12
38;0;ab;4;1;2;5;ab;ab;6;3;8;9;10;13;14;11;7;15;17;16;12
39;0;ab;4;1;2;5;ab;ab;6;3;7;9;10;13;14;11;8;15;17;16;12
40;0;ab;3;1;4;5;ab;ab;6;2;7;8;9;13;14;10;12;15;17;16;11
41;0;ab;3;1;4;5;ab;ab;6;2;7;8;9;13;14;10;12;15;17;16;11
42;0;ab;6;1;2;3;ab;ab;4;5;11;7;8;13;14;9;12;15;17;16;10
43;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;9;11;15;17;16;10
44;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
45;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
46;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
47;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
48;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
49;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
50;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;15;17;16;9
51;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;ab;16;15;9
52;0;ab;6;1;2;3;ab;ab;4;5;12;7;8;13;14;10;11;ab;16;15;9
53;0;ab;6;1;2;3;ab;ab;4;5;ab;7;8;13;12;10;11;ab;15;14;9
54;0;ab;6;1;2;3;ab;ab;4;5;ab;7;8;13;12;10;11;ab;15;14;9
55;0;ab;6;1;2;3;ab;ab;4;5;ab;7;8;13;12;10;11;ab;15;14;9
56;0;ab;5;1;2;3;ab;ab;4;15;ab;6;7;12;11;9;10;ab;14;13;8
