;sc;RAI;BAR;BUT;MSC;TRU;COU;MON;SAT;WEB;MAS;GEN;DMA;KLI;PTO;HEI;ALO;PAN;BRU;BAU;FIS
0;0;1;2;3;4;5;6;8;7;9;10;11;12;15;13;16;14;18;19;20;17
1;0;1;2;3;4;5;6;8;7;9;10;11;12;15;14;17;13;18;19;20;16
2;0;1;2;3;4;5;6;7;8;9;10;11;12;15;14;17;13;18;19;20;16
3;0;1;2;3;4;5;6;7;8;9;10;11;13;15;14;17;12;18;19;20;16
4;0;1;2;3;4;5;6;7;8;9;10;11;13;14;15;17;12;18;19;20;16
5;0;1;2;3;4;5;6;7;8;9;10;11;13;14;16;17;12;18;19;20;15
6;0;1;2;3;4;5;6;7;8;9;10;11;13;14;16;17;12;18;19;20;15
7;0;1;2;3;4;5;6;7;8;9;10;11;12;14;16;17;13;18;19;20;15
8;0;1;3;2;4;5;6;7;8;9;10;11;12;13;15;16;18;17;19;20;14
9;0;1;10;2;3;4;7;5;6;8;9;17;11;12;14;15;16;18;19;20;13
10;0;1;9;3;2;4;14;6;5;7;8;17;10;11;13;15;16;18;20;19;12
11;0;4;8;7;1;2;13;12;3;5;6;17;9;10;14;15;16;18;20;19;11
12;0;3;8;7;1;4;13;12;2;5;6;17;9;10;14;15;16;18;20;19;11
13;0;2;7;6;1;13;12;11;3;4;5;17;8;9;16;14;15;18;19;20;10
14;0;2;6;5;1;13;12;11;7;3;4;16;9;10;18;14;15;17;19;20;8
15;0;2;5;3;1;10;9;8;14;4;6;13;15;16;18;11;12;17;20;19;7
16;0;2;4;3;1;8;7;6;14;10;13;12;15;16;17;9;11;ab;19;18;5
17;0;2;4;3;1;8;7;6;14;9;12;11;15;16;17;13;10;ab;19;18;5
18;0;2;4;3;1;8;7;6;13;9;12;11;14;15;17;16;10;ab;19;18;5
19;0;2;4;3;1;8;7;6;13;9;12;11;14;15;17;16;10;ab;19;18;5
20;0;2;4;3;1;8;7;6;13;9;12;11;14;15;17;16;10;ab;19;18;5
21;0;2;4;3;1;8;7;6;13;9;12;11;14;15;17;16;10;ab;19;18;5
