;sc;MSC;BAR;SAT;BUT;ALO;PIZ;MON;FIS;TRU;RAI;WEB;COU;PAN;KLI;ZON;HEI;PTO;BAU;BRU;MAS
0;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;19;13;16;20;18;17
1;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;19;13;16;20;18;17
2;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;19;13;16;20;18;17
3;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;18;13;16;20;19;17
4;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;18;13;16;20;19;17
5;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;18;13;17;20;19;16
6;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;18;13;17;20;19;16
7;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;18;13;17;20;19;16
8;0;1;2;8;5;3;10;4;9;6;7;12;11;15;14;18;13;17;20;19;16
9;0;1;2;7;5;3;9;4;8;6;11;12;10;15;14;18;13;17;20;19;16
10;0;1;2;6;4;8;7;3;17;5;11;10;9;13;15;18;12;16;20;19;14
11;0;1;2;3;8;5;4;7;16;9;13;6;17;11;14;18;10;15;20;19;12
12;0;1;2;10;7;4;3;6;12;8;18;5;13;15;11;17;9;14;19;20;16
13;0;1;2;9;7;3;4;6;12;8;ab;5;13;14;11;16;10;17;18;19;15
14;0;1;2;8;6;3;9;5;10;7;ab;4;11;14;12;16;13;17;18;19;15
15;0;1;2;8;6;3;9;4;10;7;ab;5;11;13;17;15;12;16;18;19;14
16;0;1;2;7;5;3;8;4;9;6;ab;11;10;13;17;15;12;16;19;18;14
17;0;1;2;7;5;3;8;4;9;6;ab;11;10;13;17;15;12;16;19;18;14
18;0;1;2;7;5;3;8;4;9;6;ab;11;10;13;16;14;12;15;19;18;17
19;0;1;2;7;5;3;8;4;9;6;ab;11;10;13;16;14;12;15;19;18;17
