;sc;BAR;MON;MSC;ALO;SAT;BUT;RAI;PIZ;TRU;COU;ZON;WEB;PAN;KLI;FIS;MAS;PTO;BRU;BAU;HEI
0;0;1;3;15;2;6;5;4;19;8;16;10;11;ab;9;13;7;14;12;17;18
1;0;1;3;14;2;7;4;5;19;8;16;12;10;ab;9;13;6;15;11;17;18
2;0;1;3;15;2;7;4;5;17;8;13;14;10;ab;9;12;6;16;11;18;19
3;0;1;4;14;2;6;3;5;17;8;13;15;10;ab;9;12;7;16;11;18;19
4;0;3;4;12;1;6;2;5;14;7;13;15;9;ab;8;11;10;17;16;18;19
5;0;9;3;11;1;5;2;4;12;7;14;13;8;ab;6;10;19;15;16;17;18
6;0;9;3;11;1;5;2;4;12;8;14;13;7;ab;6;10;18;15;19;16;17
7;0;9;3;11;1;5;2;4;12;8;14;13;7;ab;6;10;18;15;19;16;17
8;0;9;3;10;1;5;2;4;12;8;14;13;7;ab;6;11;19;15;18;16;17
9;0;9;3;10;1;5;2;4;11;8;14;13;7;ab;6;12;19;15;18;17;16
10;0;10;2;9;7;4;1;3;11;8;14;13;5;ab;6;12;18;15;19;17;16
11;0;9;2;7;6;4;1;3;10;8;13;12;5;ab;15;11;18;14;19;17;16
12;0;8;2;6;5;3;1;4;7;15;11;10;13;ab;14;9;18;12;19;17;16
13;0;6;4;3;2;8;1;ab;5;13;9;15;11;ab;12;7;16;10;18;17;14
14;0;6;3;4;2;8;1;ab;5;12;9;14;10;ab;11;7;16;15;18;17;13
15;0;4;3;10;2;7;1;ab;5;12;8;14;9;ab;11;6;16;15;18;17;13
16;0;4;3;9;2;6;1;ab;10;12;7;14;8;ab;11;5;16;15;18;17;13
17;0;4;3;9;2;6;1;ab;10;12;7;14;8;ab;11;5;16;15;18;17;13
18;0;4;3;9;2;5;1;ab;10;12;7;14;8;ab;11;6;16;15;18;17;13
19;0;4;3;7;2;5;1;ab;9;12;6;14;8;ab;11;10;16;15;18;17;13
20;0;4;3;7;2;5;1;ab;9;12;6;14;8;ab;11;10;16;15;18;17;13
21;0;4;3;7;2;5;1;ab;8;12;6;14;9;ab;11;10;16;15;18;17;13
22;0;4;3;7;2;5;1;ab;8;12;6;14;10;ab;11;9;16;15;18;17;13
23;0;4;3;7;2;5;1;ab;8;12;6;13;10;ab;11;9;16;15;18;17;14
24;0;4;3;7;2;5;1;ab;8;12;6;13;10;ab;11;9;15;14;18;17;16
25;0;4;3;7;2;5;1;ab;8;12;6;13;10;ab;11;9;15;14;18;17;16
26;0;4;3;6;2;5;1;ab;7;12;10;13;9;ab;11;8;15;14;18;17;16
27;0;4;3;6;2;5;1;ab;7;12;10;13;9;ab;11;8;15;14;18;17;16
28;0;4;3;6;2;5;1;ab;7;12;10;13;9;ab;11;8;15;14;18;17;16
29;0;6;3;5;2;4;1;ab;7;12;10;13;9;ab;11;8;15;14;ab;17;16
30;0;6;3;5;2;4;1;ab;7;11;10;13;9;ab;12;8;14;15;ab;17;16
31;0;6;3;5;2;4;1;ab;7;11;10;12;9;ab;14;8;13;15;ab;17;16
32;0;6;3;5;2;4;1;ab;7;10;9;11;12;ab;13;8;14;15;ab;17;16
33;0;3;6;2;5;7;1;ab;4;10;9;13;11;ab;12;8;14;ab;ab;16;15
34;0;2;6;1;4;7;3;ab;5;11;9;13;10;ab;12;8;14;ab;ab;16;15
35;0;2;7;1;4;5;3;ab;9;11;8;13;10;ab;12;6;14;ab;ab;16;15
36;0;1;6;4;3;5;2;ab;9;11;8;12;10;ab;13;7;14;ab;ab;16;15
37;0;1;6;4;3;5;2;ab;8;11;7;12;10;ab;13;9;14;ab;ab;16;15
38;0;1;6;4;3;5;2;ab;8;11;7;12;10;ab;14;9;13;ab;ab;16;15
39;0;1;6;4;3;5;2;ab;8;11;7;12;10;ab;14;9;13;ab;ab;16;15
40;0;1;5;3;ab;4;2;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
41;0;1;5;3;ab;4;2;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
42;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
43;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
44;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
45;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
46;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
47;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
48;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
49;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
50;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
51;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
52;0;1;5;2;ab;4;3;ab;7;10;6;11;9;ab;13;8;12;ab;ab;15;14
