;sc;BAR;RAI;BUT;MAS;RSC;ALO;FIS;PAN;COU;MON;WEB;VIL;ZON;HEI;KLI;GLO;BRU;SAT;BAU;MSC
0;0;1;2;5;4;7;3;6;17;8;12;10;11;9;13;15;16;19;14;18;20
1;0;1;2;5;4;7;3;6;17;8;12;10;11;9;13;15;16;19;14;18;20
2;0;1;2;4;5;7;3;6;16;8;12;10;11;9;14;15;17;20;13;19;18
3;0;1;2;4;5;7;3;6;16;8;12;10;11;9;14;15;17;20;13;19;18
4;0;1;2;4;7;6;3;5;16;8;12;10;11;9;14;15;17;20;13;19;18
5;0;1;2;4;8;6;3;5;16;7;12;10;11;9;14;15;18;20;13;19;17
6;0;1;2;3;9;6;4;5;16;7;12;10;11;8;14;15;18;20;13;19;17
7;0;1;2;3;9;6;4;5;16;7;12;10;11;8;14;15;18;20;13;19;17
8;0;1;2;3;9;6;4;5;16;7;12;10;11;8;14;15;18;20;13;19;17
9;0;1;2;3;10;6;4;5;18;7;12;9;11;8;14;15;17;20;13;19;16
10;0;1;2;3;17;5;4;6;18;7;11;9;10;8;13;16;15;20;12;19;14
11;0;1;3;2;16;5;4;13;17;14;8;6;7;15;10;ab;12;19;9;18;11
12;0;4;5;1;16;3;2;13;17;14;8;6;7;15;11;ab;12;19;9;18;10
13;0;3;4;1;16;2;8;12;17;13;6;5;9;15;11;ab;14;19;7;18;10
14;0;2;3;4;14;1;7;10;17;11;5;8;16;13;9;ab;15;19;6;18;12
15;0;1;2;3;13;8;6;9;16;11;5;14;15;12;7;ab;17;19;4;18;10
16;0;1;2;3;12;6;5;9;16;10;13;14;15;11;7;ab;17;19;4;18;8
17;0;1;2;3;11;6;5;8;16;9;12;13;14;10;15;ab;17;19;4;18;7
18;0;1;2;3;10;5;4;7;16;8;12;13;14;9;15;ab;17;19;11;18;6
19;0;1;2;3;10;5;4;7;16;8;12;13;14;9;15;ab;17;19;11;18;6
20;0;1;2;3;9;5;4;6;16;7;11;12;13;8;15;ab;17;19;10;18;14
21;0;1;2;3;9;5;4;6;16;7;11;12;13;8;15;ab;17;19;10;18;14
22;0;1;2;3;9;5;4;6;16;7;11;12;13;8;15;ab;17;19;10;18;14
23;0;1;2;3;9;5;4;6;17;7;11;12;13;8;15;ab;16;18;10;19;14
24;0;1;2;3;8;5;4;6;17;7;11;12;13;9;15;ab;16;19;10;18;14
25;0;1;2;3;8;5;4;6;17;7;10;11;12;14;15;ab;16;19;9;18;13
26;0;1;2;3;14;5;4;7;17;6;9;10;11;13;15;ab;16;19;8;18;12
27;0;1;3;2;14;5;4;9;17;6;8;10;11;13;15;ab;16;19;7;18;12
28;0;1;3;2;14;5;4;9;17;8;7;10;11;13;15;ab;16;19;6;18;12
29;0;2;3;1;14;5;4;9;17;8;7;10;11;13;15;ab;16;19;6;18;12
30;0;2;3;1;14;5;4;9;17;8;7;10;11;13;15;ab;16;19;6;18;12
31;0;2;3;1;14;5;4;9;17;8;7;10;11;13;15;ab;16;19;6;18;12
32;0;2;3;1;14;4;5;9;17;8;7;10;11;13;15;ab;16;19;6;18;12
33;0;2;3;1;14;4;7;9;16;8;6;10;13;12;15;ab;17;19;5;18;11
34;0;2;3;1;11;7;6;9;15;8;5;10;13;16;12;ab;17;19;4;18;14
35;0;1;2;3;10;7;6;9;14;8;5;12;13;ab;11;ab;16;18;4;17;15
36;0;1;3;2;9;10;6;8;13;7;5;11;12;ab;15;ab;16;18;4;17;14
37;0;1;3;2;8;ab;6;7;12;9;5;10;11;ab;14;ab;15;16;4;17;13
38;0;1;3;2;6;ab;5;4;12;9;7;10;11;ab;14;ab;15;ab;8;16;13
39;0;1;3;2;6;ab;5;4;14;9;7;10;11;ab;13;ab;15;ab;8;16;12
40;0;1;3;2;6;ab;5;4;14;9;7;10;11;ab;13;ab;15;ab;8;16;12
41;0;1;3;2;6;ab;5;4;14;9;7;10;11;ab;13;ab;15;ab;8;16;12
42;0;1;3;2;5;ab;4;8;14;9;6;10;11;ab;13;ab;15;ab;7;16;12
43;0;1;3;2;5;ab;4;8;14;9;6;10;11;ab;13;ab;15;ab;7;16;12
44;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
45;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
46;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
47;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
48;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
49;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
50;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
51;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
52;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
53;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
54;0;1;3;2;8;ab;4;7;14;9;5;10;11;ab;13;ab;15;ab;6;16;12
55;0;1;3;2;8;ab;4;7;14;9;5;10;ab;ab;13;ab;ab;ab;6;16;12
