;sc;MSC;RSC;WEB;SAT;BUT;TRU2;FIS;COU;VIL;PAN;ALO;RAI;MON;KLI;BAR;HEI;GLO;BRU;BAU;MAS
0;0;1;2;6;4;3;5;9;7;8;14;10;11;12;16;13;15;17;19;20;18
1;0;1;2;6;4;3;5;9;7;8;13;10;11;12;16;14;15;17;19;20;18
2;0;1;2;6;4;3;5;8;7;9;13;10;11;12;16;14;15;18;19;20;17
3;0;1;2;6;4;3;5;8;7;9;13;10;11;12;17;14;15;18;19;20;16
4;0;1;2;6;4;3;5;8;7;9;14;10;11;12;17;13;15;18;19;20;16
5;0;1;2;6;4;3;5;8;7;9;14;10;11;12;17;13;16;18;19;20;15
6;0;1;2;6;3;4;5;8;7;10;15;9;11;12;17;13;16;18;19;20;14
7;0;1;2;6;3;4;5;8;7;10;15;9;12;11;17;13;16;18;19;20;14
8;0;1;2;6;3;4;5;8;7;10;16;9;12;11;17;13;15;18;19;20;14
9;0;1;9;6;2;3;4;7;5;10;18;8;12;11;16;13;15;17;19;20;14
10;0;1;8;9;2;3;4;6;5;10;18;7;11;13;16;12;15;17;19;20;14
11;0;1;6;14;3;2;7;8;4;9;16;5;10;15;13;11;12;18;20;19;17
12;0;1;5;12;6;2;10;11;3;7;15;4;8;13;9;14;17;18;20;19;16
13;0;1;4;12;6;2;10;11;3;7;16;5;8;13;9;14;17;18;20;19;15
14;0;1;4;11;5;2;7;10;3;6;16;8;14;12;9;13;17;18;20;19;15
15;0;1;2;9;3;4;7;12;5;14;17;6;13;10;8;11;16;18;19;20;15
16;0;1;2;8;3;4;7;11;5;13;16;6;12;9;17;10;15;18;19;20;14
17;0;1;2;17;3;4;7;10;5;12;15;6;11;8;16;9;14;18;19;20;13
18;0;1;2;18;3;4;7;10;5;12;15;6;11;8;16;9;14;17;19;20;13
19;0;1;2;18;3;4;7;10;5;12;16;6;11;8;15;9;14;17;19;20;13
20;0;1;2;ab;3;4;7;10;5;12;17;6;11;8;15;9;14;16;18;19;13
21;0;1;2;ab;3;4;7;10;5;12;17;6;11;9;15;8;14;16;18;19;13
22;0;1;2;ab;3;4;8;9;5;12;16;6;11;10;15;7;14;17;18;19;13
23;0;1;2;ab;3;4;8;9;5;13;16;6;11;10;15;7;14;17;18;19;12
24;0;1;5;ab;2;3;10;8;4;13;16;6;11;9;15;7;14;17;18;19;12
25;0;1;5;ab;2;3;13;8;4;12;16;6;10;9;15;7;14;17;19;18;11
26;0;1;4;ab;6;2;12;9;3;11;16;5;10;8;13;7;15;17;19;18;14
27;0;1;4;ab;6;2;12;11;3;10;16;5;9;8;14;7;15;17;18;19;13
28;0;1;4;ab;6;2;12;11;3;9;16;5;7;10;14;8;15;17;18;19;13
29;0;1;4;ab;6;2;12;11;3;9;16;5;7;10;14;8;15;17;18;19;13
30;0;1;4;ab;6;2;12;11;3;9;16;5;7;10;14;8;15;17;18;19;13
31;0;1;3;ab;6;2;12;11;4;9;16;5;7;10;14;8;15;17;18;19;13
32;0;1;3;ab;5;2;12;11;6;9;16;4;7;10;14;8;15;17;18;19;13
33;0;1;3;ab;4;2;12;10;5;11;16;8;6;9;15;7;14;17;18;19;13
34;0;1;3;ab;4;2;11;10;5;13;16;8;6;9;15;7;14;17;18;19;12
35;0;1;2;ab;3;4;11;10;5;13;16;8;7;9;15;6;14;17;18;19;12
36;0;1;2;ab;3;4;12;9;5;13;16;7;10;8;15;6;14;17;18;19;11
37;0;1;2;ab;3;4;12;8;7;13;16;5;9;6;15;10;14;17;18;19;11
38;0;1;2;ab;3;4;11;7;ab;9;14;5;8;6;13;ab;12;15;16;17;10
39;0;1;3;ab;2;4;11;7;ab;9;14;5;8;6;12;ab;13;15;16;17;10
40;0;1;2;ab;3;4;11;7;ab;9;14;5;8;6;12;ab;13;15;16;17;10
41;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
42;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
43;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
44;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
45;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
46;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
47;0;1;2;ab;4;3;11;8;ab;9;14;5;6;7;12;ab;13;15;16;ab;10
48;0;1;2;ab;4;3;11;8;ab;10;14;5;6;7;12;ab;13;15;16;ab;9
49;0;1;2;ab;4;3;11;8;ab;10;14;5;6;7;12;ab;13;15;16;ab;9
50;0;1;2;ab;4;3;11;8;ab;10;14;5;6;7;12;ab;13;15;16;ab;9
51;0;1;2;ab;4;3;11;8;ab;10;14;5;6;7;12;ab;13;ab;16;ab;9
52;0;1;2;ab;4;3;ab;8;ab;ab;14;5;6;7;12;ab;13;ab;16;ab;9
