;sc;MSC;WEB;BAR;MON;RAI;BUT;RSC;TRU;COU;DMA;MAS;FIS;KLI;PAN;HEI;BRU;BAU;PTO;ALO;SAT
0;0;1;9;2;3;4;6;8;5;7;14;12;16;15;18;13;17;19;20;10;11
1;0;1;9;4;2;3;5;8;6;7;13;11;19;14;16;12;17;18;20;10;15
2;0;1;8;4;2;3;5;10;6;7;13;11;17;14;16;12;18;19;20;9;15
3;0;1;9;4;2;3;5;10;6;7;13;11;15;14;16;12;17;19;20;8;18
4;0;1;20;4;2;3;5;9;6;7;12;10;14;13;15;11;16;18;19;8;17
5;0;1;20;4;2;3;5;9;6;7;12;10;14;13;15;11;17;18;19;8;16
6;0;1;20;4;2;3;5;9;6;7;12;10;14;13;15;11;17;18;19;8;16
7;0;1;20;4;2;3;5;9;6;7;12;10;15;13;14;11;17;18;19;8;16
8;0;1;20;4;2;3;5;7;6;8;12;10;16;14;13;11;17;18;19;9;15
9;0;7;20;4;1;3;2;6;5;11;12;14;16;15;9;8;19;17;18;13;10
10;0;3;20;7;1;5;2;4;6;10;16;13;15;14;12;8;18;19;17;11;9
11;0;3;20;6;1;4;2;11;5;8;16;12;14;13;15;10;18;19;17;9;7
12;0;1;20;6;2;3;5;10;4;8;15;11;13;12;14;16;18;19;17;9;7
13;0;1;20;6;2;3;5;10;4;7;15;11;13;12;14;17;18;19;16;9;8
14;0;1;19;6;2;3;5;9;4;7;15;10;13;12;14;17;18;20;16;8;11
15;0;1;19;6;2;3;5;9;4;7;15;10;13;12;14;17;18;20;16;8;11
16;0;1;19;6;2;3;5;9;4;7;15;10;13;12;14;17;18;20;16;8;11
17;0;1;19;6;2;3;5;9;4;7;15;10;13;12;14;17;18;20;16;8;11
18;0;1;19;6;2;3;5;9;4;7;15;10;13;12;14;17;18;20;16;8;11
19;0;1;19;6;2;3;4;9;5;7;15;10;13;12;14;17;18;20;16;8;11
20;0;1;19;5;2;3;4;8;7;6;15;10;13;12;14;17;18;20;16;9;11
21;0;1;18;5;2;3;4;8;7;6;15;10;13;12;14;16;19;20;17;9;11
22;0;1;17;5;2;3;4;8;7;6;15;10;12;13;14;16;18;20;19;9;11
23;0;1;ab;5;2;3;4;8;6;7;14;10;12;15;13;16;18;19;17;9;11
24;0;1;ab;5;2;4;3;6;7;8;14;9;12;15;13;16;19;18;17;11;10
25;0;1;ab;4;2;6;3;5;7;8;14;12;11;15;13;16;18;19;17;10;9
26;0;2;ab;1;3;6;5;4;7;8;13;11;15;14;12;16;18;19;17;10;9
27;0;1;ab;2;3;5;4;ab;6;7;12;10;14;13;11;15;17;18;16;9;8
28;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;15;17;18;16;9;8
29;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;15;17;18;16;9;8
30;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;15;17;18;16;9;8
31;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;15;17;18;16;9;8
32;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;16;17;18;15;9;8
33;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;17;16;18;15;9;8
34;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;ab;16;17;15;9;8
35;0;1;ab;5;2;4;3;ab;6;7;12;10;14;13;11;ab;16;17;15;8;9
36;0;1;ab;5;2;4;3;ab;6;7;13;10;12;14;11;ab;16;17;15;8;9
37;0;1;ab;5;2;4;3;ab;6;7;13;10;12;14;11;ab;16;17;15;8;9
38;0;1;ab;5;2;4;3;ab;6;7;13;10;12;14;11;ab;16;17;15;8;9
39;0;1;ab;4;5;3;2;ab;6;7;13;10;12;14;11;ab;16;17;15;8;9
40;0;1;ab;2;3;ab;4;ab;5;6;12;9;11;13;10;ab;15;16;14;7;8
41;0;1;ab;2;3;ab;4;ab;5;6;11;9;13;12;10;ab;15;16;14;7;8
42;0;1;ab;2;3;ab;4;ab;5;6;11;9;13;12;10;ab;15;16;14;7;8
43;0;1;ab;3;2;ab;4;ab;5;6;11;9;13;12;10;ab;15;16;14;7;8
44;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;12;11;ab;15;16;14;7;8
45;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;12;11;ab;15;16;14;7;8
46;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;12;11;ab;15;16;14;7;8
47;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;11;12;ab;15;16;14;7;8
48;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;11;12;ab;15;16;14;7;8
49;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;11;12;ab;15;16;14;7;8
50;0;1;ab;4;2;ab;3;ab;5;6;10;9;13;11;12;ab;15;16;14;7;8
51;0;1;ab;4;2;ab;3;ab;5;6;10;9;12;11;13;ab;15;16;14;7;8
52;0;1;ab;4;2;ab;3;ab;5;6;9;8;11;10;12;ab;14;16;13;7;15
53;0;1;ab;4;2;ab;3;ab;5;6;9;8;11;10;12;ab;14;16;13;7;15
54;0;1;ab;4;2;ab;3;ab;5;6;9;8;11;10;12;ab;14;16;13;7;15
55;0;1;ab;4;2;ab;3;ab;5;6;9;8;11;10;12;ab;14;16;13;7;15
