;sc;MSC;BAR;MON;RSC;SAT;BUT;TRU;PAN;DMA;COU;FIS;KLI;MAS;WEB;PTO;ALO;BRU;HEI;RAI;BAU
0;0;1;2;3;5;4;7;6;8;13;9;11;15;12;10;17;19;20;16;14;18
1;0;1;2;3;5;4;7;6;8;12;10;11;15;13;9;17;19;20;16;14;18
2;0;1;2;3;5;4;7;6;8;12;10;11;15;13;9;17;19;20;16;14;18
3;0;1;2;3;5;4;7;6;8;12;10;11;15;13;9;17;19;20;16;14;18
4;0;1;2;3;5;4;7;6;8;12;10;11;15;13;9;17;19;20;16;14;18
5;0;1;2;3;5;4;7;6;11;12;9;10;15;13;8;17;19;20;16;14;18
6;0;1;2;3;17;5;6;4;18;13;8;9;12;10;7;15;19;20;14;11;16
7;0;1;2;3;18;5;6;4;15;16;8;9;11;10;7;13;17;19;12;ab;14
8;0;1;2;3;18;5;6;4;14;16;9;7;10;11;8;13;17;19;12;ab;15
9;0;6;1;2;17;3;5;4;11;14;12;7;8;15;13;10;16;19;9;ab;18
10;0;2;4;5;17;3;1;7;12;13;9;11;15;14;10;8;16;19;6;ab;18
11;0;1;3;4;16;7;2;5;11;12;8;10;13;14;9;17;15;19;6;ab;18
12;0;1;2;3;16;5;6;4;11;12;8;10;13;14;9;17;15;19;7;ab;18
13;0;1;2;3;15;5;6;4;10;11;7;9;12;13;8;16;14;19;17;ab;18
14;0;1;2;3;15;5;6;4;10;11;7;9;12;13;8;16;14;19;17;ab;18
15;0;1;2;3;14;5;6;4;10;11;7;9;15;12;8;16;13;19;17;ab;18
16;0;1;2;3;14;6;5;4;10;11;7;9;15;12;8;16;13;19;17;ab;18
17;0;1;2;3;14;6;5;4;10;11;7;9;15;12;8;16;13;19;17;ab;18
18;0;1;2;3;13;14;5;4;9;10;6;8;15;11;7;16;12;19;17;ab;18
19;0;1;2;3;12;14;5;4;10;9;6;8;17;13;7;15;11;19;16;ab;18
20;0;1;2;3;11;13;5;4;14;9;6;8;17;12;7;15;10;19;16;ab;18
21;0;1;2;3;10;12;5;4;13;14;6;8;17;11;7;15;9;19;16;ab;18
22;0;1;2;3;10;12;5;4;13;14;6;8;17;11;7;15;9;19;16;ab;18
23;0;1;2;3;8;11;5;4;13;14;9;6;17;10;12;15;7;19;16;ab;18
24;0;3;1;2;14;9;4;5;12;13;8;6;17;10;11;15;7;19;16;ab;18
25;0;3;1;2;13;9;4;5;11;12;8;6;16;14;10;17;7;19;15;ab;18
26;0;2;1;3;13;7;5;4;10;12;6;11;16;14;8;17;9;19;15;ab;18
27;0;1;2;3;12;7;5;4;10;13;6;11;16;14;8;17;9;19;15;ab;18
28;0;1;2;3;12;7;5;4;10;13;6;11;16;14;8;17;9;19;15;ab;18
29;0;1;2;3;12;7;5;4;10;13;6;11;16;14;8;17;9;19;15;ab;18
30;0;1;2;3;11;7;5;4;10;12;6;13;16;14;9;17;8;19;15;ab;18
31;0;1;2;3;11;7;5;4;10;12;6;13;16;14;9;17;8;19;15;ab;18
32;0;1;2;3;11;6;5;4;10;12;7;13;16;14;9;17;8;19;15;ab;18
33;0;1;2;3;11;6;5;4;10;12;7;13;15;14;9;17;8;19;16;ab;18
34;0;1;2;3;11;6;5;4;10;12;7;13;15;14;9;16;8;19;17;ab;18
35;0;1;2;3;11;6;5;4;10;12;7;13;15;14;9;16;8;19;17;ab;18
36;0;1;2;3;10;6;5;4;11;12;7;13;15;14;9;16;8;19;17;ab;18
37;0;1;2;3;9;10;4;5;14;11;6;12;15;13;8;16;7;19;17;ab;18
38;0;1;2;3;7;8;4;5;13;14;9;10;15;11;12;16;6;19;17;ab;18
39;0;1;2;4;7;8;3;5;13;14;9;10;15;11;12;16;6;19;17;ab;18
40;0;1;2;3;6;7;4;5;13;14;9;10;15;11;12;16;8;19;17;ab;18
41;0;2;1;3;6;7;4;5;13;14;9;10;15;12;11;17;8;19;16;ab;18
42;0;2;1;3;6;7;4;5;12;13;9;10;15;14;11;17;8;19;16;ab;18
43;0;1;2;3;6;7;4;5;11;12;9;13;15;14;10;17;8;19;16;ab;18
44;0;1;2;3;6;7;4;5;11;12;9;13;15;14;10;17;8;18;16;ab;ab
45;0;1;2;3;9;6;4;5;11;12;8;13;15;14;10;17;7;18;16;ab;ab
46;0;1;2;3;9;6;4;5;11;12;8;13;15;14;10;17;7;18;16;ab;ab
47;0;1;2;3;9;6;4;5;11;12;8;13;15;14;10;17;7;18;16;ab;ab
48;0;1;2;4;9;6;3;5;11;12;8;13;15;14;10;17;7;18;16;ab;ab
49;0;1;2;5;8;6;3;4;11;12;9;13;15;14;10;17;7;18;16;ab;ab
50;0;1;2;5;8;6;3;4;10;11;ab;12;14;13;9;16;7;17;15;ab;ab
51;0;1;2;5;8;6;3;4;10;11;ab;12;14;13;9;16;7;17;15;ab;ab
52;0;1;2;7;8;5;3;4;10;11;ab;12;14;13;9;16;6;17;15;ab;ab
53;0;1;2;8;7;5;3;4;10;11;ab;12;14;13;9;16;6;17;15;ab;ab
54;0;1;2;8;7;5;3;4;10;11;ab;12;14;13;9;16;6;17;15;ab;ab
55;0;1;2;13;7;5;3;4;9;10;ab;11;14;12;8;16;6;17;15;ab;ab
56;0;1;2;13;7;5;3;4;9;10;ab;11;14;12;8;16;6;17;15;ab;ab
