;sc;BUT;MSC;MON;BAR;RSC;ALO;SAT;WEB;TRU;DMA;COU;MAS;PAN;KLI;PTO;HEI;BRU;FIS;BAU;RAI
0;0;1;2;3;6;5;9;4;8;7;10;20;12;11;16;13;17;18;14;19;15
1;0;1;2;3;6;5;9;4;8;7;10;20;11;12;16;13;17;18;14;19;15
2;0;1;2;3;6;5;9;4;8;7;10;20;11;12;16;13;17;18;14;19;15
3;0;1;2;3;6;5;9;4;8;7;10;20;11;12;16;13;17;18;14;19;15
4;0;1;2;3;6;5;9;4;8;7;10;20;11;12;16;13;17;18;14;19;15
5;0;1;2;3;6;5;9;4;8;7;10;20;11;12;16;13;17;18;14;19;15
6;0;1;2;3;6;5;9;4;8;7;10;19;11;12;15;ab;16;17;13;18;14
7;0;1;2;3;6;5;8;4;9;7;16;19;15;10;13;ab;14;17;11;18;12
8;0;2;1;9;5;4;7;3;14;6;16;19;15;8;12;ab;13;17;10;18;11
9;0;5;1;7;4;8;6;2;12;3;14;19;13;15;18;ab;11;16;9;17;10
10;0;4;1;5;7;6;3;8;12;2;14;18;13;15;17;ab;11;16;9;19;10
11;0;3;1;4;6;5;7;8;12;2;14;17;13;15;16;ab;11;18;9;19;10
12;0;2;1;3;6;5;7;8;12;4;14;17;13;15;16;ab;11;19;9;18;10
13;0;2;1;3;6;5;7;8;12;4;14;17;13;15;16;ab;11;19;9;18;10
14;0;2;1;3;6;5;7;8;11;4;13;17;12;14;16;ab;15;19;9;18;10
15;0;2;1;3;6;5;7;8;11;4;13;17;12;14;16;ab;15;19;9;18;10
16;0;2;1;3;6;5;7;8;11;4;13;16;12;14;17;ab;15;19;9;18;10
17;0;2;1;3;6;5;7;8;11;4;13;16;12;14;17;ab;15;19;9;18;10
18;0;2;1;3;6;5;7;8;12;4;13;16;11;14;17;ab;15;19;9;18;10
19;0;2;1;3;6;5;7;8;12;4;13;17;11;14;16;ab;15;19;9;18;10
20;0;2;1;3;6;5;7;8;11;4;12;17;10;13;16;ab;15;19;14;18;9
21;0;2;1;3;6;5;7;8;10;4;11;17;9;12;16;ab;15;19;13;18;14
22;0;2;1;3;6;5;7;8;10;4;11;17;9;12;16;ab;15;ab;13;18;14
23;0;2;1;3;6;5;7;8;10;4;14;17;9;11;16;ab;15;ab;13;18;12
24;0;2;1;3;6;5;7;8;14;4;13;17;12;9;16;ab;15;ab;11;18;10
25;0;2;1;7;5;4;6;8;14;3;13;16;12;9;17;ab;15;ab;11;18;10
26;0;2;1;7;5;4;6;8;14;3;12;16;11;13;17;ab;15;ab;10;18;9
27;0;2;1;7;5;4;6;8;14;3;12;16;11;13;17;ab;15;ab;10;18;9
28;0;2;1;5;7;6;4;8;14;3;12;16;11;13;17;ab;15;ab;10;18;9
29;0;2;1;5;7;6;4;8;14;3;12;16;11;13;17;ab;15;ab;10;18;9
30;0;2;1;4;6;5;7;8;14;3;12;16;11;13;17;ab;15;ab;10;18;9
