;sc;MSC;MON;SAT;TRU;BAR;RSC;PAN;ALO;WEB;COU;DMA;FIS;RAI;BUT;HEI;KLI;MAS;BRU;PTO;BAU
0;0;2;4;3;1;5;9;7;6;12;8;13;11;10;14;18;17;15;19;16;20
1;0;2;4;3;1;5;9;7;6;12;8;13;11;10;14;18;17;15;19;16;20
2;0;2;4;3;1;5;9;7;6;12;8;14;11;10;13;18;17;15;19;16;20
3;0;2;4;3;1;5;9;7;6;12;8;14;11;10;13;18;17;15;19;16;20
4;0;2;4;3;1;5;9;7;6;12;8;14;11;10;13;18;17;15;20;16;19
5;0;2;4;3;1;5;9;7;6;12;8;14;11;10;13;18;17;15;20;16;19
6;0;2;4;3;1;5;9;7;6;12;8;14;11;10;13;18;17;15;20;16;19
7;0;2;4;3;1;5;8;9;6;12;7;14;11;10;13;18;17;15;20;16;19
8;0;1;5;3;2;4;7;17;14;11;6;13;8;10;9;18;16;12;20;15;19
9;0;1;11;2;4;3;7;13;10;16;5;17;6;15;8;18;12;9;20;14;19
10;0;3;8;2;4;1;11;10;7;15;13;16;5;12;14;17;9;6;20;18;19
11;0;2;8;5;3;1;11;10;7;15;13;16;4;12;14;17;9;6;20;18;19
12;0;2;8;5;3;1;10;11;6;15;13;16;4;12;14;17;9;7;19;18;20
13;0;2;7;5;3;1;10;11;6;15;13;16;4;12;14;17;9;8;19;18;20
14;0;2;7;5;3;1;9;11;6;15;13;16;4;12;14;17;10;8;19;18;20
15;0;2;7;5;3;1;9;10;6;15;12;16;4;11;13;17;14;8;19;18;20
16;0;2;7;4;3;1;9;10;6;14;12;15;5;11;13;16;17;8;19;18;20
17;0;1;6;4;2;3;7;10;5;14;12;15;9;11;13;16;17;8;19;18;ab
18;0;1;6;4;2;3;7;9;5;13;11;14;8;10;12;16;17;15;19;18;ab
19;0;1;6;4;2;3;7;9;5;13;11;14;8;10;12;16;17;15;19;18;ab
20;0;1;6;4;2;3;7;9;5;13;11;14;8;10;12;16;17;15;19;18;ab
21;0;1;6;4;2;3;7;9;5;13;11;14;8;10;12;16;17;15;19;18;ab
22;0;1;6;4;2;3;7;9;5;13;11;14;8;10;12;17;16;15;19;18;ab
23;0;1;6;3;5;2;7;9;4;13;11;14;8;10;12;18;16;15;19;17;ab
24;0;1;6;3;4;2;7;9;5;13;11;14;8;10;12;18;16;15;19;17;ab
25;0;1;5;3;4;2;12;11;6;13;9;14;7;8;10;17;16;15;19;18;ab
26;0;1;7;5;3;2;10;15;4;16;11;13;6;8;9;17;14;12;19;18;ab
27;0;1;7;5;3;2;9;13;4;15;14;16;6;8;10;17;12;11;19;18;ab
28;0;1;7;5;3;2;9;14;4;15;13;16;6;8;12;17;11;10;19;18;ab
29;0;1;7;5;3;2;8;15;4;14;13;16;6;12;11;17;10;9;19;18;ab
30;0;1;7;5;3;2;8;15;4;14;13;16;6;12;10;17;11;9;19;18;ab
31;0;1;7;5;3;2;8;15;4;14;12;16;6;11;10;17;13;9;ab;18;ab
32;0;1;7;5;3;2;8;14;4;13;12;15;6;11;10;17;16;9;ab;18;ab
33;0;1;7;5;3;2;8;ab;4;13;12;14;6;11;10;ab;15;9;ab;16;ab
34;0;1;7;5;3;2;8;ab;4;13;12;14;6;11;10;ab;15;9;ab;16;ab
35;0;1;7;5;3;2;8;ab;4;13;12;14;6;11;10;ab;15;9;ab;16;ab
36;0;1;7;5;3;2;8;ab;4;13;12;14;6;11;10;ab;15;9;ab;16;ab
37;0;1;7;5;3;2;8;ab;4;13;12;14;6;11;10;ab;15;9;ab;16;ab
38;0;1;7;5;3;2;8;ab;4;13;12;14;6;11;10;ab;15;9;ab;16;ab
39;0;1;6;5;3;2;8;ab;4;13;12;14;7;11;10;ab;15;9;ab;16;ab
40;0;1;6;5;3;2;7;ab;4;13;12;14;10;11;8;ab;15;9;ab;16;ab
41;0;1;6;4;5;2;7;ab;3;13;11;14;9;10;8;ab;15;12;ab;16;ab
42;0;1;6;3;4;2;7;ab;5;13;11;14;9;10;8;ab;15;12;ab;16;ab
43;0;1;8;2;4;3;6;ab;5;12;14;13;9;10;7;ab;ab;11;ab;15;ab
44;0;1;7;3;4;2;6;ab;5;12;14;13;8;9;10;ab;ab;11;ab;15;ab
45;0;1;8;5;3;2;7;ab;4;12;13;14;6;9;10;ab;ab;11;ab;15;ab
46;0;1;ab;5;3;2;6;ab;4;10;11;13;7;12;8;ab;ab;9;ab;14;ab
47;0;1;ab;5;3;2;6;ab;4;10;11;13;7;12;8;ab;ab;9;ab;14;ab
48;0;1;ab;5;3;2;6;ab;4;10;11;13;7;12;8;ab;ab;9;ab;14;ab
49;0;1;ab;5;3;2;6;ab;4;10;11;13;7;12;8;ab;ab;9;ab;14;ab
50;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;14;ab
51;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
52;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
53;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
54;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
55;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
56;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
57;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
58;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
59;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
60;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
61;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
62;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
63;0;1;ab;5;3;2;6;ab;4;12;10;13;7;11;8;ab;ab;9;ab;ab;ab
