;sc;TRU;BUT;ALO;MSC;RAI;BAR;SAT;COU;MON;FIS;WEB;RSC;PAN;KLI;DMA;MAS;HEI;PTO;BAU;BRU
0;0;1;3;2;6;5;7;4;8;9;11;10;13;18;ab;12;14;15;16;19;17
1;0;1;3;2;6;5;7;4;8;9;11;10;13;18;ab;12;14;15;16;19;17
2;0;1;3;2;5;4;6;ab;ab;7;ab;8;16;14;ab;9;10;11;12;15;13
3;1;1;3;2;5;4;6;ab;ab;7;ab;8;16;14;ab;9;10;11;12;15;13
4;1;1;3;2;5;4;6;ab;ab;7;ab;8;16;14;ab;9;10;11;12;15;13
5;1;1;3;2;5;4;6;ab;ab;7;ab;8;16;14;ab;9;10;11;12;15;13
6;1;1;3;2;5;4;6;ab;ab;7;ab;8;16;14;ab;9;10;11;12;15;13
7;0;1;3;2;5;4;7;ab;ab;6;ab;8;16;14;ab;9;10;11;12;15;13
8;0;1;3;2;5;4;7;ab;ab;6;ab;8;16;14;ab;9;10;11;12;15;13
9;0;1;3;2;5;4;7;ab;ab;6;ab;8;15;14;ab;9;10;11;12;16;13
10;0;1;3;2;5;4;7;ab;ab;6;ab;8;15;14;ab;9;10;11;12;16;13
11;0;1;3;2;5;4;7;ab;ab;6;ab;ab;13;12;ab;8;9;10;11;15;14
12;0;1;3;2;5;4;6;ab;ab;10;ab;ab;12;11;ab;7;8;9;ab;14;13
13;0;1;3;2;5;4;6;ab;ab;10;ab;ab;12;11;ab;7;8;9;ab;14;13
14;0;1;3;2;5;4;6;ab;ab;10;ab;ab;12;11;ab;7;8;9;ab;14;13
15;0;1;3;2;5;4;6;ab;ab;10;ab;ab;12;11;ab;7;8;9;ab;13;ab
16;0;1;3;2;5;4;6;ab;ab;10;ab;ab;12;11;ab;7;8;9;ab;13;ab
17;0;1;7;2;4;3;5;ab;ab;10;ab;ab;12;11;ab;6;8;9;ab;13;ab
18;0;1;6;2;3;7;4;ab;ab;10;ab;ab;12;11;ab;5;8;9;ab;13;ab
19;0;1;5;2;3;6;8;ab;ab;10;ab;ab;12;11;ab;4;7;9;ab;13;ab
20;0;1;5;2;3;6;7;ab;ab;9;ab;ab;12;11;ab;4;10;8;ab;13;ab
21;0;1;5;2;3;6;7;ab;ab;9;ab;ab;12;11;ab;4;10;8;ab;13;ab
22;0;1;4;2;3;5;7;ab;ab;9;ab;ab;12;11;ab;6;10;8;ab;13;ab
23;0;3;4;1;2;5;6;ab;ab;9;ab;ab;11;12;ab;7;10;8;ab;13;ab
24;0;2;4;3;1;5;6;ab;ab;9;ab;ab;11;12;ab;7;10;8;ab;13;ab
25;0;1;4;2;3;5;6;ab;ab;9;ab;ab;11;12;ab;7;10;8;ab;13;ab
26;0;1;4;2;3;5;6;ab;ab;9;ab;ab;11;12;ab;7;10;8;ab;13;ab
27;0;1;4;2;3;ab;5;ab;ab;8;ab;ab;10;11;ab;6;9;7;ab;12;ab
28;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;10;11;ab;6;9;8;ab;12;ab
29;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;10;11;ab;6;9;8;ab;12;ab
30;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;10;11;ab;6;8;9;ab;12;ab
31;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;9;11;ab;6;8;10;ab;12;ab
32;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;9;11;ab;6;8;10;ab;12;ab
33;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;9;11;ab;6;8;10;ab;12;ab
34;0;1;4;2;3;ab;5;ab;ab;7;ab;ab;9;11;ab;6;8;10;ab;12;ab
