;sc;MSC;SAT;TRU;RAI;BUT;ALO;BAR;MON;RSC;PAN;DMA;KLI;HEI;WEB;PTO;MAS;BAU;COU;FIS;BRU
0;0;1;4;7;2;6;3;5;15;ab;8;ab;10;11;13;12;18;17;9;14;16
1;0;1;4;7;2;6;3;5;18;ab;8;ab;10;11;13;12;17;16;9;14;15
2;0;1;4;7;2;6;3;5;18;ab;8;ab;10;11;13;12;16;17;9;14;15
3;0;1;4;7;2;6;3;5;18;ab;8;ab;10;11;13;12;16;17;9;14;15
4;0;1;4;7;2;6;3;5;18;ab;8;ab;10;11;13;12;15;17;9;14;16
5;0;1;4;7;2;6;3;5;18;ab;8;ab;10;11;13;12;15;17;9;14;16
6;0;1;4;7;2;6;3;5;18;ab;8;ab;10;11;13;12;15;17;9;14;16
7;0;1;4;7;2;6;3;5;17;ab;8;ab;10;11;13;12;15;18;9;14;16
8;0;6;2;7;5;4;1;3;17;ab;8;ab;10;11;13;12;15;18;9;14;16
9;0;5;1;13;ab;3;4;2;15;ab;6;ab;8;9;11;10;14;17;7;12;16
10;0;3;1;12;ab;4;8;2;15;ab;14;ab;6;7;10;9;13;17;5;11;16
11;0;3;2;11;ab;6;8;1;15;ab;14;ab;5;7;9;12;13;17;4;10;16
12;0;2;3;11;ab;5;8;1;14;ab;13;ab;6;7;9;15;12;16;4;10;17
13;0;2;3;10;ab;5;11;1;14;ab;13;ab;6;9;7;15;12;16;4;8;17
14;0;2;3;9;ab;5;10;1;13;ab;12;ab;6;14;7;15;11;17;4;8;16
15;0;1;2;9;ab;5;10;3;13;ab;12;ab;8;14;6;15;11;17;4;7;16
16;0;1;2;8;ab;5;9;3;12;ab;11;ab;13;14;6;15;10;17;4;7;16
17;0;1;2;8;ab;5;9;3;12;ab;11;ab;13;14;6;15;10;17;4;7;16
18;0;1;2;7;ab;4;8;3;10;ab;9;ab;12;13;11;14;15;17;5;6;16
19;0;1;2;7;ab;4;8;3;10;ab;9;ab;12;13;11;14;15;17;5;6;16
20;0;1;2;6;ab;4;7;3;10;ab;8;ab;12;13;11;14;15;17;9;5;16
21;0;1;2;6;ab;4;7;3;11;ab;8;ab;13;12;10;14;15;17;9;5;16
22;0;1;2;6;ab;4;7;3;15;ab;10;ab;12;11;9;13;14;17;8;5;16
23;0;1;2;5;ab;4;7;3;15;ab;14;ab;11;10;9;12;13;17;8;6;16
24;0;1;2;5;ab;4;6;3;14;ab;15;ab;11;10;9;13;12;17;7;8;16
25;0;1;2;4;ab;6;5;3;12;ab;13;ab;10;9;8;14;11;16;ab;7;15
26;0;1;3;4;ab;6;5;2;11;ab;13;ab;10;9;8;14;12;16;ab;7;15
27;0;1;3;4;ab;6;5;2;10;ab;13;ab;11;9;8;14;12;16;ab;7;15
28;0;1;3;6;ab;5;4;2;10;ab;13;ab;12;9;8;14;11;16;ab;7;15
29;0;1;3;6;ab;5;4;2;10;ab;13;ab;12;9;8;14;11;16;ab;7;15
30;0;1;3;5;ab;4;6;2;9;ab;13;ab;11;12;8;14;10;16;ab;7;15
31;0;1;3;5;ab;4;6;2;9;ab;13;ab;11;12;8;14;10;16;ab;7;15
32;0;1;3;5;ab;4;6;2;9;ab;13;ab;11;12;8;14;10;16;ab;7;15
33;0;1;3;5;ab;4;6;2;9;ab;13;ab;11;12;8;14;10;16;ab;7;15
34;0;1;3;5;ab;4;6;2;9;ab;13;ab;11;12;8;14;10;16;ab;7;15
35;0;1;3;5;ab;4;6;2;9;ab;13;ab;12;11;8;14;10;16;ab;7;15
36;0;1;3;5;ab;4;6;2;9;ab;12;ab;14;11;8;13;10;16;ab;7;15
37;0;1;3;5;ab;4;6;2;9;ab;12;ab;14;11;8;13;10;16;ab;7;15
38;0;1;2;5;ab;4;6;3;8;ab;12;ab;14;11;9;13;10;16;ab;7;15
39;0;1;2;5;ab;4;6;3;8;ab;12;ab;14;11;9;13;10;16;ab;7;15
40;0;1;2;5;ab;4;6;3;8;ab;11;ab;14;10;9;13;12;16;ab;7;15
41;0;1;2;5;ab;4;6;3;9;ab;11;ab;14;10;8;13;12;16;ab;7;15
42;0;1;2;5;ab;4;7;3;9;ab;13;ab;14;10;8;12;11;15;ab;6;16
43;0;1;2;5;ab;4;7;3;9;ab;12;ab;13;10;8;14;11;16;ab;6;15
44;0;1;3;5;ab;4;6;2;9;ab;12;ab;13;10;8;14;11;16;ab;7;15
45;0;1;3;5;ab;4;6;2;9;ab;12;ab;13;10;8;14;11;16;ab;7;15
46;0;1;5;4;ab;3;6;2;9;ab;12;ab;13;10;8;14;11;16;ab;7;15
47;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
48;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
49;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
50;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
51;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
52;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
53;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
54;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
55;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
56;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
57;0;1;ab;4;ab;3;5;2;8;ab;11;ab;12;10;7;13;9;15;ab;6;14
