;sc;RSC;BUT;TRU;MON;ALO;MSC;BAR;RAI;COU;KLI;FIS;DMA;PAN;WEB;HEI;GLO;SAT;BAU;MAS;BRU
0;0;1;2;ab;4;3;5;7;6;16;13;12;8;9;19;10;11;15;14;18;17
1;0;1;2;ab;4;3;5;7;6;13;15;12;8;9;19;10;11;14;17;16;18
2;0;1;2;ab;4;3;5;7;6;13;15;11;8;9;19;10;12;14;17;16;18
3;0;1;2;ab;4;3;5;7;6;13;15;11;8;9;19;10;12;14;17;16;18
4;0;1;2;ab;4;3;5;7;6;12;15;11;8;9;19;10;13;14;17;16;18
5;0;1;2;ab;4;3;5;7;6;12;15;11;8;9;19;10;13;14;17;16;18
6;0;1;2;ab;4;3;5;6;7;12;16;11;8;9;ab;10;13;14;17;15;18
7;0;1;2;ab;4;3;5;6;7;12;16;11;8;9;ab;10;13;15;17;14;18
8;0;1;2;ab;4;3;5;6;7;12;16;11;8;9;ab;10;13;15;18;14;17
9;0;1;2;ab;4;3;5;6;7;12;16;11;8;9;ab;10;13;15;18;14;17
10;0;1;2;ab;4;3;5;6;7;16;15;11;8;9;ab;10;12;14;18;13;17
11;0;1;2;ab;4;3;5;6;9;16;15;11;7;8;ab;10;12;14;18;13;17
12;0;1;6;ab;7;2;3;4;9;16;15;11;5;8;ab;10;12;14;18;13;17
13;0;1;6;ab;7;2;3;4;9;16;15;11;5;8;ab;10;12;14;18;13;17
14;0;4;5;ab;7;1;2;3;9;16;15;11;6;8;ab;10;12;14;18;13;17
15;0;4;5;ab;7;1;2;3;9;16;15;11;6;8;ab;10;12;14;18;13;17
16;0;3;4;ab;5;6;1;2;8;14;16;10;11;7;ab;9;15;13;18;12;17
17;0;2;3;ab;5;6;1;4;8;14;17;10;11;7;ab;9;15;13;18;12;16
18;0;1;2;ab;4;6;3;5;10;14;17;9;11;7;ab;8;15;13;18;12;16
19;0;1;2;ab;4;6;3;5;9;13;18;8;10;7;ab;16;14;12;17;11;15
