;sc;RAI;BUT;ALO;FIS;MSC;WEB;HEI;SAT;TRU;KLI;COU;RSC;MAS;VIL;BAR;ALB;DOO;MTR;KAR;MON
0;0;1;4;2;8;3;20;5;18;19;9;6;10;7;15;13;12;14;17;16;11
1;0;1;4;2;8;3;20;5;18;19;9;6;11;7;15;12;13;14;17;16;10
2;0;1;4;2;8;3;20;5;18;19;10;6;11;7;15;12;13;14;17;16;9
3;0;1;4;2;8;3;20;5;17;18;10;6;11;7;16;12;13;19;15;14;9
4;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
5;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
6;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
7;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
8;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
9;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
10;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
11;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
12;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
13;0;1;4;2;8;3;20;5;16;17;10;6;11;7;18;12;13;19;15;14;9
14;0;1;4;2;8;3;20;6;15;16;10;5;11;7;18;12;13;19;17;14;9
15;0;1;4;2;7;3;20;12;15;16;9;5;10;6;18;11;13;19;17;14;8
16;0;1;4;2;7;3;20;12;14;15;9;5;10;6;18;11;13;19;16;17;8
17;0;1;4;2;7;3;20;12;14;15;9;5;10;6;18;11;13;19;16;17;8
18;0;1;4;2;6;3;20;12;13;14;10;5;9;7;18;11;15;19;16;17;8
19;0;1;4;2;6;3;20;10;13;14;12;5;8;11;18;9;17;19;15;16;7
20;0;1;7;2;4;3;20;10;13;14;12;9;6;11;17;8;18;19;15;16;5
21;0;1;7;2;4;3;20;10;13;14;12;9;6;11;17;8;18;19;15;16;5
22;0;1;7;2;4;6;20;10;13;14;12;9;5;11;16;8;18;19;15;17;3
23;0;1;6;2;8;5;20;10;13;14;12;9;4;11;16;7;18;19;15;17;3
24;0;1;6;2;8;5;20;10;13;14;12;9;4;11;16;7;18;19;15;17;3
25;0;1;5;2;7;4;20;10;13;14;12;8;9;11;16;6;18;19;15;17;3
26;0;1;5;2;6;4;20;9;13;14;12;7;8;10;18;11;16;19;17;15;3
27;0;1;4;2;6;3;20;9;13;14;12;7;8;10;18;11;16;19;17;15;5
28;0;1;4;2;6;3;20;9;13;14;12;7;8;10;18;11;16;19;17;15;5
29;0;1;4;2;6;3;20;9;14;13;12;7;8;10;18;11;16;19;17;15;5
30;0;1;4;2;6;3;20;9;14;13;12;7;8;10;18;11;16;19;17;15;5
31;0;1;4;2;6;3;20;9;14;13;12;7;8;10;17;11;16;19;18;15;5
32;0;1;4;2;6;3;20;9;14;13;12;7;8;10;17;11;15;19;18;16;5
33;0;1;4;2;6;3;20;9;14;13;12;7;8;10;17;11;15;19;18;16;5
34;0;1;4;2;6;3;20;9;14;13;12;7;8;10;17;11;15;19;18;16;5
35;0;ab;3;1;5;2;19;11;13;12;10;6;7;8;16;9;14;18;17;15;4
36;0;ab;3;1;5;2;19;11;13;12;10;6;7;8;16;9;14;18;17;15;4
37;0;ab;3;1;5;2;19;11;13;12;10;6;7;8;16;9;14;18;17;15;4
38;0;ab;3;1;5;2;19;11;13;12;9;6;7;8;16;10;14;18;17;15;4
39;0;ab;3;1;5;2;19;11;13;12;9;6;7;8;16;10;14;18;17;15;4
40;0;ab;3;1;5;2;19;11;13;12;9;6;7;8;16;10;14;18;17;15;4
41;0;ab;3;1;5;2;19;11;13;12;9;6;7;8;16;10;14;18;17;15;4
42;0;ab;3;1;5;2;19;11;13;12;9;6;7;8;16;10;15;18;17;14;4
43;0;ab;3;1;5;2;19;11;13;12;9;6;7;8;16;10;15;18;17;14;4
44;0;ab;2;1;5;3;19;11;13;12;9;6;7;8;16;10;14;18;17;15;4
45;0;ab;2;1;5;3;19;11;13;12;9;6;7;8;16;10;14;18;17;15;4
46;0;ab;7;1;4;2;19;11;13;12;10;5;6;9;16;8;14;18;17;15;3
47;0;ab;6;1;4;2;19;11;12;13;10;7;5;9;16;8;14;18;17;15;3
48;0;ab;6;1;4;3;19;11;12;13;10;7;5;9;16;8;15;18;17;14;2
49;0;ab;5;1;3;6;19;11;12;13;9;7;4;8;16;10;14;18;17;15;2
50;0;ab;3;1;5;4;19;12;11;13;9;7;6;8;16;10;14;18;17;15;2
51;0;ab;3;1;5;4;19;12;11;13;9;7;6;8;16;10;14;18;17;15;2
52;0;ab;3;1;5;4;19;12;11;13;9;7;6;8;16;10;14;18;17;15;2
53;0;ab;3;1;5;4;19;11;12;13;9;7;6;8;16;10;14;18;17;15;2
54;0;ab;3;1;5;4;19;11;12;13;9;7;6;8;15;10;14;18;17;16;2
55;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
56;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
57;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
58;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
59;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
60;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
61;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
62;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;18;17;16;2
63;0;ab;3;1;5;4;nc;11;12;13;9;7;6;8;15;10;14;ab;17;16;2
64;0;ab;3;1;5;4;nc;11;12;14;9;7;6;8;15;10;13;ab;17;16;2
65;0;ab;3;1;4;5;nc;11;12;14;9;7;6;8;15;10;13;ab;17;16;2
66;0;ab;3;1;4;5;nc;11;12;14;9;7;6;8;15;10;13;ab;17;16;2
