;sc;MSC;MON;TRU;RAI;RSC;ALO;BAR;BUT;FIS;SAT;KLI;HEI;COU;MAS;VIL;WEB;ALB;KAR;DOO;MTR
0;0;1;3;4;2;5;10;13;6;9;7;ab;8;ab;11;12;14;16;15;17;18
1;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
2;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
3;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
4;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
5;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
6;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
7;0;1;3;4;2;5;17;16;6;9;7;ab;8;ab;10;11;12;14;13;15;18
8;0;1;3;4;2;5;17;15;6;9;7;ab;8;ab;10;11;12;14;13;16;18
9;0;1;3;4;2;5;17;15;6;9;7;ab;8;ab;10;11;12;14;13;16;18
10;0;1;3;4;2;5;16;14;6;9;7;ab;8;ab;10;11;12;15;13;17;18
11;0;1;2;3;5;4;16;14;6;9;7;ab;8;ab;10;11;12;15;13;17;18
12;0;1;2;4;5;3;15;14;6;9;7;ab;8;ab;10;11;12;16;13;17;18
13;0;1;2;6;4;3;15;13;5;9;7;ab;8;ab;10;11;12;16;14;17;18
14;0;1;2;6;4;3;14;13;5;9;7;ab;8;ab;10;11;12;17;15;16;18
15;0;2;1;6;3;5;14;13;4;9;7;ab;8;ab;10;11;12;17;15;16;18
16;0;2;1;6;3;5;14;13;4;9;7;ab;8;ab;10;11;12;17;15;16;18
17;0;2;1;6;3;5;14;13;4;9;7;ab;8;ab;10;11;12;17;15;16;18
18;0;2;1;6;3;5;14;13;4;9;7;ab;8;ab;10;11;12;17;15;16;18
19;0;2;1;6;3;5;14;13;4;9;7;ab;8;ab;10;11;12;17;15;16;18
20;0;2;1;6;3;5;14;13;4;9;7;ab;8;ab;10;11;12;17;15;16;18
21;0;2;1;6;3;5;14;13;4;8;12;ab;7;ab;9;10;11;17;15;16;18
22;0;1;3;6;2;5;14;13;4;9;12;ab;7;ab;8;10;11;17;15;16;18
23;0;1;3;5;2;4;14;12;8;13;11;ab;6;ab;7;9;10;17;15;16;18
24;0;1;3;5;2;4;14;13;7;12;11;ab;6;ab;8;9;10;17;15;16;18
25;0;1;3;5;2;4;13;12;7;11;10;ab;6;ab;14;8;9;17;15;16;18
26;0;1;3;5;2;4;14;12;7;11;10;ab;6;ab;13;9;8;16;15;ab;17
27;0;1;3;5;2;4;14;11;6;10;9;ab;8;ab;13;12;7;16;15;ab;17
28;0;1;3;5;2;4;14;11;6;10;9;ab;8;ab;13;12;7;16;15;ab;17
29;0;1;3;5;2;4;14;10;6;9;8;ab;7;ab;13;12;11;16;15;ab;17
30;0;1;3;5;2;4;14;10;6;9;8;ab;7;ab;13;12;11;16;15;ab;17
31;0;1;3;5;2;4;14;10;6;9;8;ab;7;ab;13;12;11;16;15;ab;17
32;0;1;3;5;2;4;14;10;6;9;8;ab;7;ab;13;12;11;16;15;ab;17
33;0;1;3;5;2;4;14;12;6;9;8;ab;7;ab;13;11;10;16;15;ab;17
34;0;1;3;5;2;4;13;11;6;9;8;ab;7;ab;14;12;10;16;15;ab;17
35;0;2;3;5;1;4;12;11;6;9;8;ab;7;ab;14;13;10;16;15;ab;17
36;0;3;2;5;1;4;12;11;6;9;8;ab;7;ab;14;13;10;16;15;ab;17
37;0;3;1;5;2;4;12;11;6;9;8;ab;7;ab;14;13;10;16;15;ab;17
38;0;3;1;5;2;4;12;11;6;9;8;ab;7;ab;14;13;10;16;15;ab;17
39;0;3;1;5;2;4;12;11;6;9;8;ab;7;ab;14;13;10;16;15;ab;17
40;0;2;3;5;1;4;12;11;6;9;8;ab;7;ab;14;13;10;16;15;ab;17
41;0;2;ab;4;1;3;11;10;5;8;7;ab;6;ab;13;12;9;15;14;ab;16
42;0;2;ab;4;1;3;11;10;5;9;7;ab;6;ab;16;12;8;14;13;ab;15
43;0;2;ab;4;1;3;11;10;5;9;7;ab;6;ab;16;12;8;14;13;ab;15
44;0;2;ab;4;1;3;11;10;5;9;7;ab;6;ab;16;12;8;14;13;ab;15
45;0;2;ab;4;1;3;11;10;5;9;7;ab;6;ab;16;12;8;14;13;ab;15
46;0;2;ab;4;1;3;11;10;5;9;7;ab;6;ab;16;12;8;14;13;ab;15
47;0;2;ab;4;1;3;11;10;6;9;7;ab;5;ab;16;12;8;14;13;ab;15
48;0;2;ab;4;1;3;11;10;6;9;7;ab;5;ab;16;12;8;14;13;ab;15
49;0;2;ab;4;1;3;11;10;6;9;8;ab;5;ab;16;12;7;14;13;ab;15
50;0;2;ab;4;1;3;11;10;6;8;9;ab;5;ab;16;12;7;15;13;ab;14
51;0;2;ab;4;1;3;11;10;6;9;8;ab;5;ab;15;12;7;16;13;ab;14
52;0;2;ab;5;1;3;11;10;6;9;8;ab;4;ab;15;12;7;16;13;ab;14
53;0;2;ab;5;1;3;11;10;6;9;8;ab;4;ab;15;12;7;16;13;ab;14
54;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;15;12;7;16;13;ab;14
55;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;15;12;7;16;13;ab;14
56;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;15;12;ab;13
57;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;15;12;ab;13
58;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;15;12;ab;13
59;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;nc;12;ab;13
60;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;nc;12;ab;13
61;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;nc;12;ab;13
62;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;nc;12;ab;13
63;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;nc;12;ab;13
64;0;2;ab;4;1;3;11;10;5;9;8;ab;6;ab;14;ab;7;nc;12;ab;13
