;sc;RAI;FIS;ALO;MON;TRU;HEI;WEB;MAS;RSC;KLI;BAR;COU;BUT;MTR;ALB;VIL;DOO;KAR;MSC;SAT
0;0;1;2;3;4;5;6;9;20;18;7;10;8;12;13;15;16;17;14;11;19
1;0;1;3;2;4;5;6;9;20;19;7;10;8;12;13;15;16;17;14;11;18
2;0;1;3;2;4;5;6;8;20;19;7;10;9;11;13;15;16;17;14;12;18
3;0;1;3;2;4;5;6;8;20;18;7;11;9;10;13;16;15;19;14;12;17
4;0;1;3;2;4;5;12;7;20;18;6;10;8;9;13;16;15;19;14;11;17
5;0;1;3;2;4;5;19;7;20;16;6;10;8;9;12;17;15;18;13;11;14
6;0;1;3;2;4;5;19;6;20;16;7;10;8;9;12;17;15;18;14;11;13
7;0;1;3;2;4;5;19;6;20;15;7;10;8;9;12;16;14;18;17;11;13
8;0;1;3;2;4;5;16;20;19;14;6;9;8;7;11;15;13;17;18;10;12
9;0;1;3;2;4;5;16;20;19;14;7;9;8;6;12;15;13;17;18;10;11
10;0;1;3;2;4;5;15;20;18;14;7;9;8;6;13;16;12;17;19;10;11
11;0;1;3;2;4;5;14;20;18;13;7;9;8;6;15;16;12;17;19;10;11
12;0;1;3;2;4;5;14;20;18;13;7;9;8;6;15;16;12;17;19;10;11
13;0;1;2;5;3;4;19;20;17;13;7;9;8;6;14;15;12;16;18;10;11
14;0;1;9;4;2;3;16;20;14;12;6;8;7;5;18;13;11;15;17;19;10
15;0;1;9;4;2;3;15;19;14;12;6;8;7;5;17;13;11;18;16;20;10
16;0;1;9;4;2;3;14;19;13;12;6;8;7;5;17;16;11;18;15;20;10
17;0;1;9;4;2;3;14;19;13;12;6;8;7;5;15;17;11;18;16;20;10
18;0;1;9;3;2;7;14;19;12;13;5;8;6;4;15;17;11;18;16;20;10
19;0;1;9;4;2;7;14;19;12;13;5;8;6;3;15;17;11;18;16;20;10
20;0;1;9;4;2;7;14;ab;12;13;5;8;6;3;15;17;11;18;16;19;10
21;0;1;8;3;2;6;14;ab;12;13;4;7;5;9;15;17;11;18;16;19;10
22;0;1;8;3;2;6;14;ab;12;13;4;7;5;9;15;17;11;18;16;19;10
23;0;1;7;3;2;5;14;ab;11;13;10;6;4;8;15;17;12;18;16;19;9
24;0;1;4;3;2;5;14;ab;11;13;9;10;8;6;15;18;12;17;16;19;7
25;0;1;4;3;2;5;14;ab;11;13;9;10;8;6;15;18;12;17;16;19;7
26;0;1;4;3;2;5;14;ab;11;13;9;10;8;6;15;18;12;17;16;19;7
27;0;1;4;3;2;5;14;ab;11;13;9;10;8;6;15;18;12;17;16;19;7
28;0;1;4;3;2;5;14;ab;ab;12;9;10;8;6;16;17;11;15;13;18;7
29;0;1;4;3;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;14;13;17;10
30;0;1;4;3;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;13;14;17;10
31;0;1;4;3;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;13;14;17;10
32;0;1;4;3;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;13;14;ab;10
33;0;1;4;3;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;13;14;ab;10
34;0;1;3;4;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;14;13;ab;10
35;0;1;3;4;2;5;ab;ab;ab;12;8;9;7;6;15;16;11;14;13;ab;10
36;0;1;6;3;2;4;ab;ab;ab;12;8;9;7;5;15;16;11;14;13;ab;10
37;0;1;6;3;2;4;ab;ab;ab;12;8;9;7;5;15;16;11;14;13;ab;10
38;0;1;6;3;2;4;ab;ab;ab;12;8;9;7;5;15;16;11;14;13;ab;10
39;0;1;6;3;2;4;ab;ab;ab;12;8;9;7;5;15;16;11;14;13;ab;10
40;0;1;6;3;2;4;ab;ab;ab;12;8;9;7;5;15;16;11;14;13;ab;10
41;0;1;6;3;2;4;ab;ab;ab;12;8;9;7;5;15;16;11;14;13;ab;10
42;0;1;6;3;2;5;ab;ab;ab;12;8;9;7;4;15;16;11;14;13;ab;10
43;0;1;5;3;2;8;ab;ab;ab;12;7;9;6;4;15;16;11;13;14;ab;10
44;0;1;5;3;2;7;ab;ab;ab;12;9;8;6;4;15;16;11;13;14;ab;10
45;0;1;5;3;2;6;ab;ab;ab;12;9;7;8;4;15;16;11;13;14;ab;10
46;0;1;5;3;2;6;ab;ab;ab;12;8;10;7;4;15;16;11;13;14;ab;9
47;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;16;11;13;14;ab;9
48;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
49;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
50;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
51;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
52;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
53;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
54;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;13;14;ab;9
55;0;1;4;3;2;6;ab;ab;ab;12;8;10;7;5;15;ab;11;ab;14;ab;9
56;0;1;4;2;3;6;ab;ab;ab;12;8;10;7;5;15;ab;11;ab;14;ab;9
57;0;1;4;2;3;6;ab;ab;ab;12;8;10;7;5;15;ab;11;ab;14;ab;9
