;sc;MON;RAI;TRU;ALO;RSC;MSC;MAS;BUT;WEB;SAT;COU;BAR;FIS;VIL;PIZ;KLI;DOO;ALB;MTR;KAR
0;0;1;2;3;4;8;5;9;7;10;6;11;14;12;16;15;13;19;20;17;18
1;0;1;2;3;4;8;5;9;7;12;6;10;15;11;16;14;13;19;20;17;18
2;0;1;2;3;4;8;5;9;7;12;6;10;15;11;16;14;13;19;20;17;18
3;0;1;2;3;4;8;5;9;7;12;6;10;15;11;16;14;13;19;20;17;18
4;0;1;2;3;4;8;5;9;7;12;6;10;15;11;16;14;13;19;20;17;18
5;0;1;2;3;4;8;5;9;7;12;6;11;15;10;16;14;13;19;20;17;18
6;0;1;2;3;4;7;5;10;8;12;6;11;15;9;16;14;13;19;20;17;18
7;0;1;2;3;4;7;5;10;8;12;6;11;15;9;16;14;13;20;19;17;18
8;0;1;2;3;4;7;5;10;9;12;6;11;15;8;16;14;13;20;19;17;18
9;0;1;2;3;4;12;5;9;8;11;6;10;15;7;16;14;13;20;19;17;18
10;1;1;2;3;4;8;5;10;9;12;6;11;14;ab;7;15;13;19;18;16;17
11;1;1;4;6;5;3;10;7;16;15;11;13;8;ab;2;17;12;19;18;9;14
12;1;1;4;16;5;3;10;6;13;12;11;14;7;ab;2;15;17;19;18;8;9
13;0;1;3;14;5;2;ab;6;10;9;ab;11;7;ab;4;13;15;17;16;8;12
14;0;1;3;14;5;2;ab;6;10;8;ab;11;7;ab;4;12;15;17;16;9;13
15;0;1;3;14;5;2;ab;6;10;8;ab;11;7;ab;4;12;15;17;16;9;13
16;0;1;3;14;5;2;ab;6;10;8;ab;11;7;ab;4;12;15;17;16;9;13
17;0;1;3;14;5;2;ab;6;9;8;ab;11;7;ab;4;12;15;17;16;10;13
18;0;1;3;13;5;2;ab;6;9;8;ab;ab;7;ab;4;11;14;16;15;10;12
19;0;1;3;13;4;2;ab;6;9;8;ab;ab;7;ab;5;11;14;16;15;10;12
20;0;1;3;13;4;2;ab;5;9;7;ab;ab;6;ab;8;11;14;15;16;10;12
21;0;1;3;13;4;2;ab;5;9;7;ab;ab;6;ab;8;11;14;15;16;10;12
22;0;1;3;13;4;2;ab;5;9;7;ab;ab;6;ab;8;11;14;15;16;10;12
23;0;1;2;13;4;3;ab;5;8;7;ab;ab;6;ab;9;11;14;16;15;10;12
24;0;1;2;13;3;12;ab;4;7;6;ab;ab;5;ab;8;10;14;16;15;9;11
25;0;1;2;12;3;14;ab;4;7;6;ab;ab;5;ab;8;10;13;16;15;9;11
26;0;1;2;12;3;13;ab;4;7;6;ab;ab;5;ab;9;10;14;16;15;8;11
27;0;1;2;12;3;13;ab;4;7;6;ab;ab;5;ab;10;9;14;16;15;8;11
28;0;1;2;12;3;13;ab;6;7;5;ab;ab;4;ab;11;9;14;16;15;8;10
29;0;1;2;11;3;12;ab;8;6;5;ab;ab;4;ab;13;7;14;16;15;9;10
30;0;1;2;9;3;10;ab;14;6;4;ab;ab;5;ab;11;7;12;16;15;13;8
31;0;1;2;10;3;8;ab;14;5;4;ab;ab;6;ab;11;7;13;16;15;12;9
32;0;2;1;11;3;8;ab;14;4;6;ab;ab;5;ab;9;7;13;16;15;10;12
33;0;2;1;11;3;7;ab;13;6;5;ab;ab;4;ab;9;8;12;16;15;10;14
34;0;2;1;ab;3;7;ab;11;5;6;ab;ab;4;ab;9;8;12;15;14;10;13
35;0;2;1;ab;3;7;ab;11;5;6;ab;ab;4;ab;9;8;12;15;14;10;13
36;0;2;1;ab;3;7;ab;12;5;6;ab;ab;4;ab;9;8;11;15;14;10;13
37;0;2;1;ab;3;7;ab;12;4;6;ab;ab;5;ab;8;9;11;15;14;10;13
38;0;2;1;ab;3;6;ab;12;4;7;ab;ab;5;ab;8;10;11;15;14;9;13
39;0;2;1;ab;3;7;ab;11;4;6;ab;ab;5;ab;8;ab;10;14;13;9;12
40;0;14;1;ab;2;7;ab;10;3;4;ab;ab;5;ab;6;ab;9;13;12;8;11
41;0;14;1;ab;2;7;ab;10;3;4;ab;ab;5;ab;6;ab;9;ab;12;8;11
42;0;14;1;ab;2;7;ab;10;3;4;ab;ab;5;ab;6;ab;9;ab;12;8;11
43;0;14;1;ab;2;7;ab;10;3;4;ab;ab;5;ab;6;ab;9;ab;12;8;11
