;sc;ALO;MON;FIS;BUT;RAI;KLI;MSC;MAS;BAR;RSC;MTR;WEB;PIZ;COU;KAR;ALB;TRU;DOO;SAT;VIL
0;1;1;2;5;6;3;7;4;10;8;9;18;13;ab;ab;12;14;15;16;11;17
1;1;1;2;5;6;3;7;4;10;8;9;17;18;ab;ab;12;13;14;15;11;16
2;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
3;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
4;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
5;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
6;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
7;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
8;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
9;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
10;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
11;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
12;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;12;14;13;15;11;16
13;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;13;14;12;15;11;16
14;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;13;14;12;15;11;16
15;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;13;14;12;15;11;16
16;0;2;1;4;6;3;7;5;10;8;9;17;18;ab;ab;13;14;12;15;11;16
17;0;2;1;4;6;3;7;5;16;8;9;17;18;ab;ab;13;12;11;14;10;15
18;0;2;1;4;6;3;7;5;15;8;9;16;18;ab;ab;17;12;11;13;10;14
19;0;2;1;4;6;3;7;5;15;8;9;16;18;ab;ab;17;12;11;13;10;14
20;0;2;1;4;6;3;7;5;14;8;9;15;18;ab;ab;17;16;11;13;10;12
21;0;3;1;4;6;2;7;5;14;8;9;15;18;ab;ab;17;16;11;13;10;12
22;0;6;1;3;5;2;7;4;13;8;9;15;18;ab;ab;17;16;11;14;10;12
