;sc;RSC;BUT;FIS;KLI;SAT;COU;WEB;VIL;BAR;MAS;KAR;PIZ;ALB;MSC;DOO;ALO;RAI;MON;TRU;MTR
0;0;1;3;2;6;16;4;5;9;19;11;13;10;14;7;17;8;12;ab;18;15
1;1;1;3;2;6;17;4;5;9;19;11;13;10;14;7;16;8;12;ab;18;15
2;1;1;3;2;6;18;4;5;9;19;11;13;10;14;7;16;8;12;ab;17;15
3;1;1;3;2;6;18;4;5;9;19;11;13;10;14;7;16;8;12;ab;17;15
4;1;1;3;2;6;18;4;5;9;19;11;13;10;14;7;16;8;12;ab;17;15
5;1;1;3;2;6;19;4;5;9;18;11;13;10;14;7;16;8;12;ab;17;15
6;1;1;3;2;6;18;4;5;9;19;11;13;10;14;7;16;8;12;ab;17;15
7;0;1;3;2;7;18;4;5;9;19;12;13;10;14;6;16;8;11;ab;17;15
8;0;1;3;2;8;18;4;5;9;19;12;13;11;14;6;16;7;10;ab;17;15
9;0;1;3;2;8;16;4;5;10;17;11;12;ab;13;6;15;7;9;ab;ab;14
10;0;1;3;2;7;16;4;5;10;17;11;12;ab;13;6;15;8;9;ab;ab;14
11;0;1;3;2;7;16;4;5;10;17;11;12;ab;13;6;15;8;9;ab;ab;14
12;0;2;3;1;8;16;4;5;10;17;11;12;ab;13;6;15;7;9;ab;ab;14
13;0;9;2;1;8;15;3;4;10;16;11;17;ab;12;5;14;6;7;ab;ab;13
14;0;9;2;1;8;14;3;4;10;15;11;17;ab;12;5;16;6;7;ab;ab;13
15;0;9;2;1;8;14;3;4;10;15;11;16;ab;13;5;17;6;7;ab;ab;12
16;0;9;2;1;8;13;3;4;10;14;11;15;ab;16;5;17;6;7;ab;ab;12
17;0;9;2;1;8;13;3;4;10;14;11;15;ab;16;5;17;6;7;ab;ab;12
18;0;9;2;1;8;12;3;4;10;13;11;15;ab;16;5;17;6;7;ab;ab;14
19;0;9;2;1;8;12;3;4;10;13;11;15;ab;16;6;17;5;7;ab;ab;14
20;0;9;1;7;8;12;2;3;10;13;11;15;ab;16;5;17;4;6;ab;ab;14
21;0;8;1;7;9;12;2;3;10;13;11;15;ab;16;5;17;4;6;ab;ab;14
22;0;6;7;5;11;12;1;2;8;13;9;15;ab;16;3;17;10;4;ab;ab;14
23;0;4;5;3;11;12;7;6;8;13;9;15;ab;16;1;17;10;2;ab;ab;14
24;0;4;5;3;11;12;7;6;8;13;10;15;ab;16;1;17;9;2;ab;ab;14
25;0;4;5;3;10;11;7;6;8;12;13;15;ab;16;1;17;9;2;ab;ab;14
26;0;2;3;1;10;11;7;4;9;12;13;15;ab;16;5;17;8;6;ab;ab;14
27;0;2;3;1;9;10;8;4;13;11;12;15;ab;16;5;17;7;6;ab;ab;14
28;0;8;2;1;9;11;7;3;13;10;12;15;ab;16;4;17;6;5;ab;ab;14
29;0;8;2;1;9;13;7;3;12;10;11;15;ab;16;5;17;6;4;ab;ab;14
30;0;8;2;1;9;13;7;3;12;10;11;15;ab;16;5;17;6;4;ab;ab;14
31;0;8;2;1;9;13;7;3;12;10;11;17;ab;15;5;16;6;4;ab;ab;14
32;0;8;2;1;9;13;7;3;12;10;11;16;ab;15;6;17;5;4;ab;ab;14
33;0;8;2;1;9;13;7;3;11;12;10;16;ab;15;6;17;5;4;ab;ab;14
34;0;8;2;1;9;13;7;3;11;12;10;15;ab;17;6;16;5;4;ab;ab;14
35;0;8;2;1;9;13;7;3;11;12;10;15;ab;17;6;16;5;4;ab;ab;14
36;0;7;2;1;9;13;6;3;11;12;10;15;ab;17;5;16;8;4;ab;ab;14
37;0;7;2;1;9;13;6;3;11;12;10;15;ab;17;5;16;8;4;ab;ab;14
38;0;7;1;4;9;13;6;2;11;12;10;15;ab;17;5;16;8;3;ab;ab;14
39;0;7;1;4;9;13;6;2;11;12;10;15;ab;17;5;16;8;3;ab;ab;14
40;0;7;2;4;9;13;6;3;11;12;10;15;ab;17;5;16;8;1;ab;ab;14
41;0;5;7;2;10;13;4;6;11;12;9;16;ab;17;3;15;8;1;ab;ab;14
42;0;4;7;2;10;13;3;5;11;12;9;16;ab;17;8;15;6;1;ab;ab;14
43;0;4;7;2;10;13;3;5;11;12;9;16;ab;17;8;15;6;1;ab;ab;14
44;0;8;5;2;9;13;6;3;11;12;10;16;ab;17;7;15;4;1;ab;ab;14
45;0;8;5;1;9;13;6;3;11;12;10;16;ab;17;7;15;4;2;ab;ab;14
46;0;8;5;1;9;13;6;3;11;12;10;16;ab;17;7;15;4;2;ab;ab;14
47;0;8;5;1;9;13;6;3;11;12;10;16;ab;17;7;15;4;2;ab;ab;14
48;0;8;5;1;9;13;6;4;11;12;10;16;ab;17;7;15;3;2;ab;ab;14
49;0;8;5;1;9;13;6;4;11;12;10;16;ab;16;7;15;3;2;ab;ab;14
50;0;8;5;1;9;13;6;4;11;12;10;16;ab;16;7;15;3;2;ab;ab;14
51;0;8;5;1;9;13;6;4;11;12;10;15;ab;16;7;ab;3;2;ab;ab;14
52;0;8;5;2;9;dsq;6;4;11;12;10;15;ab;16;7;ab;3;1;ab;ab;13
