;sc;ALO;FIS;RAI;BUT;MON;MSC;COU;BAR;RSC;WEB;MAS;TRU;PIZ;KLI;KAR;VIL;SAT;ALB;MTR;DOO
0;0;1;2;3;5;4;17;6;7;8;9;11;10;14;13;20;15;12;19;16;18
1;0;1;2;3;5;4;17;6;7;8;9;11;10;14;13;20;15;12;19;16;18
2;0;1;2;3;5;4;17;6;7;8;9;11;10;14;13;20;15;12;19;16;18
3;0;1;2;3;5;4;17;6;7;8;9;11;10;13;12;19;14;16;20;15;18
4;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;18;14;20;19;15;17
5;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;18;14;20;19;15;17
6;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;18;14;19;20;15;17
7;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;18;20;15;17
8;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;17;20;15;18
9;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;17;20;15;18
10;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;17;20;15;18
11;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;17;20;15;18
12;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;17;20;15;18
13;0;1;2;3;5;4;16;6;7;8;9;11;10;13;12;19;14;17;20;15;18
14;0;1;2;3;5;4;15;6;7;8;9;11;10;13;12;19;14;17;20;16;18
15;0;1;2;3;5;4;15;6;7;8;9;11;10;13;12;18;14;16;20;19;17
16;0;1;2;3;5;4;15;6;7;8;9;10;11;13;12;17;14;16;20;19;18
17;1;1;2;3;5;4;14;13;6;7;8;9;15;11;10;17;12;16;20;18;19
18;1;1;2;3;11;13;14;12;4;5;6;7;15;9;8;18;10;17;20;16;19
19;1;1;2;3;7;14;10;8;4;5;6;9;15;12;11;18;13;17;20;16;19
20;1;1;2;3;7;14;10;8;4;5;6;9;15;12;11;18;13;17;20;16;19
21;1;1;2;3;7;14;10;8;4;5;6;9;15;12;11;18;13;17;20;16;19
22;1;1;2;3;7;13;ab;8;4;5;6;9;14;11;10;16;12;15;19;18;17
23;1;1;2;3;7;18;ab;8;4;5;6;9;12;11;10;14;15;13;19;17;16
24;0;1;2;3;7;ab;ab;8;4;5;6;9;12;11;10;13;16;14;18;17;15
25;0;1;2;3;7;ab;ab;8;4;5;6;9;12;11;10;13;16;14;18;17;15
26;0;1;2;3;7;ab;ab;8;4;5;6;9;12;11;10;13;16;14;18;17;15
27;0;1;2;3;7;ab;ab;8;4;5;6;9;12;11;10;13;15;16;18;17;14
28;1;1;2;3;7;ab;ab;8;4;5;6;9;12;11;10;ab;14;15;17;16;13
29;1;1;2;3;9;ab;ab;10;4;5;6;7;12;11;8;ab;15;14;17;16;13
30;1;1;6;5;11;ab;ab;12;7;2;9;3;13;15;4;ab;14;8;17;10;16
31;1;1;6;5;11;ab;ab;12;7;2;9;3;13;15;4;ab;14;8;17;10;16
32;1;1;6;5;10;ab;ab;12;7;2;9;3;13;15;4;ab;14;8;17;11;16
33;1;1;6;5;10;ab;ab;12;7;2;9;3;13;15;4;ab;14;8;17;11;16
34;0;1;6;5;9;ab;ab;11;7;2;8;3;12;15;4;ab;13;ab;16;10;14
35;0;1;6;5;9;ab;ab;10;7;2;8;3;12;15;4;ab;13;ab;16;11;14
36;0;1;6;5;9;ab;ab;10;7;2;8;3;12;15;4;ab;13;ab;16;11;14
37;0;1;6;5;9;ab;ab;10;7;2;8;3;12;15;4;ab;13;ab;16;11;14
38;0;1;6;5;9;ab;ab;10;7;2;8;3;12;15;4;ab;13;ab;16;11;14
39;0;1;6;5;9;ab;ab;10;7;2;8;3;12;14;4;ab;13;ab;16;11;15
40;0;1;6;5;9;ab;ab;10;7;2;8;3;12;14;4;ab;13;ab;16;11;15
41;0;1;6;5;9;ab;ab;10;7;2;8;3;12;14;4;ab;13;ab;16;11;15
42;0;1;6;5;9;ab;ab;10;7;2;8;3;13;14;4;ab;12;ab;16;11;15
43;0;1;6;5;8;ab;ab;10;9;2;7;4;14;13;3;ab;12;ab;16;11;15
44;0;1;5;4;8;ab;ab;9;10;2;7;6;14;13;3;ab;12;ab;16;11;15
45;0;1;4;3;8;ab;ab;9;10;2;7;6;14;13;5;ab;11;ab;16;12;15
46;0;1;4;3;8;ab;ab;9;14;2;7;6;13;11;5;ab;10;ab;16;12;15
47;0;1;3;2;8;ab;ab;9;14;4;7;6;13;11;5;ab;10;ab;16;12;15
48;0;1;3;2;8;ab;ab;9;14;4;7;6;13;11;5;ab;10;ab;16;12;15
49;0;1;3;2;8;ab;ab;9;14;4;7;6;13;11;5;ab;10;ab;16;12;15
50;0;1;3;2;8;ab;ab;9;14;4;7;6;13;11;5;ab;10;ab;16;12;15
51;0;1;3;2;8;ab;ab;9;14;4;7;6;13;11;5;ab;10;ab;16;12;15
52;0;1;4;2;8;ab;ab;9;13;3;7;6;15;11;5;ab;10;ab;16;12;14
53;0;1;4;2;8;ab;ab;9;13;3;7;6;15;11;5;ab;10;ab;16;12;14
54;0;1;4;2;8;ab;ab;9;13;3;7;6;15;11;5;ab;10;ab;16;12;14
55;0;1;4;2;8;ab;ab;9;12;3;7;6;15;ab;5;ab;10;ab;16;11;ab
